Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS (capacity increased by 18 on 6/7/01),COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilikinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,631","3,049","2,214","2,122","1,320",75,75,75,75,75,75,75,75,75,75,75,75,120,75,75,75,75,"2,500",250,250,250,250,250,250,250,250,250,250,"3,900","1,000",500,"1,000",500,900,24,6,12,6,6,"20,766"
11-Jun,"5,371","3,023","1,970","1,403","1,268",73,73,75,73,70,74,75,74,74,74,65,64,116,75,73,69,71,"1,992",199,201,199,200,200,199,198,198,200,198,"3,208",745,500,720,362,881,17,5,11,1,6,"18,258"
12-Jun,"5,394","2,995","1,967","1,424","1,274",74,74,75,73,74,74,75,74,74,74,64,64,115,74,72,69,75,"1,993",199,201,201,199,198,198,200,198,200,199,"3,203",744,498,719,362,880,17,5,11,1,6,"18,273"
13-Jun,"5,375","3,008","1,962","1,419","1,276",74,74,75,73,74,73,75,72,75,74,66,64,110,73,74,75,75,"1,976",199,187,201,201,195,197,200,198,199,199,"3,192",742,498,716,360,876,16,5,10,1,6,"18,230"
14-Jun,"5,382","3,007","1,978","1,408","1,283",74,74,75,74,74,73,75,74,75,74,68,65,111,73,74,75,75,"1,973",199,187,201,200,195,197,200,197,198,199,"3,192",742,498,716,360,876,16,5,10,1,6,"18,245"
15-Jun,"5,360","3,013","1,980","1,425","1,253",70,72,73,74,74,73,66,71,73,73,67,64,111,74,71,72,75,"1,985",199,200,201,199,195,197,200,197,198,199,"3,190",742,496,716,360,876,14,4,9,1,6,"18,226"
16-Jun,"5,359","3,013","1,980","1,426","1,250",70,72,73,74,71,73,66,71,73,73,67,64,111,74,71,72,75,"1,984",199,200,201,199,195,196,200,197,198,199,"3,190",742,496,716,360,876,14,4,9,1,6,"18,222"
17-Jun,"5,359","3,015","1,980","1,426","1,250",70,72,73,74,71,73,66,71,73,73,67,64,111,74,71,72,75,"1,983",199,200,201,199,195,196,200,197,197,199,"3,190",742,496,716,360,876,14,4,9,1,6,"18,223"
18-Jun,"5,356","3,012","2,011","1,442","1,266",75,75,75,75,52,74,75,75,75,74,68,64,112,75,74,73,75,"1,982",198,200,201,199,195,196,200,197,197,199,"3,184",742,490,716,360,876,16,5,10,1,6,"18,275"
19-Jun,"5,379","3,008","1,999","1,410","1,272",75,75,75,75,60,74,75,75,75,73,68,64,112,74,74,73,75,"1,979",198,199,201,199,195,196,200,197,195,199,"3,199",742,497,716,368,876,16,5,10,1,6,"18,268"
20-Jun,"5,368","3,035","1,998","1,410","1,278",74,75,75,74,69,74,75,75,75,73,68,63,112,74,74,73,75,"1,987",197,199,200,198,201,203,200,194,195,200,"3,197",742,496,716,370,873,16,5,10,1,6,"18,295"
