Location,MS STATE PENITENTIARY    (See Note Below),CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta       (Reopened 04-01-04),East MS,Marshall County,Walnut Grove                        (See Note Below),Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"5,024","3,233","2,214","2,224","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"4,950",950,"1,000","1,000","1,000","1,000",24,6,12,6,6,,"22,241"
27-Jun-04,"4,905","3,185","2,190","2,122","1,693",89,96,91,95,93,98,95,98,100,88,68,82,213,100,90,96,101,"2,746",250,250,250,250,250,250,249,248,249,250,250,"4,401",948,728,994,736,995,16,6,6,4,5,48,"21,311"
28-Jun-04,"4,926","3,163","2,186","2,130","1,743",90,100,95,101,95,98,96,101,100,92,72,82,217,102,101,99,102,"2,746",250,250,249,250,249,250,250,249,250,249,250,"4,399",947,728,994,735,995,16,6,6,4,5,6,"21,320"
29-Jun-04,"4,934","3,151","2,197","2,133","1,747",90,100,95,101,101,97,96,101,101,92,72,83,217,99,101,99,102,"2,744",250,250,249,250,247,250,250,249,250,249,250,"4,404",947,727,994,742,994,16,6,6,4,5,6,"21,337"
30-Jun-04,"4,918","3,157","2,185","2,156","1,743",91,99,95,100,101,95,101,100,100,91,72,83,215,98,101,99,102,"2,741",249,250,249,250,248,249,249,249,250,248,250,"4,397",950,725,993,737,992,16,6,6,4,5,7,"21,325"
