Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Tallahatchie County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,534","3,425","2,684","1,793","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"3,082",294,280,280,280,274,274,280,280,280,280,280,"5,100",972,"1,000","1,000",128,"1,000","1,000",16,6,6,4,6,,"22,456"
19-Jun-07,"4,502","3,388","2,598","1,852","1,755",89,100,93,100,99,99,94,100,102,91,91,84,208,102,101,101,101,"3,077",293,282,279,278,275,274,279,280,278,279,280,"4,898",969,883,993,128,949,976,10,4,3,3,5,7,"22,092"
20-Jun-07,"4,488","3,410","2,604","1,851","1,761",89,100,93,100,99,99,102,100,102,91,91,84,208,102,100,101,100,"3,072",293,282,278,279,275,274,277,279,278,280,277,"4,905",972,883,995,128,955,972,10,3,4,3,5,8,"22,114"
21-Jun-07,"4,496","3,417","2,598","1,851","1,764",89,101,94,100,99,99,102,102,101,90,92,84,208,100,101,101,101,"3,076",294,282,278,280,275,274,280,279,278,280,276,"4,904",973,882,993,128,953,975,10,3,4,3,5,11,"22,132"
22-Jun-07,"4,499","3,412","2,601","1,864","1,706",79,94,94,100,94,96,100,96,99,88,91,83,208,97,97,96,94,"3,077",293,281,278,279,274,274,279,280,280,280,279,"4,898",973,879,993,128,952,973,10,3,4,3,5,76,"22,148"
23-Jun-07,"4,492","3,412","2,599","1,864","1,703",79,94,94,100,94,96,100,96,99,88,90,82,207,97,97,96,94,"3,072",292,281,277,279,273,274,278,279,280,280,279,"4,897",973,879,994,128,952,971,10,3,4,3,5,74,"22,128"
24-Jun-07,"4,490","3,413","2,599","1,864","1,701",78,94,94,100,94,96,100,95,99,88,90,82,207,97,97,96,94,"3,070",292,281,276,279,272,274,278,279,280,280,279,"4,895",972,880,994,128,952,969,10,3,4,3,5,70,"22,117"
25-Jun-07,"4,481","3,407","2,591","1,866","1,759",88,101,94,101,98,99,102,100,100,92,90,83,212,100,101,98,100,"3,076",291,281,278,280,273,274,280,280,280,280,279,"4,899",971,880,994,128,954,972,10,3,4,3,5,12,"22,106"
26-Jun-07,"4,483","3,407","2,601","1,858","1,758",88,101,93,100,100,99,102,99,98,91,90,86,213,99,101,98,100,"3,078",290,281,279,280,274,274,280,280,280,280,280,"4,908",973,880,993,128,961,973,10,3,4,3,5,12,"22,120"
27-Jun-07,"4,483","3,436","2,603","1,845","1,756",86,95,92,100,98,99,102,99,102,92,90,90,213,102,100,98,98,"3,071",291,281,278,280,274,273,277,280,279,279,279,"4,905",973,881,993,128,959,971,10,3,4,3,5,12,"22,126"
