date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,665","3,282","1,668","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,363",300,294,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,468"
10-Feb-12,"3,221","3,060","3,157","2,223","1,312",90,61,74,80,80,80,64,75,83,71,45,49,169,78,67,65,81,"4,267",296,294,278,300,280,280,274,280,338,281,279,277,229,279,302,"4,158",0,"1,319",998,958,883,11,5,3,3,0,50,"21,459"
11-Feb-12,"3,220","3,057","3,156","2,223","1,313",90,61,74,80,81,80,64,75,83,71,45,49,169,78,67,65,81,"4,264",296,294,278,300,280,280,274,279,337,281,279,277,229,279,301,"4,156",0,"1,319",998,956,883,11,5,3,3,0,49,"21,449"
12-Feb-12,"3,219","3,055","3,158","2,223","1,311",90,61,74,77,81,80,64,75,83,71,45,49,169,78,68,65,81,"4,260",296,294,278,300,280,280,274,278,337,281,279,277,228,279,299,"4,155",0,"1,318",998,956,883,11,5,3,3,0,48,"21,440"
13-Feb-12,"3,224","3,075","3,164","2,204","1,338",90,66,77,75,82,82,64,77,83,73,45,51,170,85,69,67,82,"4,270",296,294,279,299,280,279,274,280,338,281,280,277,236,279,298,"4,155",0,"1,318",998,953,886,11,5,3,3,0,6,"21,447"
14-Feb-12,"3,247","3,076","3,165","2,171","1,344",92,66,77,75,82,82,64,77,84,73,44,51,177,85,67,66,82,"4,270",295,294,279,299,280,278,274,279,339,281,279,278,236,280,299,"4,164",0,"1,320",998,959,887,11,5,3,3,0,4,"21,452"
15-Feb-12,"3,238","3,100","3,164","2,159","1,346",92,65,77,75,82,81,64,77,87,74,45,51,179,85,68,63,81,"4,280",301,293,279,299,280,280,274,280,339,281,279,280,236,280,299,"4,169",0,"1,325",997,960,887,11,5,3,3,0,4,"21,471"
16-Feb-12,"3,266","3,071","3,163","2,158","1,362",92,65,74,83,85,84,63,75,90,74,46,54,180,85,68,63,81,"4,276",299,293,279,300,280,280,273,280,339,279,280,280,236,279,299,"4,170",0,"1,323",997,963,887,11,5,3,3,0,2,"21,479"
17-Feb-12,"3,233","3,077","3,160","2,171","1,378",92,70,72,81,82,82,63,77,91,76,46,70,178,82,72,65,79,"4,279",298,294,280,300,278,281,273,281,340,280,280,280,236,278,300,"4,168",0,"1,323","1,000",959,886,11,5,3,3,0,31,"21,508"
18-Feb-12,"3,231","3,074","3,155","2,171","1,376",92,70,72,81,80,82,63,77,91,76,46,70,178,82,72,65,79,"4,277",298,294,280,300,278,281,273,281,340,280,280,280,236,278,298,"4,167",0,"1,323",999,959,886,11,5,3,3,0,31,"21,493"
