Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta       (Reopened 04-01-04),East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,892","3,233","2,214","2,209","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"4,960",960,"1,000","1,000","1,000","1,000",24,6,12,6,6,,"22,104"
14-Aug-04,"4,822","3,116","2,186","2,127","1,639",80,90,90,87,95,88,92,92,95,89,68,85,216,96,93,83,100,"2,746",249,250,249,250,250,249,249,250,250,250,250,"4,567",958,873,995,748,993,13,6,4,3,6,77,"21,299"
15-Aug-04,"4,821","3,114","2,185","2,127","1,639",80,90,90,87,95,88,92,92,96,89,67,85,216,96,93,83,100,"2,745",248,250,249,250,250,249,249,250,250,250,250,"4,565",956,873,995,748,993,13,6,4,3,6,77,"21,292"
16-Aug-04,"4,834","3,110","2,179","2,133","1,710",90,97,94,93,100,93,93,100,102,91,69,91,217,101,93,84,102,"2,744",249,249,249,250,248,250,250,250,249,250,250,"4,566",954,873,994,753,992,13,6,4,3,6,4,"21,299"
17-Aug-04,"4,831","3,092","2,192","2,145","1,706",89,96,94,90,99,92,93,99,102,92,69,92,213,101,93,90,102,"2,742",250,249,249,250,250,248,248,250,249,250,249,"4,567",958,872,995,748,994,13,6,4,3,6,4,"21,298"
18-Aug-04,"4,853","3,090","2,188","2,144","1,703",92,94,94,89,98,92,95,97,101,90,69,92,219,101,91,87,102,"2,742",250,250,249,250,250,247,248,250,250,250,248,"4,566",957,871,995,750,993,13,6,4,3,6,3,"21,308"
19-Aug-04,"4,865","3,086","2,182","2,149","1,695",92,94,94,89,97,91,94,97,101,89,69,92,218,98,91,87,102,"2,745",249,249,250,251,248,249,250,250,250,250,249,"4,568",959,874,994,747,994,13,6,4,3,6,2,"21,311"
20-Aug-04,"4,834","3,125","2,167","2,141","1,681",90,98,89,92,100,90,94,98,101,86,69,91,215,94,90,86,98,"2,740",247,249,249,250,248,249,249,250,250,250,249,"4,574",958,873,994,754,995,13,6,4,3,6,26,"21,307"
21-Aug-04,"4,833","3,124","2,167","2,141","1,680",90,98,89,92,100,90,94,98,101,86,69,91,214,94,90,86,98,"2,739",247,249,249,249,248,249,249,250,250,250,249,"4,572",958,872,994,754,994,13,6,4,3,6,26,"21,301"
22-Aug-04,"4,832","3,124","2,167","2,141","1,680",90,98,89,92,100,90,94,98,101,86,69,91,214,94,90,86,98,"2,739",247,249,249,249,248,249,249,250,250,250,249,"4,570",957,871,994,754,994,13,6,4,3,6,26,"21,298"
23-Aug-04,"4,834","3,128","2,160","2,145","1,701",91,98,90,92,100,93,94,99,101,89,69,93,219,97,91,86,99,"2,741",251,249,250,249,247,249,248,250,250,249,249,"4,567",958,869,993,754,993,13,6,4,3,6,2,"21,297"
24-Aug-04,"4,841","3,097","2,159","2,143","1,708",91,98,96,95,99,92,98,98,102,91,65,93,219,95,91,86,99,"2,745",250,250,250,249,249,250,249,250,249,250,249,"4,572",958,867,995,758,994,13,6,4,3,6,3,"21,287"
25-Aug-04,"4,847","3,117","2,155","2,131","1,704",88,98,96,95,98,92,98,98,101,90,66,93,219,95,91,86,100,"2,745",250,250,250,249,248,250,249,250,250,249,250,"4,571",958,866,993,760,994,13,6,4,3,6,3,"21,292"
26-Aug-04,"4,836","3,108","2,165","2,139","1,695",88,98,95,95,97,92,96,98,100,90,65,92,219,96,90,84,100,"2,740",250,250,250,249,244,249,248,250,250,250,250,"4,565",958,864,994,757,992,13,6,4,3,6,3,"21,270"
