Location,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,"South Mississippi Correctional Institution 2,882",SMCI TVC,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590",,"2,932",58,,,,"2,002","1,870",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"23,744"
1-Oct-15,"3,148",75,"2,603",28,137,"2,706",97,"1,243","1,152",87,72,52,50,45,52,0,72,57,72,80,57,172,97,71,50,66,"3,963",285,318,233,291,242,267,259,248,324,247,254,277,200,259,259,"3,809",0,"1,118",999,856,836,12,5,6,1,"18,973"
2-Oct-15,"3,147",74,"2,602",27,136,"2,705",96,"1,252","1,138",86,71,51,50,44,51,0,71,56,71,79,56,172,96,70,49,65,"3,959",284,317,232,290,242,267,259,248,324,247,254,277,200,259,259,"3,809",0,"1,118",999,856,836,12,5,6,1,"18,957"
3-Oct-15,"3,147",74,"2,602",27,136,"2,705",96,"1,253","1,138",86,71,51,50,44,51,0,71,56,71,79,56,172,96,70,49,65,"3,950",283,316,231,289,241,266,258,247,323,247,254,277,200,259,259,"3,809",0,"1,118",999,856,836,12,5,6,1,"18,949"
4-Oct-15,"3,145",69,"2,601",28,132,"2,713",94,"1,253","1,135",87,70,52,50,45,49,0,72,62,67,80,56,169,95,70,49,62,"3,940",284,317,232,291,240,261,259,247,322,248,253,276,197,255,258,"3,806",0,"1,117",997,857,835,12,5,6,1,"18,928"
5-Oct-15,"3,145",70,"2,588",28,140,"2,701",95,"1,254","1,148",88,71,53,51,46,50,0,73,63,68,81,57,169,96,71,49,62,"3,941",284,317,232,291,240,261,259,247,322,248,253,276,197,256,258,"3,806",0,"1,117",997,857,835,12,5,6,1,"18,928"
6-Oct-15,"3,145",70,"2,588",28,140,"2,701",95,"1,254","1,149",88,71,53,51,46,50,0,73,63,68,81,57,169,96,71,49,63,"3,951",285,318,233,292,241,262,260,248,323,249,253,276,197,256,258,"3,806",0,"1,117",997,857,835,12,5,6,1,"18,939"
7-Oct-15,"3,145",70,"2,588",28,140,"2,701",95,"1,254","1,149",88,71,53,51,46,50,0,73,63,68,81,57,169,96,71,49,63,"3,950",285,318,233,292,241,262,260,248,323,249,253,275,197,256,258,"3,806",0,"1,117",997,857,835,12,5,6,1,"18,938"
8-Oct-15,"3,145",70,"2,588",28,140,"2,701",95,"1,254","1,149",88,71,53,51,46,50,0,73,63,68,81,57,169,96,71,49,63,"3,948",285,318,233,292,241,262,260,248,323,249,253,275,197,255,257,"3,799",0,"1,116",995,855,833,8,4,4,0,"18,925"
9-Oct-15,"3,145",70,"2,588",28,140,"2,701",95,"1,254","1,149",88,71,53,51,46,50,0,73,63,68,81,57,169,96,71,49,63,"3,944",285,318,233,292,241,262,260,248,323,249,252,274,197,254,256,"3,797",0,"1,115",994,855,833,8,4,4,0,"18,919"
