Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,469",58,350,"3,282","1,973","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,710"
1-Nov-14,"3,163","2,292",88,33,"2,800","1,687","1,073",88,50,45,51,47,45,44,52,50,61,78,53,176,98,49,41,45,"4,133",299,359,270,300,271,266,260,269,341,256,278,279,132,270,283,"4,316",0,"1,188",999,"1,301",828,5,3,1,1,0,0,"19,590"
2-Nov-14,"3,163","2,297",32,87,"2,798","1,573","1,038",88,50,45,51,47,45,43,52,50,61,78,53,142,98,49,41,45,"4,276",299,359,270,300,271,266,260,269,340,256,278,279,279,268,282,"4,313",0,"1,187",998,"1,300",828,5,3,1,1,0,0,"19,582"
3-Nov-14,"3,160","2,325",32,85,"2,799","1,527","1,092",89,50,46,51,46,49,44,53,49,65,88,55,173,98,49,41,46,"4,257",298,361,268,300,267,263,258,267,337,254,276,280,279,266,283,"4,302",0,"1,190",994,"1,295",823,5,3,1,1,0,0,"19,584"
4-Nov-14,"3,146","2,305",33,86,"2,802","1,515","1,104",87,49,50,51,46,48,43,53,54,65,88,55,183,97,49,41,45,"4,250",297,359,267,298,269,260,257,266,337,255,268,280,278,269,290,"4,307",0,"1,193",993,"1,288",833,5,3,1,1,0,0,"19,553"
5-Nov-14,"3,147","2,276",33,116,"2,807","1,492","1,098",86,49,50,51,44,48,45,52,54,65,86,55,182,97,49,40,45,"4,256",297,361,267,297,269,260,259,263,337,254,280,279,278,265,290,"4,294",0,"1,193",991,"1,278",832,5,3,1,1,0,0,"19,524"
6-Nov-14,"3,136","2,248",33,124,"2,802","1,607",998,86,49,51,50,43,48,45,51,54,65,88,55,180,49,39,45,0,"4,259",298,361,265,300,271,259,258,268,333,253,280,278,277,267,291,"4,293",0,"1,190","1,001","1,271",831,8,3,4,1,0,0,"19,508"
7-Nov-14,"3,135","2,231",32,119,"2,788","1,544","1,079",85,49,50,49,43,47,45,50,53,64,87,54,179,94,48,38,44,"4,246",297,360,264,299,270,258,257,267,332,252,279,277,276,267,291,"4,293",0,"1,190","1,001","1,271",831,8,3,4,1,0,0,"19,475"
8-Nov-14,"3,134","2,233",33,120,"2,790","1,532","1,071",85,48,50,49,46,39,42,51,56,62,88,53,177,94,49,39,43,"4,252",298,359,264,298,270,260,262,266,334,249,280,277,283,264,288,"4,294",0,"1,193","1,000","1,251",850,8,3,4,1,0,0,"19,467"
9-Nov-14,"3,128","2,232",33,118,"2,791","1,541","1,070",85,48,50,49,42,43,42,51,56,62,87,53,177,94,49,39,43,"4,249",298,359,263,297,270,260,262,266,333,249,280,277,283,264,288,"4,290",0,"1,193","1,000","1,247",850,8,3,4,1,0,0,"19,460"
