Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,557",42,"3,282","1,872","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,681"
10-May-13,"3,335","3,329",31,"3,237","2,312","1,553",92,71,76,85,82,77,72,84,89,76,92,91,236,99,81,73,77,"4,424",298,368,280,300,277,280,274,280,355,276,280,280,298,279,299,"4,285",0,"1,120",999,"1,279",887,12,5,4,3,0,0,"22,518"
11-May-13,"3,335","3,327",31,"3,234","2,312","1,552",92,71,75,86,82,77,72,84,89,75,92,91,236,99,81,73,77,"4,422",298,368,280,300,276,280,274,280,355,276,280,279,298,279,299,"4,284",0,"1,119",999,"1,279",887,12,5,4,3,0,0,"22,509"
12-May-13,"3,334","3,326",31,"3,233","2,312","1,551",91,71,75,86,82,77,72,84,89,75,92,91,236,99,81,73,77,"4,421",298,368,280,300,276,280,274,279,355,276,280,279,298,279,299,"4,282",0,"1,119",998,"1,278",887,12,5,4,3,0,0,"22,502"
13-May-13,"3,345","3,328",29,"3,235","2,310","1,540",87,71,74,83,81,77,71,81,90,75,92,91,237,99,79,72,80,"4,416",297,368,280,300,276,280,273,279,355,276,280,280,297,276,299,"4,295",0,"1,117",997,"1,290",891,12,5,4,3,0,0,"22,510"
14-May-13,"3,348","3,348",30,"3,236","2,295","1,534",91,68,74,83,82,77,72,80,89,75,92,91,237,98,76,70,79,"4,426",297,369,279,299,280,280,273,280,355,280,280,280,296,278,300,"4,297",0,"1,120",997,"1,289",891,12,5,4,3,0,0,"22,526"
15-May-13,"3,369","3,344",31,"3,235","2,308","1,538",92,68,73,83,80,77,71,81,91,80,92,92,235,98,77,69,79,"4,422",297,370,279,299,278,279,272,280,355,280,280,280,296,278,299,"4,305",0,"1,120",999,"1,294",892,11,4,4,3,0,0,"22,563"
16-May-13,"3,366","3,376",31,"3,237","2,305","1,529",92,68,71,82,82,78,71,80,88,81,92,88,235,97,76,69,79,"4,425",300,369,277,300,280,279,274,280,354,280,280,278,296,279,299,"4,310",0,"1,121",999,"1,298",892,10,3,4,3,0,0,"22,589"
17-May-13,"3,367","3,355",32,"3,225","2,331","1,482",92,68,62,77,79,73,69,80,91,74,92,91,232,94,70,64,74,"4,419",300,370,277,300,280,279,272,280,354,281,280,278,295,277,296,"4,311",0,"1,119",999,"1,301",892,9,3,3,3,0,0,"22,531"
18-May-13,"3,366","3,353",32,"3,223","2,331","1,481",92,68,62,77,79,73,69,80,91,73,92,91,232,94,70,64,74,"4,414",299,370,277,300,280,279,271,280,353,281,280,278,295,277,294,"4,311",0,"1,119",999,"1,301",892,9,3,3,3,0,0,"22,520"
