date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648","3,665",58,350,"3,282","1,973","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,500",300,369,280,362,280,280,274,280,355,280,280,280,300,280,300,5000,"1,500","1,000","1,500","1,000",16,6,6,4,"25,340"
22-Aug-14,"3,334","2,489",41,112,"3,177","1,698","1,196",88,53,53,64,53,56,46,53,57,75,84,67,187,101,54,53,52,"4,420",299,368,276,298,280,280,274,280,355,278,280,279,289,281,303,4149,"1,200",998,"1,120",831,6,4,1,1,"20,622"
23-Aug-14,"3,335","2,485",41,112,"3,176","1,701","1,195",88,53,53,64,53,56,46,52,57,75,84,67,187,101,54,53,52,"4,416",299,368,276,298,280,280,274,280,354,278,280,279,289,281,300,4148,"1,199",998,"1,120",831,6,4,1,1,"20,615"
24-Aug-14,"3,335","2,486",41,112,"3,175","1,702","1,193",88,53,53,64,53,55,46,52,57,74,84,67,187,101,54,53,52,"4,414",299,367,276,298,279,280,274,280,354,278,280,279,289,281,300,4146,"1,199",998,"1,119",830,6,4,1,1,"20,610"
25-Aug-14,"3,262","2,426",41,109,"3,138","1,664","1,174",86,51,51,65,52,50,45,52,55,74,84,66,186,101,52,53,51,"4,393",298,366,276,300,279,280,274,279,354,274,278,276,287,273,299,4133,"1,198",998,"1,112",825,6,4,1,1,"20,346"
26-Aug-14,"3,296","2,507",40,110,"3,164","1,666","1,175",85,51,51,64,52,50,45,52,57,74,84,65,188,101,52,53,51,"4,388",297,368,279,300,280,280,274,273,354,275,278,278,282,271,299,4135,"1,200",998,"1,112",825,5,3,1,1,"20,486"
27-Aug-14,"3,302","2,428",40,127,"3,171","1,712","1,175",84,55,58,64,52,50,45,52,57,70,84,64,186,100,52,51,51,"4,385",296,368,279,300,279,280,274,273,351,277,280,280,279,271,298,4133,"1,198",998,"1,109",828,5,3,1,1,"20,478"
28-Aug-14,"3,310","2,396",39,126,"3,173","1,733","1,176",88,55,57,64,53,51,45,53,57,69,84,63,182,102,50,51,52,"4,395",296,368,280,298,276,276,274,278,351,279,279,281,286,276,297,4137,"1,198",998,"1,102",839,6,4,1,1,"20,491"
29-Aug-14,"3,288","2,348",39,124,"3,143","1,757","1,184",87,55,58,62,51,52,51,53,55,68,88,60,190,102,49,51,52,"4,394",296,366,277,300,279,280,274,275,351,279,280,279,283,280,295,4115,"1,198",1000,"1,091",826,6,4,1,1,"20,398"
30-Aug-14,"3,289","2,347",39,124,"3,143","1,758","1,183",86,55,58,62,51,52,51,53,55,68,88,60,190,102,49,51,52,"4,391",296,366,277,299,278,280,274,275,351,279,280,279,283,279,295,4109,"1,196",1000,"1,088",825,6,4,1,1,"20,389"
31-Aug-14,"3,289","2,348",39,124,"3,142","1,758","1,181",86,55,58,62,51,52,51,53,55,68,88,58,190,102,49,51,52,"4,389",296,366,277,299,278,280,274,274,351,279,280,279,282,279,295,4107,1195,1000,1087,825,6,4,1,1,"20,383"
Avg Pop,"3,314","2,465",40,98,"3,193","1,728","1,184",89,52,55,63,52,53,45,50,60,74,85,68,188,99,52,49,48,"4,402",298,368,278,299,278,279,274,277,352,277,280,279,286,278,299,"4,164","1,198",997,"1,145",824,6,4,1,1,"20,581"
