date_raw,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,SMCI TVC,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648",108,"3,469",58,158,"3,282",0,"1,995","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"25,726"
1-Feb-15,"3,110",74,"2,196",27,125,"2,365",147,"1,472","1,068",59,56,46,50,49,46,51,44,50,65,88,63,173,99,45,38,46,"4,131",299,362,261,297,248,252,254,251,319,241,274,266,265,263,279,"4,208",0,"1,180",996,"1,142",890,9,4,3,2,"18,932"
2-Feb-15,"3,184",74,"2,220",27,125,"2,313",95,"1,478","1,068",59,56,46,50,49,46,51,44,50,65,88,63,173,99,45,38,46,"4,131",299,362,261,297,248,252,254,251,319,241,274,266,265,263,279,"4,208",0,"1,180",996,"1,142",890,9,4,3,2,"18,932"
3-Feb-15,"3,131",74,"2,215",27,123,"2,415",98,"1,476","1,080",59,55,52,53,51,46,52,49,48,64,83,61,173,100,44,40,50,"4,142",299,360,261,299,248,258,254,248,326,246,275,266,264,259,279,"4,210",0,"1,180",995,"1,146",889,7,4,2,1,"18,998"
4-Feb-15,"3,137",95,"2,268",26,122,"2,416",93,"1,480","1,077",56,55,52,53,52,51,52,49,47,64,82,61,170,100,44,40,49,"4,213",296,359,272,299,248,265,264,247,338,263,275,266,262,271,288,"4,086",0,"1,182",996,"1,018",890,7,4,2,1,"19,020"
5-Feb-15,"3,158",90,"2,303",27,116,"2,416",93,"1,469","1,077",57,55,51,52,51,51,52,49,46,66,81,61,175,98,43,40,49,"4,229",296,356,277,296,264,264,265,257,338,262,274,266,262,263,289,"4,024",0,"1,181",996,958,889,7,4,2,1,"19,009"
6-Feb-15,"3,145",90,"2,363",27,118,"2,408",93,"1,454","1,059",57,54,51,55,50,47,48,45,47,65,79,61,170,100,43,40,47,"4,225",299,354,274,301,264,263,266,257,337,253,274,269,260,265,289,"4,026",0,"1,180",996,961,889,6,4,1,1,"19,014"
7-Feb-15,"3,145",89,"2,325",27,117,"2,408",91,"1,490","1,059",57,54,51,55,50,47,48,45,47,65,79,61,170,100,43,40,47,"4,222",299,354,274,300,264,263,266,256,336,253,274,269,260,265,289,"4,024",0,"1,178",996,961,889,6,4,1,1,"19,003"
8-Feb-15,"3,147",88,"2,329",27,115,"2,405",90,"1,491","1,056",57,54,51,55,50,47,48,45,47,65,78,61,168,100,43,40,47,"4,218",298,353,274,299,264,263,266,255,336,253,274,269,260,265,289,"4,024",0,"1,178",996,961,889,6,4,1,1,"18,996"
9-Feb-15,"3,146",88,"2,363",27,115,"2,403",85,"1,473","1,065",57,55,50,54,50,52,53,48,46,65,75,61,170,100,42,39,48,"4,214",297,352,272,299,263,263,266,252,336,254,272,279,260,259,290,"4,019",0,"1,176",996,960,887,7,4,2,1,"19,005"
