date_raw,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"5,768","3,233","2,214","2,176","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"3,750","1,000","1,000",750,"1,000",24,6,12,6,6,,"21,737"
1-Jul-03,"5,674","3,172","2,185","2,016","1,443",91,72,73,100,75,71,73,96,99,72,59,66,170,75,82,70,99,"2,576",235,235,234,233,233,235,235,234,232,235,235,"3,386",678,993,723,992,18,6,9,3,6,4,"20,480"
2-Jul-03,"5,698","3,159","2,184","2,006","1,437",90,71,73,99,75,71,73,96,89,72,58,66,170,75,92,68,99,"2,573",235,236,233,232,233,235,234,234,232,234,235,"3,392",683,992,723,994,18,6,9,3,6,7,"20,480"
3-Jul-03,"5,691","3,164","2,175","2,017","1,437",89,72,74,98,74,71,71,96,89,71,58,67,170,78,92,68,99,"2,578",233,235,234,234,233,235,234,235,235,235,235,"3,392",681,995,723,993,18,6,9,3,6,6,"20,484"
4-Jul-03,"5,688","3,161","2,172","2,018","1,436",89,72,74,98,74,71,71,96,89,71,58,67,170,78,92,68,98,"2,578",233,235,234,234,233,235,234,235,235,235,235,"3,392",681,995,723,993,18,6,9,3,6,7,"20,476"
5-Jul-03,"5,688","3,162","2,172","2,018","1,435",89,72,74,98,74,71,71,96,88,71,58,67,170,78,92,68,98,"2,578",233,235,234,234,233,235,234,235,235,235,235,"3,390",681,994,723,992,18,6,9,3,6,6,"20,473"
6-Jul-03,"5,686","3,161","2,170","2,018","1,434",89,72,74,98,74,71,71,96,88,71,57,67,170,78,92,68,98,"2,578",233,235,234,234,233,235,234,235,235,235,235,"3,389",681,993,723,992,18,6,9,3,6,5,"20,465"
7-Jul-03,"5,701","3,159","2,168","2,036","1,427",86,72,74,98,74,71,71,94,88,67,57,68,170,80,91,68,98,"2,575",231,234,233,234,235,235,234,235,234,235,235,"3,385",681,991,722,991,18,6,9,3,6,6,"20,481"
8-Jul-03,"5,669","3,160","2,163","2,041","1,402",86,70,71,97,71,69,71,93,85,67,57,68,168,78,90,68,93,"2,575",234,234,233,232,235,234,234,236,235,235,233,"3,399",701,990,717,991,17,5,9,3,6,0,"20,432"
9-Jul-03,"5,674","3,155","2,158","2,055","1,411",86,70,69,97,71,74,70,93,90,70,57,69,167,78,90,68,92,"2,572",233,234,233,232,235,233,235,236,234,234,233,"3,407",712,988,717,990,17,5,9,3,6,3,"20,458"
10-Jul-03,"5,646","3,152","2,187","2,057","1,407",86,70,71,95,71,74,74,93,90,70,56,68,168,78,89,63,91,"2,573",232,234,234,233,234,233,235,236,234,235,233,"3,420",731,987,713,989,17,5,9,3,6,5,"20,470"
11-Jul-03,"5,637","3,136","2,168","2,064","1,330",83,65,71,90,65,71,69,84,87,66,52,66,158,71,85,59,88,"2,581",234,236,234,233,236,233,235,236,234,235,235,"3,430",729,993,716,992,13,2,8,3,5,87,"20,451"
12-Jul-03,"5,633","3,136","2,164","2,064","1,330",83,65,71,90,65,71,69,84,87,66,52,66,158,71,85,59,88,"2,581",234,235,235,233,236,233,235,236,234,235,235,"3,430",729,993,716,992,13,2,8,3,5,89,"20,445"
13-Jul-03,"5,633","3,136","2,166","2,064","1,329",83,65,71,90,65,70,69,84,87,66,52,66,158,71,85,59,88,"2,580",233,235,235,233,236,233,235,236,234,235,235,"3,430",729,993,716,992,13,2,8,3,5,87,"20,443"
