Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"3,356","3,449","3,204","1,629","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,063",300,294,280,300,280,280,274,280,355,280,280,280,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,543"
10-Jun-11,"3,078","3,230","3,136","1,809","1,497",80,85,80,81,84,85,80,82,87,75,80,72,189,89,89,75,84,"3,261",248,235,221,243,224,224,219,220,279,224,224,224,222,254,"5,124",899,"1,356","1,000",987,882,11,6,5,0,5,32,"21,183"
11-Jun-11,"3,077","3,230","3,133","1,809","1,495",80,84,80,81,84,85,80,82,87,75,80,71,189,89,89,75,84,"3,260",248,235,221,243,224,224,218,220,279,224,224,224,222,254,"5,124",899,"1,356","1,000",987,882,11,6,5,0,5,10,"21,154"
12-Jun-11,"3,075","3,228","3,131","1,809","1,494",80,84,80,81,84,85,80,82,86,75,80,71,189,89,89,75,84,"3,258",248,235,220,243,224,224,218,220,279,224,224,224,222,253,"5,121",898,"1,355","1,000",986,882,11,6,5,0,5,10,"21,142"
13-Jun-11,"3,093","3,233","3,120","1,843","1,507",83,84,79,82,85,85,81,81,87,79,79,70,194,88,90,74,86,"3,260",248,234,220,243,224,224,215,224,282,224,224,224,222,252,"5,117",897,"1,354",998,987,881,12,6,6,0,5,8,"21,198"
14-Jun-11,"3,093","3,242","3,128","1,848","1,510",83,84,79,82,85,84,81,81,89,79,80,72,194,88,90,74,85,"3,257",247,231,219,250,224,224,213,224,279,221,224,224,223,254,"5,121",897,"1,353",998,988,885,12,6,6,0,5,7,"21,223"
15-Jun-11,"3,093","3,243","3,126","1,859","1,508",83,83,82,85,85,84,80,81,88,79,80,71,194,88,88,73,84,"3,262",246,231,224,248,224,224,217,224,282,221,221,224,223,253,"5,129",899,"1,356","1,001",988,885,11,6,5,0,5,12,"21,248"
16-Jun-11,"3,112","3,188","3,127","1,857","1,542",83,81,77,82,88,86,80,91,94,78,80,71,206,95,88,73,89,"3,272",249,230,224,246,223,224,219,224,283,227,223,224,223,253,"5,147",899,"1,357","1,001","1,005",885,11,5,6,0,5,8,"21,269"
17-Jun-11,"3,098","3,197","3,131","1,837","1,516",79,84,74,84,87,82,77,88,93,74,79,72,204,92,86,77,84,"3,274",250,230,223,244,223,224,219,224,285,227,225,224,223,253,"5,141",896,"1,358","1,001","1,002",884,11,6,5,0,5,42,"21,252"
18-Jun-11,"3,096","3,198","3,130","1,837","1,515",79,84,74,84,86,82,77,88,93,74,79,72,204,92,86,77,84,"3,272",250,230,223,244,223,224,219,223,285,227,224,224,223,253,"5,139",896,"1,358","1,001","1,001",883,11,6,5,0,5,42,"21,245"
