Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,3590,"3,710",58,,"3,082","1,781","1,348",0,0,96,102,102,0,0,82,20,102,92,93,93,182,28,50,82,20,102,102,0,"4,494",300,369,280,310,280,280,274,280,355,280,280,326,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,164,40,34,8,42,40,"24,215"
1-May-17,3356,"3,369",30,5,"3,045","1,325",967,0,0,85,78,79,0,0,75,14,62,47,88,64,157,4,25,70,16,53,50,0,"3,801",239,291,264,288,222,222,272,278,347,198,224,263,232,222,239,"3,070",0,"1,193",997,0,880,13,5,5,3,64,17,20,2,22,3,"19,045"
2-May-17,3359,"3,369",30,5,"3,045","1,325",967,0,0,85,78,79,0,0,75,14,62,47,88,64,157,4,25,70,16,53,50,0,"3,801",239,291,264,288,222,222,272,278,347,198,224,263,232,222,239,"3,070",0,"1,193",997,0,880,13,5,5,3,64,17,20,2,22,3,"19,048"
3-May-17,3348,"3,371",30,5,"3,048","1,305",962,0,0,84,78,79,0,0,70,13,60,47,87,65,162,8,25,66,16,52,50,0,"3,804",241,293,264,283,224,223,273,277,349,199,222,263,232,222,239,"3,067",0,"1,196",991,0,880,13,6,4,3,69,18,26,2,20,3,"19,022"
4-May-17,3336,"3,383",30,7,"3,047","1,304",964,0,0,84,78,81,0,0,69,13,60,47,87,64,161,8,24,66,16,52,54,0,"3,804",240,293,264,288,222,223,273,277,348,198,222,262,232,223,239,"3,066",0,"1,189","1,000",0,877,12,5,4,3,69,18,26,2,20,3,"19,022"
5-May-17,3330,"3,391",30,11,"3,035","1,328",960,0,0,83,78,79,0,0,68,13,60,47,87,64,161,8,24,66,16,52,54,0,"3,796",240,292,264,286,221,224,271,274,348,195,222,262,240,219,238,"3,059",0,"1,185",999,0,875,12,5,4,3,69,18,26,2,20,3,"19,021"
6-May-17,3328,"3,388",30,11,"3,035","1,328",955,0,0,83,78,79,0,0,68,13,61,47,85,64,161,8,24,66,16,51,51,0,"3,801",240,292,264,288,221,224,271,274,348,199,222,261,240,219,238,"3,057",0,"1,184",998,0,875,12,5,4,3,68,17,26,2,21,2,"19,013"
7-May-17,3327,"3,386",30,11,"3,032","1,328",953,0,0,83,78,79,0,0,68,13,61,47,85,64,161,8,24,64,16,51,51,0,"3,801",240,292,264,288,221,224,271,274,348,199,222,261,240,219,238,"3,057",0,"1,184",998,0,875,12,5,4,3,67,17,25,2,21,2,"19,004"
8-May-17,3329,"3,399",30,11,"3,032","1,339",955,0,0,84,78,80,0,0,68,13,61,47,86,64,161,8,24,64,16,51,50,0,"3,804",240,294,264,287,221,224,271,274,349,200,222,261,240,219,238,"3,058",0,"1,183","1,000",0,875,12,5,4,3,67,17,23,4,21,2,"19,036"
9-May-17,3327,"3,388",30,12,"3,026","1,339",966,0,0,84,78,80,0,0,73,13,61,47,86,64,158,8,23,74,16,51,50,0,"3,813",240,294,264,287,221,224,271,274,352,200,223,261,240,222,240,"3,064",0,"1,183","1,000",0,881,12,5,4,3,68,17,23,5,21,2,"19,045"
10-May-17,3337,"3,356",30,12,"3,024","1,354",978,0,0,84,83,80,0,0,73,13,62,51,86,64,158,8,23,73,16,54,50,0,"3,808",240,293,263,287,223,224,270,276,349,196,223,261,240,223,240,"3,065",0,"1,184","1,000",0,881,12,5,4,3,71,16,28,5,20,2,"19,047"
