date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,3590,"3,710",58,,"3,082","1,781","1,348",0,0,96,102,102,0,0,82,20,102,92,93,93,182,28,50,82,20,102,102,0,"4,494",300,369,280,310,280,280,274,280,355,280,280,326,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,164,40,34,8,42,40,"24,215"
11-Jun-17,3296,"3,315",32,7,"2,998","1,388",950,0,0,66,82,63,0,0,71,13,62,51,77,59,170,9,24,77,12,59,55,0,"3,796",240,293,252,286,225,224,274,279,351,198,224,262,226,223,239,"3,038",0,"1,174",995,0,869,11,5,3,3,47,8,22,5,10,2,"18,878"
12-Jun-17,3311,"3,339",32,8,"2,998","1,360",961,0,0,67,85,63,0,0,73,13,62,54,77,59,174,7,24,77,12,59,55,0,"3,783",240,293,242,286,225,223,274,278,351,198,224,261,226,223,239,"3,038",0,"1,173",996,0,869,12,5,4,3,45,6,22,5,10,2,"18,887"
13-Jun-17,"3,331","3,337",32,8,"3,012","1,349",950,0,0,69,84,63,0,0,66,13,58,54,81,59,173,7,24,73,12,59,55,0,"3,781",240,293,242,286,223,224,274,279,351,198,224,261,226,221,239,"3,038",0,"1,173",996,0,869,12,5,4,3,52,7,28,5,10,2,"18,902"
14-Jun-17,3334,"3,324",31,8,"3,005","1,371",946,0,0,67,84,61,0,0,67,13,57,52,86,59,174,7,21,72,12,59,55,0,"3,755",240,290,242,283,221,223,273,277,347,196,223,261,221,220,238,"3,037",0,"1,171",994,0,872,12,5,4,3,51,7,28,5,10,1,"18,874"
15-Jun-17,3329,"3,364",31,7,"3,007","1,362",939,0,0,67,84,60,0,0,64,14,57,52,83,59,174,7,21,71,12,59,55,0,"3,748",240,292,242,283,220,223,272,276,347,193,220,262,221,219,238,"3,036",0,"1,171",994,0,871,12,5,4,3,43,7,27,5,3,1,"18,878"
16-Jun-17,3329,"3,354",31,13,"3,002","1,347",927,0,0,62,81,61,0,0,63,14,56,49,79,57,170,7,21,80,12,56,59,0,"3,763",240,292,242,282,223,223,271,273,350,200,223,262,221,222,239,"3,041",0,"1,170","1,000",0,871,12,4,5,3,40,5,27,5,2,1,"18,859"
17-Jun-17,3328,"3,352",31,13,"3,001","1,347",927,0,0,62,81,61,0,0,63,14,56,49,79,57,170,7,21,80,12,56,59,0,"3,761",240,292,242,282,223,223,271,272,350,199,223,262,221,222,239,"3,039",0,"1,169","1,000",0,870,12,4,5,3,39,5,27,5,1,1,"18,850"
18-Jun-17,3327,"3,350",31,13,"3,001","1,347",926,0,0,62,81,61,0,0,63,14,56,49,79,57,170,7,21,79,12,56,59,0,"3,761",240,292,242,282,223,223,271,272,350,199,223,262,221,222,239,"3,039",0,"1,169","1,000",0,870,12,4,5,3,39,5,27,5,1,1,"18,846"
19-Jun-17,3349,"3,391",31,31,"2,985","1,356",941,0,0,65,83,61,0,0,63,13,57,51,83,57,172,7,23,80,12,55,59,0,"3,769",240,292,242,281,226,222,271,276,352,198,224,262,221,222,240,"3,035",0,"1,164","1,000",0,871,14,5,6,3,39,5,27,5,1,1,"18,941"
20-Jun-17,3348,"3,416",31,8,"2,979","1,330",939,0,0,65,84,61,0,0,61,13,57,51,82,58,172,7,24,79,12,55,58,0,"3,767",240,292,240,279,225,221,272,271,351,197,224,261,239,220,235,"3,032",0,"1,163",999,0,870,14,5,6,3,40,5,27,5,1,2,"18,904"
21-Jun-17,3364,"3,380",31,9,"2,996","1,357",930,0,0,65,83,61,0,0,58,13,57,51,82,57,171,7,22,75,12,58,58,0,"3,771",240,294,240,278,225,223,272,279,349,199,224,261,239,218,230,"3,030",0,"1,162",999,0,869,14,5,6,3,40,5,27,5,1,2,"18,922"
