date_raw,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilikinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,631","3,049","2,214","2,104","1,320",75,75,75,75,75,75,75,75,75,75,75,75,120,75,75,75,75,"2,500",250,250,250,250,250,250,250,250,250,250,"3,900","1,000",500,"1,000",500,900,24,6,12,6,6,"20,748"
21-May-01,"5,298","2,939","1,982","1,413","1,271",73,74,75,75,74,75,75,75,75,74,63,62,105,75,75,71,75,"1,998",198,201,196,206,199,196,197,196,200,209,"3,212",754,497,739,341,881,18,6,11,1,6,"18,137"
22-May-01,"5,293","2,938","2,000","1,399","1,277",73,74,75,75,72,73,75,75,75,75,65,66,109,75,75,70,75,"2,003",198,201,200,205,199,195,200,196,200,209,"3,212",754,497,736,345,880,18,6,11,1,6,"18,146"
23-May-01,"5,287","2,986","1,989","1,371","1,273",73,74,74,75,72,73,75,74,75,75,65,64,109,75,75,70,75,"2,001",198,201,199,205,199,195,200,196,199,209,"3,210",754,496,736,345,879,18,6,11,1,6,"18,141"
24-May-01,"5,302","2,989","1,979","1,395","1,284",73,75,75,75,75,75,75,74,74,75,66,67,111,74,75,70,75,"1,991",198,196,199,203,200,195,200,196,195,209,"3,218",755,497,736,348,882,18,6,11,1,6,"18,182"
25-May-01,"5,300","2,972","2,004","1,383","1,283",73,75,74,74,74,75,75,75,75,75,66,67,112,74,74,70,75,"1,988",198,196,198,203,200,194,200,196,195,208,"3,218",755,497,736,348,882,18,6,11,1,6,"18,172"
26-May-01,"5,297","2,972","2,004","1,383","1,283",73,75,74,74,74,75,75,75,75,75,66,67,112,74,74,70,75,"1,987",198,196,198,202,200,194,200,196,195,208,"3,217",755,497,736,348,881,18,6,11,1,6,"18,167"
27-May-01,"5,295","2,974","2,004","1,383","1,282",73,74,74,74,74,75,75,75,75,75,66,67,112,74,74,70,75,"1,987",198,196,198,202,200,194,200,196,195,208,"3,217",755,497,736,348,881,18,6,11,1,6,"18,166"
28-May-01,"5,293","2,974","2,004","1,383","1,282",73,74,75,74,74,75,75,75,74,75,66,67,112,74,74,70,75,"1,987",198,196,198,202,200,194,200,196,195,208,"3,216",754,497,736,348,881,18,6,11,1,6,"18,163"
29-May-01,"5,307","2,983","2,003","1,392","1,275",73,74,75,73,74,75,75,74,74,74,66,67,109,74,74,69,75,"1,988",198,196,198,202,200,195,200,196,195,208,"3,215",756,497,735,350,877,18,6,11,1,6,"18,187"
30-May-01,"5,320","2,985","2,002","1,393","1,272",74,74,74,73,73,74,74,71,74,74,65,68,109,74,74,73,74,"1,976",198,196,198,191,200,195,200,195,195,208,"3,213",755,497,734,350,877,18,6,11,1,6,"18,185"
31-May-01,"5,306","2,981","2,012","1,449","1,271",73,74,74,73,73,73,74,75,73,74,63,67,109,74,74,73,75,"1,980",198,197,198,190,200,195,201,198,200,203,"3,210",754,498,733,349,876,18,6,11,1,6,"18,233"
