date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590","3,818",58,,"3,082","1,781","1,348",0,0,96,102,102,0,0,82,20,102,92,93,93,182,28,50,82,20,102,102,0,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,103"
20-Aug-16,"3,367","3,445",34,10,"2,984","1,560","1,043",0,0,69,85,61,0,0,68,19,73,78,88,84,153,10,23,67,15,84,66,0,"3,525",240,290,240,240,200,198,266,269,260,200,199,269,213,200,241,"3,512",0,"1,167",998,452,895,12,5,4,3,"19,492"
21-Aug-16,"3,366","3,444",34,9,"2,982","1,560","1,041",0,0,69,85,61,0,0,65,19,73,78,89,84,153,10,23,67,15,84,66,0,"3,524",240,290,240,240,200,198,266,269,259,200,199,269,213,200,241,"3,512",0,"1,167",998,452,895,12,5,4,3,"19,484"
22-Aug-16,"3,363","3,467",34,9,"2,976","1,547","1,030",0,0,70,84,61,0,0,61,18,70,81,87,84,153,10,23,63,14,84,67,0,"3,555",239,292,238,240,200,196,270,268,260,200,220,269,213,210,240,"3,488",0,"1,166",995,432,895,10,5,2,3,"19,479"
23-Aug-16,"3,367","3,443",33,10,"2,981","1,546","1,024",0,0,69,83,60,0,0,59,17,69,84,88,82,154,10,23,63,14,82,67,0,"3,585",238,294,239,240,203,210,270,268,260,200,227,270,213,218,235,"3,474",0,"1,165",995,415,899,10,5,2,3,"19,473"
24-Aug-16,"3,357","3,488",33,10,"2,981","1,519","1,017",0,0,68,83,60,0,0,58,17,68,83,86,82,156,10,22,63,14,80,67,0,"3,619",239,294,239,240,211,219,269,268,257,199,238,269,213,226,238,"3,427",0,"1,162",995,374,896,10,5,2,3,"19,461"
25-Aug-16,"3,373","3,517",33,8,"2,974","1,515","1,010",0,0,68,82,60,0,0,58,17,68,85,85,78,155,10,22,59,14,82,67,0,"3,645",239,293,239,240,221,232,268,270,255,197,236,270,211,235,239,"3,351",0,"1,160","1,000",298,893,10,5,2,3,"19,436"
26-Aug-16,"3,372","3,526",33,6,"2,980","1,484","1,019",0,0,66,79,59,0,0,63,17,67,83,83,77,154,10,25,69,14,82,71,0,"3,678",239,291,239,238,237,239,268,269,260,198,240,271,210,240,239,"3,328",0,"1,157","1,000",280,891,12,5,4,3,"19,438"
 27-Aug-16,"3,372","3,524",33,6,"2,979","1,484","1,018",0,0,66,79,59,0,0,62,17,67,83,83,77,154,10,25,69,14,82,71,0,"3,676",239,291,239,238,237,239,268,269,260,197,240,271,210,239,239,"3,328",0,"1,157","1,000",280,891,12,5,4,3,"19,432"
