Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"3,356","3,449","3,204","1,629","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,063",300,294,280,300,280,280,274,280,355,280,280,280,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,543"
19-Jun-11,"3,094","3,199","3,131","1,837","1,513",80,83,74,82,86,82,77,88,93,74,79,72,204,92,86,77,84,"3,271",250,230,222,244,223,224,219,223,285,227,224,224,223,253,"5,137",895,"1,357","1,001","1,001",883,11,6,5,0,5,41,"21,239"
20-Jun-11,"3,083","3,245","3,126","1,864","1,550",80,84,77,81,87,86,77,92,92,80,83,72,207,98,90,79,85,"3,280",250,232,224,249,223,224,219,223,284,227,224,224,224,253,"5,137",895,"1,353","1,001","1,002",886,11,6,5,0,5,6,"21,307"
21-Jun-11,"3,087","3,245","3,126","1,857","1,523",78,84,75,79,85,85,74,91,87,75,83,75,201,99,90,78,84,"3,283",250,234,225,248,223,224,219,224,285,227,224,224,223,253,"5,150",903,"1,355","1,001","1,001",890,10,6,4,0,5,2,"21,288"
22-Jun-11,"3,087","3,262","3,122","1,841","1,507",77,84,73,77,83,84,74,86,87,75,83,74,198,99,94,76,83,"3,278",250,233,225,245,223,224,219,224,285,226,225,224,223,252,"5,151",902,"1,355",999,"1,005",890,10,6,4,0,5,5,"21,268"
23-Jun-11,"3,065","3,230","3,131","1,850","1,546",90,87,72,77,83,84,74,89,91,82,82,76,201,101,95,74,88,"3,276",249,235,222,246,223,224,219,224,285,226,224,224,223,252,"5,156",902,"1,358","1,001","1,006",889,10,6,4,0,5,8,"21,277"
24-Jun-11,"3,060","3,229","3,134","1,859","1,531",82,86,76,76,85,83,76,88,87,82,81,76,200,97,92,72,92,"3,282",249,235,222,251,223,224,222,224,285,225,224,224,223,251,"5,149",902,"1,361","1,001",998,887,10,6,4,0,5,41,"21,300"
25-Jun-11,"3,057","3,228","3,128","1,859","1,526",81,85,76,76,85,83,75,88,87,82,80,76,200,97,92,72,91,"3,279",249,234,222,251,223,224,220,224,285,225,224,224,223,251,"5,149",902,"1,361","1,001",998,887,10,6,4,0,5,44,"21,285"
26-Jun-11,"3,056","3,226","3,129","1,859","1,524",81,85,76,76,85,82,75,88,87,82,80,76,199,97,92,72,91,"3,276",249,234,221,251,223,224,219,224,284,225,224,224,223,251,"5,148",902,"1,360","1,001",998,887,10,6,4,0,5,45,"21,278"
27-Jun-11,"3,056","3,234","3,133","1,850","1,566",88,85,81,76,87,83,77,89,89,87,81,82,202,101,93,74,91,"3,281",249,235,224,250,224,224,219,224,285,225,224,223,223,252,"5,138",902,"1,353","1,001",995,887,10,6,4,0,5,10,"21,283"
