Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,627","3,665","3,204","1,767","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,088",294,280,280,280,274,280,280,280,280,280,280,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"24,193"
10-Apr-09,"4,130","3,478","3,105","1,704","1,676",86,93,76,87,92,95,96,83,100,82,77,77,255,94,99,86,98,"2,932",281,266,265,266,259,265,266,266,266,265,267,"5,487",955,"1,365",981,"1,210",976,12,6,3,3,6,41,"22,571"
11-Apr-09,"4,125","3,478","3,100","1,704","1,674",86,93,76,87,92,95,95,83,100,82,77,77,255,94,99,85,98,"2,930",281,266,265,266,259,264,265,266,266,265,267,"5,486",955,"1,365",980,"1,210",976,12,6,3,3,6,41,"22,556"
12-Apr-09,"4,123","3,479","3,101","1,704","1,674",86,93,76,87,92,95,95,83,100,82,77,77,255,94,99,85,98,"2,930",281,266,265,266,259,264,265,266,266,265,267,"5,486",955,"1,365",980,"1,210",976,12,6,3,3,6,40,"22,555"
13-Apr-09,"4,118","3,476","3,110","1,709","1,696",86,94,78,91,93,96,95,93,99,82,76,76,254,99,101,88,95,"2,934",281,266,264,266,263,266,266,265,265,265,267,"5,485",954,"1,364",983,"1,208",976,12,6,3,3,6,17,"22,563"
14-Apr-09,"4,124","3,488","3,103","1,697","1,681",85,94,77,90,91,96,95,93,98,80,75,75,255,95,101,88,93,"2,931",279,266,263,266,263,266,266,265,265,265,267,"5,480",954,"1,362",982,"1,205",977,12,6,3,3,6,13,"22,535"
15-Apr-09,"4,118","3,506","3,113","1,690","1,679",85,94,77,89,91,96,95,93,98,80,74,75,255,95,101,88,93,"2,927",278,266,264,266,262,263,263,266,266,266,267,"5,478",956,"1,361",982,"1,202",977,12,6,3,3,6,12,"22,541"
16-Apr-09,"4,116","3,496","3,110","1,676","1,688",85,98,82,89,91,95,95,93,98,81,74,73,255,96,101,88,94,"2,928",279,266,264,266,261,264,266,265,265,266,266,"5,484",957,"1,362",982,"1,208",975,12,6,3,3,6,13,"22,529"
17-Apr-09,"4,120","3,518","3,116","1,689","1,658",85,97,81,88,88,94,95,92,95,80,74,69,252,93,99,88,88,"2,926",278,265,265,266,261,266,266,263,265,266,265,"5,479",957,"1,363",981,"1,203",975,12,6,3,3,6,29,"22,553"
18-Apr-09,"4,117","3,519","3,109","1,689","1,656",85,97,81,87,87,94,95,92,95,80,73,70,252,93,99,88,88,"2,925",278,264,265,266,261,266,266,263,265,266,265,"5,478",956,"1,363",981,"1,203",975,12,6,3,3,6,28,"22,539"
