Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,435","3,665","3,204","1,470","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,163",294,280,280,280,274,280,355,280,280,280,280,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,779"
19-Feb-10,"3,897","3,243","3,100","1,377","1,729",89,99,91,97,97,98,100,68,98,87,88,88,235,99,96,98,101,"2,717",253,240,242,242,236,243,304,237,241,242,237,"5,214",900,"1,265",899,"1,198",952,10,6,3,1,6,49,"21,342"
20-Feb-10,"3,893","3,242","3,097","1,377","1,727",89,99,90,98,96,98,100,68,98,87,87,87,236,99,96,98,101,"2,715",253,240,242,241,236,242,304,237,241,242,237,"5,211",900,"1,264",899,"1,197",951,10,6,3,1,6,48,"21,326"
21-Feb-10,"3,889","3,241","3,097","1,377","1,724",89,99,89,98,96,98,99,68,98,85,87,87,236,99,96,99,101,"2,714",253,240,242,241,236,241,304,237,241,242,237,"5,210",900,"1,263",899,"1,197",951,10,6,3,1,6,49,"21,317"
22-Feb-10,"3,881","3,269","3,099","1,395","1,751",88,101,88,101,98,102,97,71,100,89,90,91,236,100,100,98,101,"2,699",253,240,241,241,235,235,298,236,241,242,237,"5,210",900,"1,263",899,"1,197",951,10,6,3,1,6,13,"21,333"
23-Feb-10,"3,879","3,306","3,106","1,388","1,762",92,101,87,99,98,102,99,71,99,92,90,92,237,99,100,102,102,"2,673",253,238,236,241,232,235,296,227,241,242,232,"5,218",903,"1,263",900,"1,201",951,10,6,3,1,6,12,"21,360"
24-Feb-10,"3,899","3,364","3,105","1,358","1,758",91,100,86,102,98,102,99,71,99,85,93,92,237,99,100,102,102,"2,652",253,228,232,241,232,233,296,225,240,241,231,"5,212",901,"1,262",900,"1,198",951,10,6,3,1,6,13,"21,377"
25-Feb-10,"3,902","3,378","3,091","1,352","1,733",88,97,95,99,101,95,96,68,96,83,93,91,233,101,99,100,98,"2,576",250,224,230,223,232,224,284,225,222,239,223,"5,231",901,"1,263",900,"1,216",951,8,4,3,1,6,12,"21,289"
26-Feb-10,"3,920","3,364","3,082","1,419","1,694",80,91,93,100,97,98,95,69,93,81,92,91,226,101,94,97,96,"2,529",235,224,227,224,219,223,285,225,220,224,223,"5,206",899,"1,264",900,"1,192",951,9,5,3,1,6,50,"21,279"
27-Feb-10,"3,914","3,359","3,079","1,419","1,690",80,91,93,100,97,98,91,69,93,81,92,91,226,101,94,97,96,"2,527",235,224,227,224,219,222,285,224,220,224,223,"5,203",898,"1,263",900,"1,191",951,9,5,3,1,6,51,"21,257"
