date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,665","3,282","1,753","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,363",300,294,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,553"
10-May-12,"3,303","3,112","3,180","2,196","1,574",88,88,76,87,84,81,76,85,92,77,88,93,207,100,91,74,87,"4,271",300,293,275,300,280,280,273,280,340,280,281,279,231,279,300,"4,310",0,"1,359",987,"1,064",900,14,6,5,3,0,4,"21,964"
11-May-12,"3,306","3,095","3,172","2,188","1,577",88,88,84,85,84,78,73,90,91,75,88,93,211,100,91,73,85,"4,275",300,293,279,300,280,280,273,280,340,280,280,280,231,279,300,"4,287",0,"1,361",988,"1,038",900,14,6,5,3,0,24,"21,938"
12-May-12,"3,303","3,096","3,175","2,190","1,573",88,89,82,85,84,77,73,90,91,75,88,92,211,100,90,73,85,"4,267",300,293,279,299,278,280,273,280,338,279,280,279,231,278,300,"4,284",0,"1,359",988,"1,037",900,14,6,5,3,0,24,"21,926"
13-May-12,"3,303","3,095","3,173","2,190","1,572",88,89,82,85,84,77,73,90,91,75,88,92,211,99,90,73,85,"4,264",300,292,279,299,278,280,273,280,338,279,280,279,230,277,300,"4,281",0,"1,357",988,"1,037",899,14,6,5,3,0,23,"21,915"
14-May-12,"3,297","3,078","3,175","2,212","1,588",87,89,81,88,91,78,77,91,92,79,91,91,208,97,89,73,86,"4,263",299,293,278,299,278,280,274,280,339,279,278,279,230,279,298,"4,277",0,"1,357",988,"1,034",898,12,6,3,3,0,5,"21,907"
15-May-12,"3,307","3,078","3,175","2,199","1,595",87,89,79,88,92,86,75,91,92,81,93,92,208,98,89,73,82,"4,269",299,293,277,299,279,280,274,280,340,280,279,280,230,280,299,"4,274",0,"1,355",987,"1,034",898,12,6,3,3,0,5,"21,914"
16-May-12,"3,307","3,063","3,174","2,201","1,605",89,91,79,87,92,86,73,92,92,81,93,93,208,99,90,73,87,"4,271",299,294,280,298,280,279,274,280,340,280,278,280,230,279,300,"4,286",0,"1,360",987,"1,034",905,12,6,3,3,0,5,"21,924"
17-May-12,"3,311","3,045","3,177","2,182","1,617",88,91,83,93,92,91,74,92,91,81,93,93,207,99,90,72,87,"4,278",300,294,280,300,278,278,274,280,340,279,278,279,238,279,301,"4,287",0,"1,356",987,"1,039",905,12,6,3,3,0,6,"21,915"
18-May-12,"3,300","3,063","3,171","2,156","1,572",88,89,76,89,87,85,79,88,90,71,92,92,204,99,89,72,82,"4,281",300,293,279,300,280,278,274,280,339,279,279,281,238,280,301,"4,291",0,"1,362",987,"1,040",902,11,5,3,3,0,68,"21,913"
