Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"3,356","3,449","3,204","1,629","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,063",300,294,280,300,280,280,274,280,355,280,280,280,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,543"
19-Jul-11,"3,097","3,277","3,141","1,786","1,570",83,71,89,81,85,84,83,84,87,91,93,91,200,95,91,74,88,"3,274",250,235,224,247,224,223,216,224,284,223,224,223,223,254,"5,102",899,"1,349",998,972,884,10,6,4,0,5,11,"21,273"
20-Jul-11,"3,109","3,276","3,139","1,796","1,568",83,71,89,81,85,85,83,83,87,89,93,90,201,95,92,74,87,"3,272",249,235,223,246,224,224,216,223,283,224,224,224,224,253,"5,107",901,"1,348",997,975,886,10,6,4,0,5,10,"21,292"
21-Jul-11,"3,105","3,264","3,131","1,830","1,587",85,71,92,81,85,89,83,81,99,90,93,93,200,95,92,74,84,"3,272",250,235,223,246,224,224,216,223,285,224,224,224,223,251,"5,103",898,"1,347",997,975,886,10,6,4,0,5,4,"21,311"
22-Jul-11,"3,103","3,244","3,140","1,851","1,562",82,71,90,77,82,88,82,81,95,84,92,92,199,96,89,78,84,"3,276",251,235,224,246,223,221,219,224,285,228,224,223,223,250,"5,103",897,"1,351",997,972,886,10,6,4,0,5,32,"21,326"
23-Jul-11,"3,104","3,245","3,137","1,851","1,561",82,71,90,77,82,88,82,81,95,84,92,91,199,96,89,78,84,"3,274",251,235,224,246,223,221,219,224,284,228,223,223,223,250,"5,099",897,"1,349",995,972,886,10,6,4,0,5,32,"21,318"
24-Jul-11,"3,103","3,248","3,135","1,851","1,561",82,71,90,77,82,88,82,81,95,84,92,91,199,96,89,78,84,"3,270",251,235,224,245,223,221,219,224,283,228,223,222,223,249,"5,098",897,"1,349",994,972,886,10,6,4,0,5,30,"21,311"
25-Jul-11,"3,094","3,268","3,133","1,847","1,581",84,71,91,80,85,89,82,81,97,89,92,90,199,96,92,77,86,"3,274",251,235,224,249,223,224,219,224,284,222,224,224,223,248,"5,111",898,"1,348","1,000",971,894,9,6,3,0,5,5,"21,327"
26-Jul-11,"3,101","3,251","3,142","1,872","1,578",84,71,90,80,84,89,82,80,96,89,93,91,199,98,92,77,83,"3,273",251,235,224,249,224,224,219,223,284,220,224,225,223,248,"5,140",900,"1,354",999,991,896,9,6,3,0,5,5,"21,376"
27-Jul-11,"3,105","3,258","3,135","1,902","1,575",84,70,90,85,89,89,81,80,95,89,93,87,197,98,87,76,85,"3,264",251,234,224,250,223,222,217,219,284,224,224,225,223,244,"5,144",900,"1,353",998,"1,001",892,9,6,3,0,5,3,"21,400"
