Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Lefore TVC Support,Lefore TVC,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Flowood TVC,Simpson TVC support,Simpson TVC,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590","3,506",58,,"3,082","1,986","1,848",92,102,96,102,102,102,102,20,82,102,92,93,93,260,,20,82,102,102,102,"4,378",240,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,436"
19-Apr-16,"3,350","2,818",31,1,"2,971","1,476","1,210",0,31,81,87,84,23,0,0,76,90,89,86,92,175,33,86,7,98,72,0,"3,404",241,291,240,241,199,199,239,240,258,198,201,198,231,192,236,"3,918",0,"1,111",993,918,896,6,3,3,0,"19,185"
20-Apr-16,"3,351","2,819",32,1,"2,971","1,476","1,210",0,31,81,87,84,23,0,0,76,90,89,86,92,175,33,86,7,98,72,0,"3,415",241,291,240,241,200,200,240,241,259,199,202,199,232,193,237,"3,922",0,"1,112",994,919,897,9,4,4,1,"19,206"
21-Apr-16,"3,350","2,818",31,2,"2,972","1,477","1,226",0,32,82,88,85,24,0,0,77,91,90,87,93,176,34,87,8,99,73,0,"3,404",241,291,240,241,199,199,239,240,258,198,201,198,231,192,236,"3,918",0,"1,111",993,918,896,7,3,3,1,"19,205"
22-Apr-16,"3,350","2,818",31,2,"2,972","1,477","1,226",0,32,82,88,85,24,0,0,77,91,90,87,93,176,34,87,8,99,73,0,"3,405",242,291,240,241,199,199,239,240,258,198,201,198,231,192,236,"3,918",0,"1,111",993,918,896,7,3,3,1,"19,206"
23-Apr-16,"3,350","2,818",31,2,"2,972","1,477","1,226",0,32,82,88,85,24,0,0,77,91,90,87,93,176,34,87,8,99,73,0,"3,400",241,290,239,240,198,199,239,240,258,198,201,198,231,192,236,"3,918",0,"1,111",993,918,896,7,3,3,1,"19,201"
24-Apr-16,"3,350","2,818",31,2,"2,972","1,477","1,226",0,32,82,88,85,24,0,0,77,91,90,87,93,176,34,87,8,99,73,0,"3,395",241,290,239,240,198,198,238,239,257,197,201,198,231,192,236,"3,918",0,"1,111",993,918,896,7,3,3,1,"19,196"
,"3,373","2,845",31,4,"3,001","1,468","1,165",0,28,81,90,76,0,0,19,73,90,83,82,87,173,28,17,77,96,65,0,"3,395",237,290,238,240,200,199,239,237,258,198,201,200,225,194,239,"3,923",0,"1,100",999,931,893,16,6,6,4,"19,221"
25-Apr-16 26-Apr-16 27-Apr-16,"3,372","2,844",30,4,"3,000","1,492","1,161",0,27,80,89,75,0,0,18,72,89,82,81,86,173,28,16,86,95,64,0,"3,387",236,289,237,239,199,198,238,236,258,198,201,200,225,194,239,"3,923",0,"1,100",999,931,893,16,6,6,4,"19,229"
,"3,372","2,844",30,4,"3,000","1,519","1,161",0,27,80,89,75,0,0,18,72,89,82,81,86,173,28,16,86,95,64,0,"3,393",236,289,237,239,199,198,238,236,259,199,202,201,225,195,240,"3,927",0,"1,101","1,000",932,894,17,7,6,4,"19,267"
