date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Tallahatchie County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,529","3,233","2,306","2,177","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"3,058",294,280,280,280,274,250,280,280,280,280,280,"5,100",972,"1,000","1,000",128,"1,000","1,000",16,6,6,4,6,,"22,241"
19-Feb-06,"4,363","3,129","2,076","1,717","1,646",87,100,78,87,84,90,92,97,97,87,85,72,220,90,95,87,98,"3,047",293,279,278,279,273,249,279,279,279,280,279,"4,735",970,816,993,128,911,917,13,3,6,4,6,64,"20,796"
20-Feb-06,"4,363","3,128","2,073","1,716","1,696",91,101,78,89,90,92,93,100,98,90,88,82,224,94,97,89,100,"3,044",292,279,278,279,271,249,279,279,279,280,279,"4,735",970,816,993,128,911,917,13,3,6,4,6,9,"20,783"
21-Feb-06,"4,357","3,155","2,065","1,750","1,692",91,101,78,89,93,93,92,100,96,89,86,83,222,93,97,89,100,"3,048",292,279,280,279,273,249,280,280,276,280,280,"4,723",966,824,988,128,901,916,13,3,6,4,6,7,"20,816"
22-Feb-06,"4,355","3,149","2,062","1,766","1,697",90,100,78,88,102,92,92,97,101,88,85,83,223,92,97,89,100,"3,050",293,279,280,280,273,249,280,280,277,279,280,"4,749",966,824,995,128,921,915,13,3,6,4,6,9,"20,856"
23-Feb-06,"4,340","3,175","2,063","1,729","1,703",89,99,84,89,102,92,92,98,101,88,84,82,225,92,97,89,100,"3,049",293,279,280,280,273,250,280,280,277,278,279,"4,750",969,825,992,128,916,920,12,3,5,4,6,9,"20,836"
24-Feb-06,"4,347","3,171","2,051","1,738","1,658",88,93,90,89,96,90,91,94,93,87,84,84,220,88,95,83,93,"3,051",294,279,280,280,271,251,279,280,280,278,279,"4,751",970,825,989,128,922,917,11,3,4,4,6,55,"20,839"
25-Feb-06,"4,346","3,170","2,051","1,738","1,658",88,93,90,89,96,90,91,94,93,87,84,84,220,88,95,83,93,"3,048",294,279,280,279,270,251,279,280,279,278,279,"4,748",970,824,988,128,922,916,11,3,4,4,6,54,"20,830"
26-Feb-06,"4,344","3,170","2,048","1,738","1,657",88,93,90,89,96,90,90,94,93,87,84,84,220,88,95,83,93,"3,046",294,279,280,279,269,251,279,280,279,278,278,"4,743",969,824,987,128,920,915,11,3,4,4,6,53,"20,816"
27-Feb-06,"4,322","3,147","2,063","1,749","1,698",89,99,93,91,101,94,91,95,96,87,84,82,222,91,97,87,99,"3,050",294,280,278,279,274,250,279,280,279,278,279,"4,755",969,838,993,128,915,912,12,3,5,4,6,4,"20,806"
