date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Tallahatchie County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,529","3,293","2,075","1,953","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"3,058",294,280,280,280,274,250,280,280,280,280,280,"5,100",972,"1,000","1,000",128,"1,000","1,000",16,6,6,4,6,,"21,846"
19-Jul-06,"4,480","3,237","2,030","1,681","1,764",92,102,94,98,93,101,99,101,101,90,85,90,223,102,91,101,101,"3,053",294,280,279,280,273,250,280,280,280,279,278,"4,885",973,867,995,128,950,972,13,4,6,3,5,2,"21,150"
20-Jul-06,"4,483","3,267","2,027","1,682","1,784",92,101,93,102,101,101,102,99,101,90,85,89,225,101,99,102,101,"3,052",294,280,279,280,272,249,279,280,281,279,279,"4,880",972,866,996,128,945,973,13,4,6,3,5,1,"21,194"
21-Jul-06,"4,477","3,256","2,040","1,683","1,740",91,101,90,97,100,97,101,94,98,87,86,84,220,99,96,100,99,"3,051",293,280,280,280,272,249,280,280,281,277,279,"4,879",973,865,997,128,944,972,13,4,6,3,5,45,"21,189"
22-Jul-06,"4,472","3,254","2,040","1,683","1,738",91,101,90,97,100,97,100,94,98,87,86,84,219,99,96,100,99,"3,049",293,280,280,280,272,249,279,280,281,276,279,"4,872",972,865,996,128,943,968,12,4,5,3,5,45,"21,170"
23-Jul-06,"4,470","3,253","2,039","1,683","1,737",91,101,90,96,100,97,100,94,98,87,86,84,219,99,96,100,99,"3,047",293,280,280,279,272,249,279,280,281,275,279,"4,871",971,865,996,128,943,968,12,4,5,3,5,45,"21,162"
24-Jul-06,"4,457","3,235","2,047","1,709","1,772",92,100,90,101,101,101,98,97,100,90,87,91,220,101,101,101,101,"3,046",291,280,280,280,271,250,280,279,281,275,279,"4,870",972,863,995,128,944,968,13,5,5,3,5,2,"21,156"
25-Jul-06,"4,464","3,256","2,042","1,711","1,770",92,99,94,101,101,101,96,96,100,90,89,91,219,102,100,98,101,"3,053",292,280,278,280,274,249,280,280,281,280,279,"4,868",971,860,995,128,949,965,14,6,5,3,5,1,"21,184"
26-Jul-06,"4,467","3,233","2,036","1,739","1,780",92,99,94,102,102,100,98,99,102,90,93,90,220,100,99,98,102,"3,041",293,277,278,280,269,248,280,280,280,278,278,"4,852",965,860,994,128,947,958,15,6,6,3,5,3,"21,171"
27-Jul-06,"4,497","3,236","2,033","1,755","1,784",92,98,96,102,101,100,98,101,102,90,93,87,220,102,99,102,101,"3,045",292,277,277,280,275,249,278,280,280,278,279,"4,844",966,860,993,128,946,951,15,6,6,3,5,4,"21,218"
