date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,3590,"3,858",58,,"3,082","1,781","1,348",0,0,96,102,102,0,0,82,20,102,92,93,93,182,28,50,82,20,102,102,0,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,143"
1-Nov-16,3281,"3,343",36,22,"2,962","1,247",976,0,0,64,83,53,0,0,69,13,76,72,87,64,151,5,26,64,14,67,68,0,"4,153",297,293,263,301,279,276,271,275,317,197,276,315,225,270,298,"3,062",0,"1,166",998,0,898,16,6,6,4,"19,098"
2-Nov-16,3275,"3,291",36,20,"2,963","1,271",968,0,0,64,83,52,0,0,69,14,77,72,87,64,151,5,25,58,14,66,67,0,"4,183",295,292,269,298,280,274,270,275,344,197,276,321,224,270,298,"3,062",0,"1,166",998,0,898,15,6,5,4,"19,084"
3-Nov-16,3288,"3,285",36,7,"2,958","1,294",955,0,0,64,83,51,0,0,66,14,77,71,86,61,149,5,24,57,14,66,67,0,"4,193",294,292,267,298,278,279,274,273,345,196,278,322,227,273,297,"3,062",0,"1,165","1,000",0,897,15,6,5,4,"19,093"
4-Nov-16,3293,"3,232",35,13,"2,955","1,299",970,0,0,64,83,48,0,0,76,14,76,70,85,61,147,5,24,70,14,66,67,0,"4,184",293,292,266,304,276,275,273,271,346,196,278,323,226,270,295,"3,055",0,"1,160",999,0,896,13,6,5,2,"19,049"
5-Nov-16,3293,"3,232",35,13,"2,955","1,299",964,0,0,64,83,48,0,0,75,14,76,68,85,61,147,5,24,69,14,65,66,0,"4,183",293,292,266,304,276,275,273,271,346,196,278,323,226,270,294,"3,056",0,"1,161",999,0,896,13,6,5,2,"19,043"
6-Nov-16,3292,"3,233",35,13,"2,955","1,301",961,0,0,64,82,48,0,0,75,14,76,68,85,61,147,5,23,68,14,65,66,0,"4,181",293,292,266,304,276,274,272,271,346,196,278,323,226,270,294,"3,055",0,"1,161",998,0,896,13,6,5,2,"19,039"
7-Nov-16,3308,"3,262",34,13,"2,955","1,316",967,0,0,64,82,51,0,0,74,14,77,68,85,60,151,5,23,66,14,66,67,0,"4,182",293,294,266,303,276,274,273,271,344,195,278,325,226,269,295,"3,055",0,"1,162",997,0,896,13,6,5,2,"19,105"
8-Nov-16,3293,"3,288",34,13,"2,956","1,294",961,0,0,64,82,51,0,0,74,13,75,67,85,59,151,5,23,65,14,66,67,0,"4,203",293,293,266,310,276,279,274,279,343,192,278,327,226,273,294,"3,057",0,"1,166",995,0,896,13,6,5,2,"19,112"
9-Nov-16,3301,"3,282",34,13,"2,955","1,281",951,0,0,64,82,51,0,0,72,14,73,67,85,59,149,5,23,62,14,65,66,0,"4,216",293,293,266,310,278,279,274,280,348,192,279,328,225,280,291,"3,059",0,"1,165",994,0,900,13,6,5,2,"19,105"
10-Nov-16,3278,"3,311",32,25,"2,948","1,252",948,0,0,64,82,50,0,0,71,14,71,67,89,59,148,5,23,59,14,65,67,0,"4,223",300,294,269,310,279,279,274,279,344,193,280,328,225,279,290,"3,057",0,"1,162",999,0,896,13,6,5,2,"19,087"
