Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Lefore TVC Support,Lefore TVC,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Flowood TVC,Simpson TVC support,Simpson TVC,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590","3,506",58,,"3,082","1,986","1,848",92,102,96,102,102,102,102,20,82,102,92,93,93,260,,20,82,102,102,102,"4,378",240,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,436"
28-Apr-16,"3,372","2,844",30,4,"3,000","1,532","1,161",0,27,80,89,75,0,0,18,72,89,82,81,86,173,28,16,86,95,64,0,"3,392",236,289,237,239,199,198,238,236,259,199,202,200,225,195,240,"3,927",0,"1,101","1,000",932,894,17,7,6,4,"19,279"
29-Apr-16,"3,372","2,844",30,4,"3,000","1,526","1,166",0,27,80,89,75,0,0,18,72,89,82,81,87,173,28,17,87,96,65,0,"3,406",237,290,238,240,200,199,239,237,260,200,203,201,225,196,241,"3,931",0,"1,102","1,001",933,895,22,8,8,6,"19,301"
30-Apr-16,"3,371","2,840",28,2,"2,998","1,522","1,153",0,26,79,88,74,0,0,17,71,88,81,80,87,171,26,17,87,96,65,0,"3,404",237,290,238,240,200,199,239,237,260,200,203,201,223,196,241,"3,931",0,"1,102","1,001",933,895,22,8,8,6,"19,271"
Avg Population,"3,358","2,825",31,3,"2,969","1,478","1,193",0,30,78,86,79,25,0,21,64,91,87,85,89,173,30,45,45,95,69,0,"3,407",239,291,239,240,200,199,239,239,259,198,201,199,231,195,238,"3,928",0,"1,113",995,925,895,13,5,6,2,"19,204"
