date_raw,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"5,768","3,233","2,214","2,176","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"3,750","1,000","1,000",750,"1,000",24,6,12,6,6,,"21,737"
14-Jan-04,"5,590","3,215","2,110","1,908","1,526",90,81,96,67,65,66,72,102,100,91,42,79,219,101,89,69,97,"2,737",248,248,248,249,249,248,249,250,250,249,249,"3,447",731,993,734,989,13,6,4,3,0,6,"20,552"
15-Jan-04,"5,573","3,257","2,099","1,912","1,531",90,81,96,67,71,66,71,102,101,91,43,77,218,100,89,69,99,"2,735",249,248,247,250,249,247,249,249,250,249,248,"3,442",731,992,732,987,14,6,5,3,0,7,"20,570"
16-Jan-04,"5,556","3,233","2,129","1,895","1,454",80,75,92,65,64,58,67,92,94,87,42,75,210,94,94,71,94,"2,734",248,248,247,250,249,248,249,249,250,247,249,"3,443",731,989,732,991,12,4,5,3,0,102,"20,558"
17-Jan-04,"5,557","3,235","2,127","1,895","1,454",80,75,92,65,64,58,67,92,94,87,42,75,210,94,94,71,94,"2,733",248,248,247,250,249,248,249,249,250,247,248,"3,441",731,989,732,989,12,4,5,3,0,100,"20,554"
18-Jan-04,"5,556","3,234","2,126","1,895","1,454",80,75,92,65,64,58,67,92,94,87,42,75,210,94,94,71,94,"2,732",248,248,246,250,249,248,249,249,250,247,248,"3,437",729,988,732,988,12,4,5,3,0,103,"20,549"
19-Jan-04,"5,551","3,232","2,125","1,901","1,546",90,81,96,67,71,65,72,101,102,91,43,78,215,100,101,72,101,"2,730",248,248,246,249,249,248,249,249,250,246,248,"3,434",729,988,732,985,14,6,5,3,0,0,"20,533"
20-Jan-04,"5,606","3,173","2,121","1,904","1,545",90,81,96,66,70,65,72,101,100,91,44,78,218,100,101,72,100,"2,737",249,249,250,249,249,247,250,250,248,248,248,"3,442",730,990,738,984,14,6,5,3,0,11,"20,553"
21-Jan-04,"5,616","3,162","2,121","1,920","1,544",90,81,96,66,70,63,70,101,102,92,44,78,218,100,101,72,100,"2,738",249,249,250,249,249,246,250,250,248,250,248,"3,451",730,989,739,993,14,6,5,3,0,10,"20,576"
22-Jan-04,"5,613","3,193","2,110","1,907","1,549",90,81,94,72,70,63,71,101,100,90,45,78,222,100,100,72,100,"2,739",248,249,250,249,249,249,249,248,250,248,250,"3,445",728,989,737,991,14,6,5,3,0,7,"20,577"
23-Jan-04,"5,603","3,207","2,104","1,902","1,481",88,78,90,64,62,58,69,94,96,86,45,80,215,98,91,71,96,"2,744",250,249,250,249,249,250,248,250,250,249,250,"3,442",727,989,735,991,13,6,5,2,5,69,"20,570"
24-Jan-04,"5,604","3,207","2,103","1,902","1,480",88,78,90,64,62,58,69,94,95,87,45,80,215,98,90,71,96,"2,744",250,249,250,249,249,250,248,250,250,249,250,"3,443",727,988,737,991,13,6,5,2,5,67,"20,568"
25-Jan-04,"5,604","3,206","2,101","1,902","1,480",88,78,90,64,62,58,69,94,95,87,45,80,215,98,90,71,96,"2,744",250,249,250,249,249,250,248,250,250,249,250,"3,441",726,988,737,990,13,6,5,2,5,68,"20,564"
26-Jan-04,"5,616","3,219","2,093","1,891","1,546",89,84,93,69,69,61,76,102,100,90,45,81,218,99,98,72,100,"2,744",250,248,250,249,250,250,248,250,250,249,250,"3,442",726,986,741,989,13,6,5,2,5,8,"20,577"
