date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,"3,590","3,830",58,0,"3,082","1,781","1,188",0,0,96,102,102,0,0,82,20,62,58,93,93,178,28,50,82,20,60,62,0,"4,556",300,369,280,310,342,280,274,280,355,280,280,326,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,164,40,34,8,42,40,"24,237"
18-Nov-17,"3,352","3,554",27,28,"2,643","1,215",898,0,0,56,69,59,0,0,74,18,61,44,86,46,152,13,17,72,15,58,58,0,"4,258",286,292,274,302,332,249,273,278,345,213,280,321,239,277,297,"3,122",0,"1,228","1,000",0,894,9,4,2,3,45,3,34,6,0,2,"19,151"
19-Nov-17,"3,352","3,552",27,28,"2,642","1,215",894,0,0,56,69,59,0,0,73,18,61,44,86,46,152,13,17,69,15,58,58,0,"4,257",286,292,274,302,332,249,273,278,345,212,280,321,239,277,297,"3,121",0,"1,228",999,0,894,9,4,2,3,45,3,34,6,0,2,"19,142"
20-Nov-17,"3,353","3,589",28,28,"2,646","1,199",888,0,0,54,68,59,0,0,72,16,62,44,86,46,153,13,16,69,15,57,58,0,"4,256",286,293,274,301,331,249,273,278,345,211,280,321,239,278,297,"3,123",0,"1,233",998,0,892,9,4,2,3,45,3,34,6,0,2,"19,164"
21-Nov-17,"3,355","3,605",29,20,"2,643","1,194",879,0,0,54,68,59,0,0,66,16,61,48,88,45,154,14,15,62,15,56,58,0,"4,268",286,293,273,301,338,249,273,278,345,221,277,320,238,279,297,"3,135",0,"1,238",997,0,900,10,5,2,3,45,3,34,6,0,2,"19,183"
22-Nov-17,"3,351","3,601",29,21,"2,625","1,207",880,0,0,56,68,58,0,0,66,16,60,48,88,45,155,13,15,62,15,57,58,0,"4,267",287,293,271,301,336,249,273,278,345,220,277,326,236,278,297,"3,136",0,"1,237","1,000",0,899,10,5,2,3,44,3,34,5,0,2,"19,171"
23-Nov-17,"3,351","3,600",29,21,"2,624","1,207",867,0,0,56,68,58,0,0,59,16,60,48,88,45,155,13,15,56,15,57,58,0,"4,265",287,293,271,301,336,249,273,278,345,220,277,326,235,277,297,"3,135",0,"1,236","1,000",0,899,10,5,2,3,45,3,34,6,0,2,"19,154"
24-Nov-17,"3,349","3,600",29,21,"2,624","1,207",865,0,0,56,68,58,0,0,59,16,60,48,88,45,155,13,15,55,14,57,58,0,"4,264",287,293,271,301,336,249,273,278,345,219,277,326,235,277,297,"3,135",0,"1,236","1,000",0,899,9,4,2,3,45,3,34,6,0,2,"19,148"
25-Nov-17,"3,348","3,601",29,21,"2,623","1,207",864,0,0,56,68,58,0,0,58,15,60,48,88,45,155,13,15,55,15,57,58,0,"4,264",287,293,271,301,336,249,273,278,345,219,277,326,235,277,297,"3,133",0,"1,235","1,000",0,898,9,4,2,3,45,3,34,6,0,2,"19,144"
26-Nov-17,"3,347","3,601",29,21,"2,623","1,207",864,0,0,56,68,58,0,0,58,15,60,48,88,45,155,13,15,55,15,57,58,0,"4,263",287,293,270,301,336,249,273,278,345,219,277,326,235,277,297,"3,131",0,"1,234","1,000",0,897,9,4,2,3,45,3,34,6,0,2,"19,140"
27-Nov-17,"3,340","3,632",29,17,"2,619","1,209",853,0,0,56,68,57,0,0,58,15,59,48,87,45,152,13,15,55,13,57,55,0,"4,249",285,293,266,301,336,249,273,278,345,219,276,325,232,276,295,"3,129",0,"1,232","1,000",0,897,10,5,2,3,44,3,34,5,0,2,"19,131"
28-Nov-17,"3,350","3,636",28,20,"2,620","1,209",851,0,0,56,66,57,0,0,58,15,62,48,87,45,149,13,15,55,14,56,55,0,"4,245",285,291,276,300,333,249,272,278,344,218,275,324,232,272,296,"3,129",0,"1,233","1,000",0,896,10,5,2,3,47,5,34,6,0,2,"19,145"
29-Nov-17,"3,348","3,651",28,24,"2,623","1,194",832,0,0,58,65,57,0,0,54,15,62,47,87,46,147,13,14,45,13,54,55,0,"4,246",285,291,275,300,332,249,271,276,344,224,275,324,232,272,296,"3,123",0,"1,229","1,000",0,894,10,5,2,3,46,5,34,5,0,2,"19,125"
30-Nov-17,"3,335","3,670",28,17,"2,625","1,193",831,0,0,57,66,57,0,0,54,15,62,46,87,47,147,13,14,45,13,54,54,0,"4,265",285,293,274,305,332,256,274,276,344,223,276,324,235,272,296,"3,127",0,"1,234","1,000",0,893,9,5,2,2,46,5,34,5,0,2,"19,146"
Avg Population,"3,347",3606,28,22,2626,1217,874,0,0,57,67,57,0,0,65,17,61,46,82,46,154,13,17,65,14,57,57,0,4245,287,292,273,301,327,250,273,277,346,211,278,324,234,275,296,3119,0,1227,999,0,893,9,4,2,3,46,4,35,6,0,2,"19,138"
