Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,435","3,449","3,204","1,450","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,163",294,280,280,280,274,280,355,280,280,280,280,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,543"
10-Apr-10,"3,738","3,303","3,100","1,441","1,657",73,89,80,95,88,89,95,89,91,83,83,93,233,101,88,93,94,"2,519",234,221,222,224,219,222,284,225,222,222,224,"5,193",903,"1,269",899,"1,173",949,10,4,4,2,6,23,"20,990"
11-Apr-10,"3,738","3,305","3,099","1,441","1,657",73,89,80,95,88,89,95,89,91,83,83,93,233,101,88,93,94,"2,519",234,222,222,224,219,222,283,225,222,222,224,"5,190",903,"1,267",898,"1,173",949,10,4,4,2,6,21,"20,986"
12-Apr-10,"3,744","3,297","3,102","1,458","1,662",74,91,81,95,88,88,95,89,91,86,83,93,236,101,88,91,92,"2,519",234,221,220,224,219,223,284,225,221,224,224,"5,199",903,"1,265",898,"1,183",950,10,4,4,2,6,10,"21,007"
13-Apr-10,"3,746","3,290","3,105","1,461","1,657",74,91,81,95,88,88,94,88,91,85,84,93,234,101,88,91,91,"2,527",232,223,224,224,219,225,284,225,223,224,224,"5,206",901,"1,265",902,"1,185",953,10,4,4,2,6,8,"21,016"
14-Apr-10,"3,757","3,289","3,110","1,459","1,650",74,91,81,95,86,88,94,87,91,85,84,93,230,102,87,91,91,"2,527",232,224,224,224,218,224,284,225,224,224,224,"5,220",901,"1,263",901,"1,202",953,10,4,4,2,6,9,"21,037"
15-Apr-10,"3,745","3,295","3,098","1,461","1,648",73,92,81,92,86,88,94,84,99,85,82,92,230,102,86,91,91,"2,523",234,224,224,224,219,222,282,223,223,224,224,"5,231",901,"1,281",900,"1,199",950,10,4,4,2,6,6,"21,023"
16-Apr-10,"3,739","3,306","3,098","1,458","1,620",72,91,80,89,84,88,93,85,93,83,73,93,230,101,87,90,88,"2,529",234,224,222,224,220,223,286,225,224,224,223,"5,234",901,"1,282",902,"1,198",951,10,4,4,2,6,15,"21,015"
17-Apr-10,"3,738","3,311","3,098","1,458","1,617",72,91,80,88,84,88,93,85,93,83,73,93,230,101,86,90,87,"2,526",234,224,222,224,219,223,285,224,224,224,223,"5,230",901,"1,281",901,"1,197",950,9,3,4,2,6,13,"21,006"
18-Apr-10,"3,736","3,311","3,098","1,458","1,616",71,91,80,88,84,88,93,85,93,83,73,93,230,101,86,90,87,"2,526",234,224,222,224,219,223,285,224,224,224,223,"5,229",901,"1,280",901,"1,197",950,9,3,4,2,6,13,"21,002"
