Location,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,SMCI TVC,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648",108,"3,469",58,158,"3,282",0,"2,006","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"25,737"
1-Sep-15,"3,111",92,"2,449",27,133,"2,513",91,"1,086","1,184",91,71,53,49,50,50,0,74,58,72,84,61,181,88,78,56,68,"4,209",300,349,262,299,274,279,256,262,342,263,269,280,205,280,289,"3,874",0,"1,125",996,917,836,13,4,6,3,"18,782"
2-Sep-15,"3,112",93,"2,450",28,134,"2,514",92,"1,093","1,193",92,72,54,50,51,51,0,75,59,73,84,61,181,88,78,56,68,"4,209",300,349,262,299,274,279,256,262,342,263,269,280,205,280,289,"3,874",0,"1,125",996,917,836,13,4,6,3,"18,805"
3-Sep-15,"3,112",93,"2,450",28,134,"2,514",92,"1,096","1,192",92,72,54,50,51,51,0,75,59,73,83,61,181,88,78,56,68,"4,209",300,349,262,299,274,279,256,262,342,263,269,280,205,280,289,"3,874",0,"1,125",996,917,836,13,4,6,3,"18,807"
4-Sep-15,"3,112",93,"2,450",28,134,"2,514",92,"1,119","1,197",92,72,54,50,51,51,0,75,59,73,84,62,181,89,79,57,68,"4,209",300,349,262,299,274,279,256,262,342,263,269,280,205,280,289,"3,874",0,"1,125",996,917,836,13,4,6,3,"18,835"
5-Sep-15,"3,112",93,"2,450",28,134,"2,514",92,"1,119","1,197",92,72,54,50,51,51,0,75,59,73,84,62,181,89,79,57,68,"4,197",299,348,261,298,273,278,255,261,341,262,268,279,205,280,289,"3,874",0,"1,125",996,917,836,13,4,6,3,"18,823"
6-Sep-15,"3,112",93,"2,450",28,134,"2,514",92,"1,119","1,197",92,72,54,50,51,51,0,75,59,73,84,62,181,89,79,57,68,"4,196",299,348,261,298,273,278,255,261,341,262,268,279,205,280,288,"3,869",0,"1,124",994,916,835,8,3,4,1,"18,812"
7-Sep-15,"3,112",93,"2,450",28,134,"2,514",92,"1,118","1,196",92,72,54,50,51,51,0,75,59,73,84,62,181,89,79,57,67,"4,184",298,347,260,297,272,277,254,262,340,261,267,278,205,279,287,"3,865",0,"1,123",993,915,834,8,3,4,1,"18,794"
8-Sep-15,"3,112",93,"2,450",28,134,"2,514",92,"1,150","1,195",92,72,54,50,51,51,0,75,59,73,84,62,181,89,79,57,66,"4,184",298,347,260,297,272,277,254,262,340,261,267,278,205,279,287,"3,865",0,"1,123",993,915,834,8,3,4,1,"18,825"
9-Sep-15,"3,112",93,"2,450",28,134,"2,514",92,"1,101","1,206",92,72,55,51,52,52,0,76,60,74,85,63,181,88,80,58,67,"4,197",299,348,261,298,273,278,255,263,341,262,268,279,205,280,287,"3,865",0,"1,123",993,915,834,8,3,4,1,"18,800"
