date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,557",42,"3,282","1,882","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,691"
10-Sep-13,"3,387","3,353",34,"3,227","2,230","1,419",91,66,73,68,91,73,57,73,77,80,93,87,220,102,64,45,59,"4,430",298,368,280,300,280,280,274,280,354,281,280,279,297,279,300,"4,398",0,"1,199",994,"1,311",894,12,4,5,3,0,0,"22,490"
11-Sep-13,"3,381","3,330",34,"3,231","2,193","1,421",89,68,69,65,89,70,61,75,79,80,93,86,215,100,70,54,58,"4,433",300,368,280,300,278,280,274,279,355,281,280,279,300,280,299,"4,408",0,"1,201","1,000","1,309",898,12,4,5,3,0,0,"22,443"
12-Sep-13,"3,380","3,324",33,"3,235","2,195","1,417",89,74,69,63,89,69,62,75,79,79,93,84,212,99,69,54,58,"4,434",299,367,280,300,280,280,274,280,355,281,280,280,298,280,300,"4,407",0,"1,200",999,"1,310",898,10,4,3,3,0,0,"22,435"
13-Sep-13,"3,383","3,318",33,"3,221","2,192","1,417",92,74,68,62,89,74,62,72,85,79,92,83,210,96,70,51,58,"4,429",298,367,280,299,280,280,274,280,355,281,280,279,296,280,300,"4,382",0,"1,199",999,"1,287",897,10,4,3,3,0,0,"22,385"
14-Sep-13,"3,383","3,319",31,"3,217","2,228","1,379",92,74,67,62,89,74,62,72,85,79,92,47,209,96,70,51,58,"4,426",298,367,280,299,280,280,274,280,354,281,279,279,295,280,300,"4,380",0,"1,198",999,"1,286",897,10,4,3,3,0,0,"22,373"
15-Sep-13,"3,381","3,316",33,"3,216","2,192","1,413",92,74,67,62,89,74,62,72,85,79,91,82,209,96,70,51,58,"4,425",298,367,280,299,280,280,274,280,354,281,279,279,294,280,300,"4,379",0,"1,198",999,"1,285",897,10,4,3,3,0,0,"22,365"
16-Sep-13,"3,386","3,321",34,"3,222","2,195","1,413",91,75,67,62,89,74,61,71,85,78,92,80,211,97,70,50,60,"4,422",298,369,280,300,280,279,273,279,355,281,279,276,294,279,300,"4,377",0,"1,199",998,"1,284",896,11,6,3,2,0,0,"22,381"
17-Sep-13,"3,380","3,337",34,"3,223","2,196","1,413",91,73,67,63,89,73,61,70,85,78,92,82,211,97,71,50,60,"4,428",298,369,280,299,280,280,273,280,355,280,279,276,300,279,300,"4,376",0,"1,198",997,"1,284",897,11,6,3,2,0,0,"22,398"
18-Sep-13,"3,378","3,310",34,"3,231","2,207","1,410",90,72,67,63,88,71,64,69,84,78,91,80,214,97,71,51,60,"4,410",300,367,280,288,280,280,273,278,353,279,280,275,300,278,299,"4,395",0,"1,198",998,"1,303",896,12,6,3,3,0,0,"22,387"
