date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Delta Satellite Facility,Delta TVC,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin Satellite Facility (RRP),Flowood TVC,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Tallahatchie County,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,"3,560","4,094",58,0,"3,082","1,793","1,372",0,0,124,324,96,102,102,0,0,62,58,93,93,178,28,50,0,62,0,"4,579",300,369,280,310,342,280,297,280,355,280,280,326,300,280,300,"6,000","1,000","1,500","1,000","1,500","1,000",10,0,6,4,122,40,34,8,42,40,"24,670"
18-Feb-20,"2,637","3,659",24,0,"2,656","1,277",771,0,0,64,135,55,0,35,0,0,64,42,82,72,140,18,9,0,55,0,"4,348",297,287,270,309,336,273,306,277,348,269,397,280,137,272,290,"3,487",377,"1,245",995,0,870,6,0,4,2,36,4,26,1,0,5,"18,901"
19-Feb-20,"2,583","3,668",23,0,"2,654","1,280",776,0,0,64,142,55,0,34,0,0,60,42,81,74,141,18,10,0,55,0,"4,334",296,286,270,309,335,273,306,276,347,269,392,280,137,271,287,"3,529",424,"1,243",995,0,867,6,0,4,2,25,3,17,2,0,3,"18,878"
20-Feb-20,"2,482","3,681",23,0,"2,650","1,269",772,0,0,64,141,54,0,34,0,0,60,42,81,74,141,18,8,0,55,0,"4,332",296,286,270,308,337,271,304,279,347,271,394,279,136,269,285,"3,626",524,"1,241",995,0,866,6,0,4,2,25,3,16,2,0,4,"18,866"
21-Feb-20,"2,432","3,680",23,0,"2,649","1,277",773,0,0,66,152,52,0,40,0,0,61,41,72,72,136,18,8,0,55,0,"4,328",296,286,270,308,336,271,304,278,348,269,394,279,135,270,284,"3,679",574,"1,240",995,0,870,6,0,4,2,24,3,15,2,0,4,"18,871"
22-Feb-20,"2,432","3,678",23,0,"2,646","1,277",782,0,0,66,161,52,0,40,0,0,61,41,72,72,136,18,8,0,55,0,"4,328",296,286,270,308,336,271,304,278,348,269,394,279,135,270,284,"3,678",574,"1,240",994,0,870,6,0,4,2,24,3,15,2,0,4,"18,874"
23-Feb-20,"2,430","3,677",23,0,"2,646","1,277",782,0,0,66,160,52,0,40,0,0,61,40,72,72,136,18,10,0,55,0,"4,327",296,286,270,308,336,271,304,278,347,269,394,279,135,270,284,"3,678",574,"1,240",994,0,870,6,0,4,2,24,3,15,2,0,4,"18,870"
24-Feb-20,"2,357","3,677",23,0,"2,660","1,286",792,0,0,65,169,53,0,40,0,0,61,39,76,69,139,17,10,0,54,0,"4,319",293,286,270,308,335,271,302,277,344,268,392,280,140,269,284,"3,746",649,"1,235",993,0,869,0,0,4,2,24,3,15,2,0,4,"18,884"
25-Feb-20,"2,357","3,706",24,0,"2,658","1,258",786,0,0,64,165,53,0,40,0,0,61,39,76,70,139,16,10,0,53,0,"4,319",293,284,270,308,334,271,310,275,341,268,393,280,140,268,284,"3,742",650,"1,231",993,0,868,6,0,4,2,23,3,15,2,0,3,"18,879"
26-Feb-20,"2,285","3,716",24,0,"2,656","1,247",786,0,0,64,163,54,0,40,0,0,61,39,76,72,139,16,10,0,52,0,"4,319",290,284,268,308,337,271,310,277,335,267,398,280,141,270,283,"3,812",725,"1,226",992,0,869,6,0,4,2,22,4,15,2,0,1,"18,873"
27-Feb-20,"2,305","3,672",24,0,"2,659","1,224",788,0,0,64,163,53,0,40,0,0,60,39,76,71,139,16,10,0,57,0,"4,335",290,284,268,308,337,275,320,277,333,270,400,280,141,269,283,"3,810",725,"1,224",992,0,869,6,0,4,2,22,4,15,2,0,1,"18,845"
28-Feb-20,"2,203","3,666",24,0,"2,657","1,291",786,0,0,64,162,50,0,40,0,0,62,39,77,71,136,16,14,0,55,0,"4,340",290,284,268,308,339,274,319,280,337,269,400,280,141,269,282,"3,908",825,"1,223",992,0,868,6,0,4,2,22,4,15,2,0,1,"18,903"
29-Feb-20,"2,202","3,668",24,0,"2,654","1,291",787,0,0,64,161,52,0,40,0,0,62,39,77,71,136,16,14,0,55,0,"4,337",290,284,268,308,338,274,319,280,336,269,400,280,141,268,282,"3,908",825,"1,223",992,0,868,5,0,3,2,22,4,15,2,0,1,"18,898"
Avg Population,"2,568",3635,22,0,2650,1314,780,0,0,66,146,50,0,37,0,0,63,40,78,72,142,18,13,0,55,0,4350,296,289,270,308,337,274,302,278,347,272,396,280,136,273,291,3571,477,1230,996,0,868,11,0,4,2,30,4,22,1,0,2,18932
