Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,"Washington County (Open Sept 21, 2011)",Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"3,356","3,449","3,256","1,616","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,363",300,294,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,882"
1-Sep-11,"3,094","3,183","3,154","1,885","1,557",85,87,84,89,90,90,79,79,91,81,69,79,202,93,84,88,87,"3,281",250,234,224,251,224,224,219,224,284,224,224,224,0,224,251,"5,169",901,"1,356",997,"1,019",896,8,4,4,0,5,9,"21,345"
2-Sep-11,"3,086","3,182","3,143","1,878","1,559",85,85,84,89,91,90,78,81,91,81,73,80,200,92,85,88,86,"3,284",249,235,224,250,225,224,219,225,284,226,223,225,0,225,250,"5,171",901,"1,355","1,000","1,019",896,8,4,4,0,5,9,"21,325"
3-Sep-11,"3,084","3,181","3,142","1,878","1,555",85,85,83,89,90,90,78,81,91,81,73,80,199,92,85,88,85,"3,282",248,235,224,250,225,224,219,225,284,226,223,224,0,225,250,"5,168",900,"1,354","1,000","1,018",896,8,4,4,0,5,9,"21,312"
4-Sep-11,"3,083","3,181","3,142","1,878","1,553",85,85,83,89,90,90,78,81,91,81,73,80,199,90,85,88,85,"3,278",247,235,224,250,225,223,219,225,284,225,223,224,,224,250,"5,165",900,"1,353",998,"1,018",896,8,4,4,0,5,9,"21,302"
5-Sep-11,"3,083","3,184","3,141","1,876","1,550",84,85,83,89,90,90,78,81,91,81,72,80,199,90,85,88,84,"3,277",247,235,223,250,225,223,219,225,284,225,223,224,,224,250,"5,162",900,"1,351",998,"1,017",896,8,4,4,0,5,9,"21,295"
6-Sep-11,"3,082","3,186","3,163","1,857","1,541",84,85,83,88,90,90,77,80,89,80,71,79,199,87,85,88,86,"3,275",246,235,223,250,224,224,220,225,284,224,223,224,,223,250,"5,168",898,"1,354",998,"1,017",901,8,4,4,0,5,8,"21,293"
7-Sep-11,"3,069","3,182","3,175","1,850","1,548",84,85,83,88,90,89,77,87,89,80,71,80,199,87,86,88,85,"3,275",249,233,223,248,224,224,220,225,284,224,224,224,,224,249,"5,166",900,"1,353",998,"1,014",901,8,4,4,0,5,7,"21,285"
8-Sep-11,"3,056","3,172","3,179","1,848","1,533",84,86,81,88,88,86,76,90,89,79,62,79,197,90,84,87,87,"3,272",248,234,224,249,224,224,218,225,284,222,224,223,,223,250,"5,171",901,"1,350",998,"1,022",900,8,4,4,0,5,8,"21,252"
9-Sep-11,"3,050","3,159","3,181","1,846","1,493",79,81,80,85,89,82,76,84,84,79,61,77,192,92,83,86,83,"3,276",247,235,224,249,224,224,219,225,284,223,223,224,,223,252,"5,180",900,"1,364",997,"1,014",905,7,3,4,0,5,45,"21,242"
