date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Delta Satellite Facility,Delta TVC,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,"3,560","4,094",58,0,"3,082","1,793","1,372",0,0,124,324,96,102,102,0,0,0,0,62,58,93,93,178,28,50,0,0,0,62,0,"4,579",300,369,280,310,342,280,297,280,355,280,280,326,300,280,300,"5,472",472,"1,500","1,000","1,500","1,000",10,0,6,4,122,40,34,8,42,40,"24,142"
1-Oct-19,"3,233","3,565",23,0,"2,659","1,302",987,0,0,83,264,65,0,48,0,0,0,0,86,53,82,68,141,15,25,0,0,0,57,0,"4,310",296,290,272,310,334,279,319,280,349,279,280,278,174,272,298,"3,213",0,"1,277",998,0,938,8,0,5,3,31,5,24,1,0,1,"19,331"
2-Oct-19,"3,243","3,584",26,0,"2,654","1,291","1,002",0,0,81,283,65,0,48,0,0,0,0,86,52,82,69,139,15,25,0,0,0,57,0,"4,320",297,293,276,310,331,277,319,279,350,278,280,278,174,279,299,"3,212",0,"1,273",998,0,941,8,0,5,3,31,6,24,1,0,0,"19,371"
3-Oct-19,"3,245","3,582",25,0,"2,652","1,277","1,003",0,0,81,282,65,0,48,0,0,0,0,82,69,88,52,139,15,25,0,0,0,57,0,"4,323",300,293,276,310,331,280,316,279,352,278,279,279,174,278,298,"3,204",0,"1,267",997,0,940,8,0,5,3,28,3,24,1,0,0,"19,347"
4-Oct-19,"3,246","3,598",24,0,"2,651","1,289",975,0,0,79,276,57,0,45,0,0,0,0,84,49,81,73,135,15,24,0,0,0,57,0,"4,322",300,292,280,310,331,279,316,278,351,276,280,279,174,278,298,"3,202",0,"1,266",997,0,939,8,0,5,3,28,3,24,1,0,0,"19,343"
5-Oct-19,"3,256","3,566",24,0,"2,645","1,277",975,0,0,79,277,57,0,45,0,0,0,0,84,48,81,73,135,15,24,0,0,0,57,0,"4,322",300,292,280,310,331,279,316,278,351,276,280,279,174,278,298,"3,201",0,"1,266",997,0,938,8,0,5,3,28,3,24,1,0,0,"19,302"
6-Oct-19,"3,262","3,580",23,0,"2,648","1,320",966,0,0,79,270,57,0,45,0,0,0,0,84,48,81,73,135,15,22,0,0,0,57,0,"4,322",300,292,280,310,331,279,316,278,351,276,280,279,174,278,298,"3,201",0,"1,266",997,0,938,8,0,5,3,28,3,24,1,0,0,"19,358"
7-Oct-19,"3,260","3,558",23,0,"2,656","1,331",977,0,0,79,266,59,0,46,0,0,0,0,87,54,82,73,138,15,21,0,0,0,57,0,"4,331",299,291,280,310,341,278,316,280,351,279,279,279,172,277,299,"3,197",0,"1,264",995,0,938,8,0,5,3,30,3,24,1,0,2,"19,371"
8-Oct-19,"3,255","3,602",23,0,"2,659","1,312",973,0,0,82,259,59,0,46,0,0,0,0,86,54,82,75,138,15,21,0,0,0,56,0,"4,322",299,291,280,310,341,277,315,280,347,279,279,279,170,277,298,"3,194",0,"1,261",995,0,938,8,0,5,3,34,5,24,3,0,2,"19,382"
9-Oct-19,"3,250","3,600",24,0,"2,659","1,276",963,0,0,84,251,59,0,46,0,0,0,0,85,54,82,74,138,14,20,0,0,0,56,0,"4,327",299,290,277,309,342,277,320,284,349,278,279,278,170,275,300,"3,208",0,"1,272",998,0,938,7,0,4,3,33,4,24,2,0,3,"19,347"
