date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Tallahatchie County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,534","3,381","2,564","1,773","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"3,082",294,280,280,280,274,274,280,280,280,280,280,"5,100",972,"1,000","1,000",128,"1,000","1,000",16,6,6,4,6,,"22,272"
1-Apr-07,"4,510","3,450","2,400","1,909","1,724",88,96,90,98,98,97,97,100,100,89,88,81,216,96,102,90,98,"3,063",291,278,272,280,274,273,279,280,279,280,277,"4,888",967,883,995,128,949,966,12,4,5,3,5,43,"22,004"
2-Apr-07,"4,516","3,452","2,392","1,909","1,753",90,96,94,100,100,97,98,101,102,91,90,84,216,99,101,94,100,"3,076",293,281,280,280,273,274,280,280,278,280,277,"4,889",968,882,994,128,952,965,12,4,5,3,5,5,"22,009"
3-Apr-07,"4,511","3,441","2,406","1,903","1,766",91,102,94,99,100,97,102,101,102,90,90,83,217,102,100,94,102,"3,072",293,280,280,280,271,276,279,280,277,280,276,"4,894",968,886,994,128,954,964,12,4,5,3,5,9,"22,019"
4-Apr-07,"4,510","3,482","2,412","1,920","1,745",91,100,94,96,96,97,100,96,101,90,89,84,216,101,99,93,102,"3,072",293,277,279,280,273,276,277,280,279,280,278,"4,892",970,884,994,128,954,962,11,4,4,3,5,11,"22,060"
5-Apr-07,"4,504","3,492","2,385","1,894","1,749",91,98,91,100,95,101,99,95,101,88,89,84,218,102,97,99,101,"3,071",294,277,276,280,271,276,279,280,280,280,278,"4,893",971,883,993,128,950,968,11,4,4,3,5,10,"22,014"
6-Apr-07,"4,523","3,410","2,405","1,909","1,737",92,98,89,100,100,99,98,101,101,86,86,84,210,100,101,96,96,"3,072",294,277,276,280,270,276,280,280,281,280,278,"4,896",971,883,994,128,948,972,10,4,3,3,5,37,"22,004"
7-Apr-07,"4,517","3,407","2,400","1,909","1,734",92,98,89,100,100,99,97,101,101,86,86,83,210,100,101,96,95,"3,069",294,277,276,279,270,276,279,279,281,280,278,"4,894",970,883,994,128,947,972,10,4,3,3,5,37,"21,982"
8-Apr-07,"4,513","3,408","2,399","1,909","1,732",92,98,89,100,100,99,96,101,101,86,86,83,209,100,101,96,95,"3,069",294,277,276,279,270,276,279,279,281,280,278,"4,894",970,884,993,128,947,972,10,4,3,3,5,0,"21,939"
9-Apr-07,"4,494","3,411","2,400","1,921","1,747",92,98,92,101,101,100,96,98,100,88,85,85,215,101,101,97,97,"3,070",294,277,277,278,272,275,279,279,281,280,278,"4,902",973,882,993,128,953,973,10,4,3,3,5,8,"21,968"
