Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648","3,665",42,"3,282","2,020","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,5000,"1,500","1,000","1,500","1,000",16,6,6,4,"24,959"
11-Apr-14,"3,346","2,892",36,"3,203","1,949","1,167",85,46,52,66,46,45,43,49,62,79,86,72,202,97,49,42,46,"4,414",298,369,280,300,279,280,274,281,354,279,279,280,293,269,299,4333,"1,199",996,"1,278",860,11,3,6,2,"21,351"
12-Apr-14,"3,345","2,889",36,"3,203","1,949","1,165",85,46,52,65,46,45,42,49,62,79,86,72,202,97,49,42,46,"4,411",298,368,280,300,279,280,274,281,354,279,279,280,293,267,299,4332,"1,199",996,"1,277",860,11,3,6,2,"21,341"
13-Apr-14,"3,345","2,888",36,"3,203","1,949","1,162",84,44,51,64,46,45,42,52,62,79,86,72,201,97,49,42,46,"4,410",298,368,279,300,279,280,274,281,354,279,279,280,293,267,299,4332,"1,199",996,"1,277",860,8,3,3,2,"21,333"
14-Apr-14,"3,342","2,890",36,"3,218","1,947","1,167",82,44,49,65,47,46,42,48,62,79,88,77,204,97,50,40,47,"4,405",296,368,276,299,279,280,274,280,354,278,280,280,293,269,299,4325,"1,198",994,"1,274",859,11,3,6,2,"21,341"
15-Apr-14,"3,329","2,860",36,"3,214","1,962","1,102",84,44,49,64,46,45,41,51,60,74,41,78,194,100,47,40,44,"4,406",295,370,276,300,278,280,273,279,354,278,280,280,289,275,299,4318,"1,198",993,"1,267",860,11,3,6,2,"21,238"
16-Apr-14,"3,332","2,833",36,"3,224","1,901","1,153",83,45,49,67,45,45,40,50,60,72,88,78,202,100,44,40,45,"4,402",295,370,275,299,279,274,274,277,354,276,280,280,289,279,301,4329,"1,197",993,"1,279",860,11,3,6,2,"21,221"
17-Apr-14,"3,314","2,842",37,"3,213","1,897","1,162",89,45,51,66,45,45,40,50,58,71,88,78,204,100,44,44,44,"4,410",300,369,275,300,279,280,274,277,355,277,280,280,289,275,300,4339,"1,198",998,"1,285",858,11,3,6,2,"21,225"
18-Apr-14,"3,319","2,787",37,"3,219","1,920","1,166",88,43,54,69,51,48,39,50,56,69,88,78,204,98,44,44,43,"4,404",300,369,277,299,278,280,273,277,354,277,280,280,287,276,297,4343,"1,199","1,000","1,286",858,10,2,6,2,"21,205"
19-Apr-14,"3,316","2,786",37,"3,216","1,921","1,163",88,43,54,68,50,48,39,50,56,69,88,78,203,98,44,44,43,"4,402",300,369,277,299,278,279,273,276,354,277,280,280,287,276,297,4342,"1,198",1000,"1,286",858,10,2,6,2,"21,193"
20-Apr-14,"3,314","2,786",37,"3,216","1,920","1,162",88,43,54,68,50,48,39,50,56,69,88,78,203,98,44,43,43,"4,400",299,369,277,299,278,279,273,276,354,277,280,280,287,275,297,4339,"1,198",1000,"1,283",858,10,2,6,2,"21,184"
21-Apr-14,"3,318","2,791",37,"3,221","1,919","1,163",87,44,54,68,49,48,40,50,55,71,87,77,204,98,44,43,44,"4,397",299,368,275,299,278,280,274,277,355,277,279,279,287,274,296,4342,"1,199",1000,"1,288",855,11,3,6,2,"21,199"
