Location,MS STATE PENITENTIARY(SEE NOTE BELOW),CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta                    (SEE NOTE BELOW),East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,892","3,233","2,214","2,224","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"4,960",960,"1,000","1,000","1,000","1,000",24,6,12,6,6,,"22,119"
14-Jul-04,"4,834","3,105","2,192","2,150","1,735",92,101,96,92,100,99,101,101,102,90,70,89,214,101,95,93,99,"2,742",248,250,248,249,248,249,250,250,250,250,250,"4,477",959,771,993,761,993,14,6,5,3,5,7,"21,261"
15-Jul-04,"4,826","3,144","2,185","2,127","1,745",92,102,96,92,100,99,101,102,102,90,70,89,215,101,101,93,100,"2,738",247,250,247,249,249,249,249,250,250,248,250,"4,468",958,769,992,756,993,14,6,5,3,5,6,"21,258"
16-Jul-04,"4,814","3,101","2,183","2,134","1,675",89,94,93,91,96,97,96,101,101,85,69,85,207,98,92,88,93,"2,734",247,250,247,248,250,248,249,250,250,246,249,"4,517",960,816,991,756,994,11,4,4,3,5,71,"21,245"
17-Jul-04,"4,813","3,103","2,180","2,134","1,672",89,94,93,91,96,97,96,101,100,85,68,85,206,98,92,87,94,"2,734",247,250,247,248,250,248,249,250,250,246,249,"4,514",958,816,991,755,994,11,4,4,3,5,73,"21,239"
18-Jul-04,"4,813","3,103","2,180","2,134","1,673",89,94,93,91,96,97,96,101,100,85,68,85,206,98,92,88,94,"2,734",247,250,247,248,250,248,249,250,250,246,249,"4,514",958,816,991,755,994,11,4,4,3,5,72,"21,239"
19-Jul-04,"4,799","3,119","2,177","2,122","1,729",91,99,95,92,99,99,98,102,102,90,68,90,212,100,101,89,102,"2,734",248,249,244,249,249,249,250,250,250,248,248,"4,510",952,814,993,756,995,14,6,5,3,5,9,"21,218"
20-Jul-04,"4,792","3,129","2,195","2,110","1,724",91,99,95,92,99,99,98,102,101,90,67,90,211,100,99,89,102,"2,744",249,249,250,249,249,250,250,251,250,249,248,"4,511",955,814,992,757,993,14,6,5,3,5,9,"21,233"
21-Jul-04,"4,829","3,125","2,173","2,105","1,711",92,99,95,92,99,99,98,98,101,90,67,90,215,102,83,89,102,"2,748",250,250,250,250,248,250,250,250,250,250,250,"4,531",961,834,993,753,990,14,6,5,3,5,10,"21,251"
22-Jul-04,"4,794","3,130","2,188","2,103","1,709",92,99,93,91,99,99,95,98,102,92,70,90,214,102,82,89,102,"2,744",249,250,249,250,248,250,250,249,250,250,249,"4,558",961,859,990,755,993,14,6,5,3,5,10,"21,255"
23-Jul-04,"4,819","3,142","2,169","2,082","1,649",91,91,92,88,94,97,90,96,99,88,66,88,209,97,81,85,97,"2,748",249,250,250,251,250,250,250,249,250,250,249,"4,555",960,855,994,754,992,12,6,3,3,5,60,"21,241"
24-Jul-04,"4,818","3,140","2,168","2,082","1,649",91,91,91,88,94,97,90,96,99,88,66,88,209,97,81,86,97,"2,747",249,250,250,250,250,250,250,249,250,250,249,"4,554",960,855,994,753,992,12,6,3,3,5,60,"21,235"
25-Jul-04,"4,817","3,137","2,167","2,082","1,649",91,91,91,88,94,97,90,96,99,88,66,88,209,97,81,86,97,"2,745",249,250,250,250,250,250,249,249,250,250,248,"4,550",960,855,993,753,989,12,6,3,3,5,60,"21,224"
26-Jul-04,"4,811","3,129","2,179","2,066","1,700",91,100,95,90,97,98,91,100,102,91,69,90,213,101,83,89,100,"2,739",249,250,248,250,247,248,249,249,250,250,249,"4,554",960,855,994,754,991,13,6,4,3,5,8,"21,204"
