Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,3590,"3,882",58,,"3,082","1,781","1,348",0,0,96,102,102,0,0,82,20,102,92,93,93,182,28,50,82,20,102,102,0,"4,494",300,369,280,310,280,280,274,280,355,280,280,326,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,223"
11-Feb-17,3365,"3,379",26,3,"3,066","1,360",953,0,0,59,69,59,0,0,67,5,76,88,78,62,163,2,25,57,13,68,62,0,"3,768",240,294,224,247,221,224,274,278,348,199,244,301,214,219,241,"3,070",0,"1,175",999,0,896,13,4,6,3,"19,003"
12-Feb-17,3365,"3,378",26,3,"3,066","1,360",952,0,0,59,69,59,0,0,66,5,76,88,78,62,163,2,25,57,13,68,62,0,"3,768",240,294,224,247,221,224,274,278,348,199,244,301,214,219,241,"3,069",0,"1,175",998,0,896,13,4,6,3,"19,000"
13-Feb-17,"3,357","3,383",25,3,"3,069","1,369",960,0,0,61,69,59,0,0,65,5,77,89,80,65,164,2,24,56,13,68,63,0,"3,760",240,294,224,247,220,224,274,277,347,198,244,299,214,218,240,"3,070",0,"1,177","1,000",0,893,13,4,6,3,"19,009"
14-Feb-17,3364,"3,388",25,3,"3,064","1,368",953,0,0,61,69,59,0,0,64,6,77,89,80,64,162,2,22,54,13,68,63,0,"3,769",240,293,224,247,223,224,273,279,348,199,244,300,213,222,240,"3,067",0,"1,176",999,0,892,13,4,6,3,"19,014"
15-Feb-17,3359,"3,394",25,3,"3,074","1,368",954,0,0,60,65,65,0,0,59,6,75,89,80,64,163,2,22,55,13,73,63,0,"3,769",240,294,224,248,223,224,273,279,347,200,243,299,213,222,240,"3,070",0,"1,175",998,0,897,13,4,6,3,"19,029"
16-Feb-17,3346,"3,418",26,5,"3,068","1,390",962,0,0,60,66,64,0,0,58,6,78,90,80,69,164,2,21,55,13,73,63,0,"3,765",240,292,224,248,223,224,274,279,348,199,243,298,212,222,239,"3,067",0,"1,173",998,0,896,13,4,6,3,"19,060"
17-Feb-17,3353,"3,406",26,14,"3,062","1,411",970,0,0,59,64,62,0,0,68,6,78,87,77,68,163,2,21,66,13,73,63,0,"3,753",240,293,224,248,223,226,272,279,342,199,242,298,210,218,239,"3,068",0,"1,172","1,000",0,896,13,4,6,3,"19,076"
18-Feb-17,3352,"3,406",26,14,"3,061","1,411",965,0,0,59,64,62,0,0,67,6,78,87,77,68,163,2,21,66,13,71,61,0,"3,751",240,293,224,248,222,226,271,279,342,199,242,298,210,218,239,"3,065",0,"1,172","1,000",0,893,13,4,6,3,"19,064"
19-Feb-17,3352,"3,405",26,14,"3,060","1,411",963,0,0,59,64,62,0,0,66,6,78,87,77,68,163,2,21,65,13,71,61,0,"3,750",240,293,224,248,222,226,271,278,342,199,242,298,210,218,239,"3,064",0,"1,172","1,000",0,892,13,4,6,3,"19,058"
20-Feb-17,3348,"3,402",26,14,"3,057","1,416",976,0,0,59,66,66,0,0,65,6,78,90,79,68,164,2,21,65,13,71,63,0,"3,747",239,293,224,248,222,226,270,278,342,199,242,298,209,218,239,"3,057",0,"1,169",997,0,891,13,4,6,3,"19,056"
21-Feb-17,3353,"3,399",26,14,"3,063","1,424",973,0,0,59,66,66,0,0,63,8,78,90,79,68,164,2,21,63,13,70,63,0,"3,753",239,292,224,248,223,226,270,277,350,199,240,299,208,221,237,"3,062",0,"1,175",996,0,891,11,4,4,3,"19,078"
