date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,3590,"3,818",58,,"3,082","1,781","1,348",0,0,96,102,102,0,0,82,20,102,92,93,93,182,28,50,82,20,102,102,0,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,103"
1-Oct-16,3387,"3,520",36,27,"2,989","1,375",976,0,0,60,81,51,0,0,58,13,74,77,89,74,149,6,26,66,12,76,64,0,"3,949",269,292,268,269,268,268,268,270,278,200,266,269,225,269,270,"3,062",0,"1,166",999,0,897,13,5,5,3,"19,334"
2-Oct-16,3387,"3,520",36,27,"2,989","1,375",975,0,0,60,81,51,0,0,57,13,74,77,89,74,149,6,26,66,12,76,64,0,"3,949",269,292,268,269,268,268,268,270,278,200,266,269,225,269,270,"3,062",0,"1,166",999,0,897,13,5,5,3,"19,333"
3-Oct-16,3383,"3,506",36,27,"2,982","1,374",971,0,0,62,81,50,0,0,53,12,74,76,88,73,153,6,25,66,12,76,64,0,"3,941",269,294,266,268,267,267,270,269,276,197,266,270,224,269,269,"3,058",0,"1,165","1,000",0,893,10,4,3,3,"19,288"
4-Oct-16,3369,"3,558",37,28,"2,979","1,346",969,0,0,62,82,50,0,0,54,12,74,76,88,72,152,6,25,61,12,75,68,0,"3,948",270,294,269,269,267,269,270,269,274,199,269,270,223,268,268,"3,053",0,"1,166",998,0,889,13,5,5,3,"19,300"
5-Oct-16,3368,"3,549",37,28,"2,976","1,361",968,0,0,62,82,50,0,0,52,12,74,76,89,72,152,6,25,61,12,75,68,0,"3,951",269,293,267,268,268,268,270,269,280,200,269,272,223,268,267,"3,050",0,"1,164",997,0,889,13,5,5,3,"19,301"
6-Oct-16,3373,"3,524",37,28,"2,972","1,360",960,0,0,61,82,50,0,0,51,12,73,76,88,72,150,6,25,60,12,74,68,0,"3,973",268,294,267,262,266,270,269,270,277,199,270,277,234,270,280,"3,060",0,"1,167",996,0,897,13,5,5,3,"19,300"
7-Oct-16,3361,"3,513",37,27,"2,965","1,356",972,0,0,60,82,54,0,0,59,11,70,73,87,71,149,6,28,76,12,69,65,0,"3,974",268,294,270,269,263,270,269,269,277,198,268,280,231,269,279,"3,060",0,"1,166",999,0,895,12,5,4,3,"19,277"
8-Oct-16,3361,"3,512",37,27,"2,964","1,356",970,0,0,60,82,54,0,0,57,11,70,73,87,71,149,6,28,76,12,69,65,0,"3,974",268,294,270,269,263,270,269,269,277,198,268,280,231,269,279,"3,060",0,"1,166",999,0,895,12,5,4,3,"19,273"
9-Oct-16,3359,"3,511",37,27,"2,964","1,356",965,0,0,60,82,54,0,0,55,11,70,73,85,70,149,6,28,76,12,69,65,0,"3,970",268,293,270,269,263,270,269,268,276,197,268,280,231,269,279,"3,060",0,"1,166",999,0,895,12,5,4,3,"19,261"
10-Oct-16,3350,"3,532",37,27,"2,960","1,339",963,0,0,62,81,54,0,0,53,12,71,73,85,72,150,5,28,72,12,68,65,0,"3,987",267,293,270,269,262,270,269,267,278,197,266,301,231,269,278,"3,069",0,"1,171",999,0,899,13,5,5,3,"19,277"
