Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,665","3,282","1,736","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,611"
10-Aug-12,"3,358","3,215","3,215","2,084","1,596",90,78,77,85,78,78,80,78,95,80,88,92,246,99,86,70,96,"4,356",301,369,280,298,280,280,274,280,339,280,280,279,238,280,298,"4,220",0,"1,266",999,"1,051",904,10,5,2,3,0,23,"22,077"
11-Aug-12,"3,356","3,214","3,215","2,084","1,591",90,78,77,85,78,78,79,78,95,80,87,92,246,98,86,70,94,"4,352",301,368,279,297,280,280,274,280,339,280,280,279,237,280,298,"4,217",0,"1,267",999,"1,049",902,10,5,2,3,0,23,"22,062"
12-Aug-12,"3,352","3,214","3,214","2,084","1,589",90,78,77,85,78,78,79,78,95,80,87,92,246,98,85,70,93,"4,347",301,367,279,297,280,280,273,280,338,280,279,279,237,280,297,"4,216",0,"1,266",999,"1,049",902,10,5,2,3,0,23,"22,049"
13-Aug-12,"3,355","3,216","3,204","2,079","1,612",90,79,76,84,78,79,79,84,95,81,92,91,248,101,84,76,95,"4,350",300,368,279,299,279,279,274,280,339,281,279,280,237,278,298,"4,221",0,"1,266",999,"1,054",902,10,5,2,3,0,8,"22,055"
14-Aug-12,"3,361","3,224","3,213","2,091","1,606",90,79,75,84,78,78,78,85,93,81,93,90,248,100,84,75,95,"4,352",300,369,282,298,279,279,272,279,338,281,280,280,237,277,301,"4,224",0,"1,267",997,"1,055",905,11,5,3,3,0,7,"22,089"
15-Aug-12,"3,365","3,208","3,212","2,083","1,582",90,75,72,86,72,77,78,84,91,78,93,90,244,100,81,74,97,"4,358",300,369,281,300,280,280,274,277,340,281,280,281,236,278,301,"4,214",0,"1,258",997,"1,054",905,11,5,3,3,0,7,"22,040"
16-Aug-12,"3,379","3,213","3,213","2,088","1,585",91,75,72,86,72,77,78,83,93,75,93,92,244,100,81,74,99,"4,357",300,369,280,300,280,280,274,276,339,280,279,280,240,280,300,"4,211",0,"1,257",997,"1,053",904,12,5,4,3,0,4,"22,062"
17-Aug-12,"3,369","3,195","3,206","2,131","1,561",90,75,73,85,68,73,81,82,91,70,92,90,240,101,80,72,98,"4,355",300,369,280,299,280,280,273,279,337,280,278,280,239,280,301,"4,210",0,"1,254","1,000","1,053",903,13,6,4,3,0,22,"22,062"
18-Aug-12,"3,367","3,194","3,205","2,131","1,559",90,75,72,85,68,73,81,82,90,70,92,90,240,101,80,72,98,"4,353",300,369,279,299,280,280,273,279,336,280,278,280,239,280,301,"4,206",0,"1,254","1,000","1,051",901,13,6,4,3,0,24,"22,052"
