Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta       (Reopened 04-01-04),East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"5,768","3,233","2,214","2,176","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"4,700",950,"1,000","1,000",750,"1,000",24,6,12,6,6,,"22,687"
1-Apr-04,"5,714","3,246","2,045","2,178","1,641",86,99,96,77,91,82,91,100,102,90,58,78,207,101,98,86,99,"2,748",249,250,250,250,250,250,250,249,250,250,250,"3,455",41,727,987,710,990,14,6,5,3,4,8,"21,053"
2-Apr-04,"5,714","3,240","2,065","2,162","1,611",85,98,92,76,89,80,86,97,99,86,58,78,202,102,98,85,100,"2,746",250,250,250,249,250,250,249,250,249,249,250,"3,453",41,725,995,704,988,14,6,5,3,4,36,"21,045"
3-Apr-04,"5,714","3,241","2,065","2,162","1,610",85,98,92,76,89,80,85,97,99,86,58,78,202,102,98,85,100,"2,745",249,250,250,249,250,250,249,250,249,249,250,"3,451",41,725,994,704,987,14,6,5,3,4,36,"21,042"
4-Apr-04,"5,713","3,239","2,066","2,162","1,612",85,98,92,76,89,80,87,97,99,86,58,78,202,102,98,85,100,"2,744",249,249,250,249,250,250,249,250,249,249,250,"3,449",41,724,993,704,987,14,6,5,3,4,34,"21,037"
5-Apr-04,"5,707","3,204","2,084","2,199","1,635",85,99,91,75,91,82,89,99,102,89,65,77,204,102,98,85,102,"2,744",250,249,250,249,250,250,248,250,248,250,250,"3,460",41,724,994,713,988,14,6,5,3,4,6,"21,057"
6-Apr-04,"5,660","3,227","2,100","2,204","1,636",86,99,91,75,91,82,91,100,102,89,65,77,202,102,98,84,102,"2,745",250,250,249,249,249,250,250,250,249,249,250,"3,500",83,723,993,710,991,14,6,5,3,4,7,"21,097"
7-Apr-04,"5,676","3,221","2,096","2,202","1,636",86,99,96,74,91,82,90,100,102,89,65,76,201,101,98,84,102,"2,748",250,250,250,249,249,250,250,250,250,250,250,"3,502",83,723,992,712,992,14,6,5,3,4,9,"21,108"
8-Apr-04,"5,614","3,219","2,122","2,175","1,642",85,99,96,74,91,82,90,99,102,89,68,78,201,102,100,84,102,"2,748",251,250,249,250,248,250,250,250,250,250,250,"3,553",128,723,995,716,991,14,6,5,3,4,9,"21,100"
9-Apr-04,"5,613","3,193","2,111","2,177","1,604",85,99,96,75,89,79,87,93,97,86,68,74,198,97,100,82,99,"2,746",250,249,248,250,250,250,249,250,251,249,250,"3,551",128,721,995,712,995,10,2,5,3,4,54,"21,063"
10-Apr-04,"5,612","3,193","2,111","2,177","1,603",85,99,96,75,89,79,87,93,96,86,68,74,198,97,100,82,99,"2,745",250,249,248,249,250,250,249,250,251,249,250,"3,548",128,720,995,712,993,10,2,5,3,4,58,"21,061"
11-Apr-04,"5,609","3,192","2,111","2,177","1,604",85,99,96,75,89,79,87,93,97,86,68,74,198,97,100,82,99,"2,744",250,249,248,249,250,250,249,249,251,249,250,"3,547",128,720,994,712,993,10,2,5,3,4,55,"21,053"
12-Apr-04,"5,609","3,184","2,148","2,193","1,642",90,101,96,77,90,78,89,102,102,89,68,77,198,101,99,84,101,"2,727",250,248,231,250,250,250,250,250,250,249,249,"3,556",128,720,994,718,996,14,6,5,3,4,7,"21,084"
13-Apr-04,"5,569","3,202","2,144","2,172","1,627",90,98,94,77,90,78,88,101,102,89,67,76,196,101,97,83,100,"2,727",250,248,230,250,250,250,250,250,250,250,249,"3,597",173,718,993,719,994,14,6,5,3,4,6,"21,062"
