date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648","3,469",58,350,"3,282","1,973","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,500",300,369,280,362,280,280,274,280,355,280,280,280,300,280,300,5000,"1,500","1,000","1,500","1,000",16,6,6,4,"25,144"
1-Sep-14,"3,256","2,427",37,119,"3,122","1,736","1,180",86,55,57,62,51,52,51,53,55,68,88,58,190,102,49,51,52,"4,387",295,366,277,299,278,280,274,274,351,279,279,279,282,279,295,4106,"1,195",1000,"1,086",825,6,4,1,1,"20,376"
2-Sep-14,"3,276","2,378",37,118,"3,142","1,760","1,168",87,55,56,62,51,52,51,50,54,66,88,57,185,102,49,51,52,"4,382",295,366,277,297,279,277,271,273,354,277,279,279,282,280,296,4089,"1,196",999,"1,071",823,7,5,1,1,"20,357"
3-Sep-14,"3,270","2,367",39,120,"3,145","1,782","1,167",87,54,56,62,51,53,50,50,55,64,87,60,186,102,48,50,52,"4,365",297,362,275,300,278,278,270,267,353,274,280,278,280,279,294,4110,"1,198",998,"1,086",828,7,5,1,1,"20,372"
4-Sep-14,"3,270","2,374",39,120,"3,145","1,775","1,167",87,54,56,62,51,53,50,50,55,64,87,60,186,102,48,50,52,"4,365",297,362,275,300,278,278,270,267,353,274,280,278,280,279,294,4110,"1,198",998,"1,086",828,7,5,1,1,"20,372"
5-Sep-14,"3,272","2,386",39,120,"3,148","1,790","1,157",87,52,54,61,53,52,49,50,55,68,87,59,186,93,50,50,51,"4,349",297,363,275,297,276,280,263,268,354,269,279,279,280,278,291,4105,"1,197",997,"1,074",837,7,5,1,1,"20,373"
6-Sep-14,"3,266","2,389",39,119,"3,147","1,790","1,155",87,52,54,61,53,52,49,50,55,68,87,59,186,92,50,49,51,"4,349",297,363,275,297,276,280,263,268,354,269,279,279,280,278,291,4105,"1,197",997,"1,074",837,7,5,1,1,"20,366"
7-Sep-14,"3,263","2,389",39,119,"3,147","1,789","1,154",87,52,54,61,53,52,49,50,55,68,87,58,186,92,50,49,51,"4,349",297,363,275,297,276,280,263,268,354,268,280,279,280,278,291,4106,"1,197",997,"1,075",837,7,5,1,1,"20,362"
8-Sep-14,"3,284","2,396",39,107,"3,131","1,755","1,150",86,52,57,60,53,49,51,49,55,68,89,55,184,95,47,48,52,"4,349",300,360,278,299,274,280,262,267,354,270,279,279,279,278,290,4099,"1,199",996,"1,069",835,7,5,1,1,"20,317"
9-Sep-14,"3,314","2,499",39,109,"3,127","1,837",963,84,53,56,60,54,49,51,49,53,68,90,56,0,95,47,50,48,"4,351",298,359,277,299,278,279,267,267,353,269,281,278,277,279,290,4107,"1,199",995,"1,079",834,7,5,1,1,"20,353"
10-Sep-14,"3,324","2,370",40,111,"3,128","1,752","1,157",85,53,56,63,54,48,51,50,53,67,90,55,188,99,47,50,48,"4,355",300,363,280,300,276,276,267,266,355,268,280,278,277,277,292,4126,"1,200",995,"1,074",857,6,4,1,1,"20,369"
