date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Delta Satellite Facility,Delta TVC,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin Satellite Facility (RRD),Flowood TVC,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Tallahatchie County,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,"3,560","4,094",58,0,"3,082","1,793","1,372",0,0,124,324,96,102,102,0,0,0,0,62,58,93,93,178,28,50,0,62,0,"4,579",300,369,280,310,342,280,297,280,355,280,280,326,300,280,300,"5,000","1,000","1,500","1,000","1,500","1,000",10,0,6,4,122,40,34,8,42,40,"23,670"
1-Apr-20,"2,099","3,642",20,0,"2,615","1,358",720,0,0,62,138,81,0,31,0,0,0,0,54,39,90,55,143,15,12,0,0,0,"4,251",294,285,262,305,331,268,310,264,324,259,389,276,140,254,290,"3,056",849,"1,202",990,0,864,5,0,3,2,28,2,22,4,0,0,"17,794"
2-Apr-20,"2,094","3,638",20,0,"2,600","1,361",713,0,0,62,131,81,0,31,0,0,0,0,54,39,90,55,143,15,12,0,0,0,"4,248",294,285,262,305,331,268,310,264,323,259,388,276,140,253,290,"3,055",849,"1,202",989,0,864,5,0,3,2,27,2,22,3,0,0,"17,761"
3-Apr-20,"2,094","3,635",20,0,"2,598","1,365",710,0,0,62,128,81,0,31,0,0,0,0,54,39,90,55,143,15,12,0,0,0,"4,247",294,285,262,305,331,268,309,264,323,259,388,276,140,253,290,"3,051",849,"1,200",988,0,863,5,0,3,2,27,2,22,3,0,0,"17,752"
4-Apr-20,"2,091","3,636",20,0,"2,597","1,365",702,0,0,62,120,81,0,31,0,0,0,0,54,39,90,55,143,15,12,0,0,0,"4,246",294,285,262,305,331,268,309,264,323,259,387,276,140,253,290,"3,050",849,"1,200",988,0,862,5,0,3,2,27,2,22,3,0,0,"17,739"
5-Apr-20,"2,090","3,636",20,0,"2,597","1,365",700,0,0,62,118,81,0,31,0,0,0,0,54,39,90,55,143,15,12,0,0,0,"4,245",294,285,262,305,331,268,309,264,323,259,387,275,140,253,290,"3,049",849,"1,199",988,0,862,5,0,3,2,27,2,22,3,0,0,"17,734"
6-Apr-20,"2,089","3,621",20,0,"2,593","1,365",698,0,0,62,116,81,0,31,0,0,0,0,54,39,90,55,143,15,12,0,0,0,"4,243",294,285,261,305,331,268,310,264,323,259,386,275,140,253,289,"3,048",849,"1,198",988,0,862,5,0,3,2,27,2,22,3,0,0,"17,709"
7-Apr-20,"2,087","3,607",20,0,"2,592","1,373",695,0,0,62,115,80,0,31,0,0,0,0,54,39,90,54,143,15,12,0,0,0,"4,230",293,283,259,305,328,268,310,264,323,257,384,274,140,253,289,"3,047",847,"1,197",988,0,862,5,0,3,2,27,2,22,3,0,0,"17,683"
8-Apr-20,"2,084","3,698",20,0,"2,591","1,373",692,0,0,62,114,80,0,31,0,0,0,0,54,39,90,54,142,14,12,0,0,0,"4,229",293,283,259,305,328,268,310,264,323,257,383,274,140,253,289,"3,056",837,"1,207",987,0,862,5,0,3,2,27,2,22,3,0,0,"17,775"
9-Apr-20,"2,081","3,595",20,0,"2,591","1,369",691,0,0,62,114,80,0,31,0,0,0,0,54,39,90,53,142,14,12,0,0,0,"4,227",293,283,259,305,328,268,309,264,323,257,383,273,140,253,289,"3,065",827,"1,217",987,0,861,5,0,3,2,27,2,22,3,0,0,"17,671"
