Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,435","3,449","3,204","1,481","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,138",294,280,280,280,274,280,330,280,280,280,280,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,549"
10-Jul-10,"3,421","3,277","3,158","1,593","1,625",74,86,70,96,80,92,95,87,99,84,77,91,232,91,85,87,99,"2,523",235,224,224,224,218,223,278,226,224,223,224,"5,316",906,"1,359",902,"1,202",947,9,5,2,2,6,44,"20,972"
11-Jul-10,"3,421","3,276","3,156","1,593","1,623",74,86,70,96,80,92,95,87,99,84,77,91,231,91,85,86,99,"2,521",234,224,224,224,218,223,278,226,224,223,223,"5,314",906,"1,358",902,"1,202",946,9,5,2,2,6,44,"20,963"
12-Jul-10,"3,413","3,309","3,160","1,594","1,643",76,86,70,98,81,95,95,89,100,86,75,92,234,94,86,89,97,"2,514",235,223,222,224,217,222,278,224,224,223,222,"5,301",905,"1,358",899,"1,194",945,9,5,2,2,6,4,"20,953"
13-Jul-10,"3,452","3,307","3,161","1,613","1,639",76,83,70,97,81,95,95,89,99,87,75,93,234,94,86,89,96,"2,510",235,223,222,224,217,222,276,224,224,223,220,"5,298",905,"1,356",899,"1,193",945,9,5,2,2,6,4,"20,999"
14-Jul-10,"3,445","3,300","3,174","1,608","1,644",81,85,70,97,81,93,95,89,98,87,79,93,234,97,85,89,91,"2,522",235,223,223,224,219,224,279,224,224,224,223,"5,310",905,"1,355",899,"1,200",951,9,5,2,2,6,5,"21,023"
15-Jul-10,"3,448","3,284","3,169","1,630","1,596",80,81,68,96,77,91,92,88,96,82,79,90,223,96,80,86,91,"2,519",235,223,223,224,218,223,279,223,224,224,223,"5,312",904,"1,360",899,"1,200",949,9,5,2,2,6,5,"20,978"
16-Jul-10,"3,437","3,278","3,159","1,631","1,596",79,78,70,95,76,90,90,88,96,80,79,89,222,96,87,85,96,"2,520",234,224,224,224,219,223,279,223,224,224,222,"5,312",903,"1,363",899,"1,195",952,9,5,2,2,6,25,"20,973"
17-Jul-10,"3,437","3,278","3,156","1,631","1,593",79,77,70,95,76,90,90,87,96,80,79,89,221,96,87,85,96,"2,519",234,224,224,224,219,223,279,223,223,224,222,"5,309",903,"1,362",899,"1,194",951,9,5,2,2,6,25,"20,963"
18-Jul-10,"3,438","3,280","3,156","1,631","1,593",79,77,70,95,76,90,89,87,96,80,79,89,221,96,87,85,97,"2,519",234,224,224,224,219,223,279,223,223,224,222,"5,306",903,"1,360",899,"1,193",951,9,5,2,2,6,25,"20,963"
