Location,MS STATE PENITENTIARY    (See Note Below),CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta       (Reopened 04-01-04),East MS,Marshall County,Walnut Grove                        (See Note Below),Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"5,024","3,233","2,214","2,224","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"4,950",950,"1,000","1,000","1,000","1,000",24,6,12,6,6,,"22,241"
14-Jun-04,"4,859","3,189","2,192","2,194","1,727",90,99,95,100,96,99,97,100,101,91,69,90,212,95,95,97,101,"2,743",249,248,249,249,250,249,250,249,250,250,250,"4,363",918,727,995,728,995,16,6,6,4,5,4,"21,292"
15-Jun-04,"4,884","3,156","2,189","2,213","1,730",91,99,95,100,96,99,97,98,102,91,69,90,210,102,93,97,101,"2,742",249,250,248,248,250,249,250,249,249,250,250,"4,367",916,725,993,741,992,16,6,6,4,5,6,"21,308"
16-Jun-04,"4,870","3,154","2,199","2,200","1,738",91,99,95,100,98,99,97,100,102,92,69,90,214,102,93,97,100,"2,742",250,250,248,247,250,250,250,247,250,250,250,"4,370",914,725,995,742,994,16,6,6,4,5,6,"21,300"
17-Jun-04,"4,875","3,140","2,199","2,216","1,741",91,99,96,100,98,99,97,100,102,92,69,90,214,102,93,97,102,"2,745",250,250,248,250,250,250,250,247,250,250,250,"4,398",949,725,994,737,993,16,6,6,4,5,5,"21,340"
18-Jun-04,"4,881","3,150","2,179","2,202","1,672",90,91,88,97,99,101,94,95,97,88,66,81,212,96,86,95,96,"2,744",250,250,248,249,250,250,249,248,250,250,250,"4,389",947,724,992,731,995,15,6,5,4,5,5,"21,242"
19-Jun-04,"4,881","3,149","2,178","2,202","1,670",90,91,88,97,98,101,94,95,97,88,66,81,212,96,86,95,95,"2,743",250,250,248,248,250,250,249,248,250,250,250,"4,389",947,724,992,731,995,15,6,5,4,5,8,"21,240"
20-Jun-04,"4,879","3,148","2,178","2,202","1,669",90,91,88,96,98,101,94,95,97,88,66,81,212,96,86,95,95,"2,743",250,250,248,248,250,250,249,248,250,250,250,"4,388",947,724,991,731,995,15,6,5,4,5,9,"21,236"
21-Jun-04,"4,900","3,168","2,177","2,176","1,734",89,98,95,100,100,102,97,100,102,92,69,85,215,102,92,97,99,"2,743",250,250,248,250,250,249,249,247,250,250,250,"4,385",947,722,992,729,995,16,6,6,4,5,9,"21,313"
22-Jun-04,"4,887","3,170","2,189","2,157","1,756",90,102,95,102,100,102,97,102,101,92,69,84,220,102,97,99,102,"2,745",250,250,248,249,250,249,250,249,250,250,250,"4,393",947,722,996,733,995,16,6,6,4,5,8,"21,326"
23-Jun-04,"4,896","3,183","2,187","2,166","1,751",90,102,94,102,100,100,97,102,102,92,73,84,216,101,96,98,102,"2,746",250,250,249,249,250,249,250,249,250,250,250,"4,388",945,721,995,734,993,16,6,6,4,5,9,"21,347"
24-Jun-04,"4,913","3,174","2,185","2,142","1,746",90,102,94,102,98,99,97,102,102,92,72,84,216,101,96,97,102,"2,746",250,250,249,250,250,250,249,248,250,250,250,"4,392",944,730,994,731,993,16,6,6,4,5,6,"21,325"
25-Jun-04,"4,908","3,184","2,192","2,122","1,693",89,96,91,95,93,98,95,98,100,88,68,82,213,100,90,96,101,"2,748",250,250,250,250,250,250,250,248,250,250,250,"4,401",948,728,994,736,995,16,6,6,4,5,49,"21,318"
26-Jun-04,"4,908","3,184","2,191","2,122","1,692",89,96,90,95,93,98,95,98,100,88,68,82,213,100,90,96,101,"2,748",250,250,250,250,250,250,250,248,250,250,250,"4,401",948,728,994,736,995,16,6,6,4,5,50,"21,317"
