date_raw,Mississippi State Penitentiary,"Central Mississippi Correctional Facility3,882",Youthful Offender Unit,CMCF TVC,"South Mississippi Correctional Institution3,082",COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,"REGIONAL CORRECTIONAL FACILITIES4,494",Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,3590,,58,,,"1,781","1,348",0,0,96,102,102,0,0,82,20,102,92,93,93,182,28,50,82,20,102,102,0,,300,369,280,310,280,280,274,280,355,280,280,326,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,223"
1-Feb-17,3378,"3,398",25,10,"3,062","1,260",931,0,0,61,70,53,0,0,57,7,68,86,86,63,163,2,17,44,17,72,65,0,"3,768",240,291,224,248,221,221,273,277,348,199,250,304,217,217,238,"3,078",0,"1,181","1,000",0,897,14,4,6,4,"18,924"
2-Feb-17,3382,"3,385",26,11,"3,067","1,318",931,0,0,63,69,53,0,0,57,7,74,86,86,63,162,2,17,43,17,67,65,0,"3,779",238,293,224,248,224,222,273,280,352,196,248,303,215,223,240,"3,078",0,"1,181",999,0,898,14,4,6,4,"18,991"
3-Feb-17,3371,"3,357",25,7,"3,063","1,321",940,0,0,57,66,52,0,0,63,6,75,86,86,66,161,2,24,51,17,67,61,0,"3,777",238,293,224,248,223,222,274,280,352,199,247,302,211,224,240,"3,079",0,"1,180","1,000",0,899,14,4,6,4,"18,954"
4-Feb-17,3367,"3,365",25,7,"3,062","1,321",931,0,0,57,66,52,0,0,59,6,75,86,86,65,160,2,24,49,16,67,61,0,"3,775",237,293,224,248,223,222,274,279,352,199,247,302,211,224,240,"3,077",0,"1,180",999,0,898,14,4,6,4,"18,944"
5-Feb-17,3367,"3,365",25,7,"3,062","1,321",931,0,0,57,66,52,0,0,59,6,75,86,86,65,160,2,24,49,16,67,61,0,"3,775",237,293,224,248,223,222,274,279,352,199,247,302,211,224,240,"3,077",0,"1,180",999,0,898,14,4,6,4,"18,944"
6-Feb-17,3376,"3,400",25,6,"3,059","1,287",951,0,0,62,71,52,0,0,59,6,75,88,87,65,163,2,24,47,16,68,66,0,"3,772",237,293,224,248,223,224,274,279,348,198,247,302,211,224,240,"3,076",0,"1,180",998,0,898,11,4,4,3,"18,963"
7-Feb-17,3365,"3,436",25,6,"3,059","1,269",945,0,0,61,71,52,0,0,58,5,75,88,88,65,162,2,23,46,15,68,66,0,"3,764",237,292,224,247,221,223,274,279,346,198,246,302,211,224,240,"3,076",0,"1,179",999,0,898,11,4,4,3,"18,956"
8-Feb-17,3368,"3,401",25,6,"3,062","1,320",945,0,0,64,71,61,0,0,57,5,74,88,79,64,164,2,22,48,14,68,64,0,"3,785",240,293,224,248,224,223,274,279,352,198,246,301,218,224,241,"3,073",0,"1,178",998,0,897,11,4,4,3,"18,996"
9-Feb-17,3361,"3,420",25,6,"3,067","1,332",940,0,0,63,71,60,0,0,58,5,73,89,79,65,165,2,22,44,13,68,63,0,"3,765",240,291,224,247,221,222,274,278,346,199,245,301,214,222,241,"3,070",0,"1,176",998,0,896,11,4,4,3,"18,997"
10-Feb-17,3368,"3,380",26,3,"3,069","1,360",955,0,0,59,69,59,0,0,68,5,76,88,78,62,163,2,26,57,13,68,62,0,"3,768",240,294,224,247,221,224,274,278,348,199,244,301,214,219,241,"3,071",0,"1,176",999,0,896,13,4,6,3,"19,013"
