Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,435","3,665","3,204","1,525","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,163",294,280,280,280,274,280,355,280,280,280,280,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,834"
19-Aug-09,"3,888","3,189","3,021","1,516","1,583",73,76,73,86,65,100,93,69,97,85,91,69,250,94,73,93,96,"2,930",280,266,266,266,260,266,266,266,265,263,266,"5,497",955,"1,361",981,"1,224",976,9,5,2,2,6,11,"21,650"
20-Aug-09,"3,884","3,182","3,007","1,482","1,561",63,77,71,85,63,99,91,68,97,87,91,69,247,97,71,90,95,"2,927",279,266,266,266,259,264,264,265,266,265,267,"5,500",955,"1,360",983,"1,226",976,9,5,2,2,6,8,"21,566"
21-Aug-09,"3,875","3,159","3,003","1,491","1,564",63,79,78,87,65,93,90,68,100,84,91,67,246,96,70,93,94,"2,931",278,267,265,266,259,266,265,266,266,266,267,"5,499",953,"1,361",983,"1,226",976,10,6,2,2,6,23,"21,561"
22-Aug-09,"3,871","3,158","3,002","1,491","1,562",63,79,78,87,65,93,89,67,100,84,91,67,246,96,70,93,94,"2,931",278,267,265,266,259,266,265,266,266,266,267,"5,497",953,"1,360",983,"1,225",976,10,6,2,2,6,24,"21,552"
23-Aug-09,"3,872","3,159","3,002","1,491","1,558",64,79,78,87,65,93,89,67,99,82,91,66,245,96,70,93,94,"2,928",278,265,265,266,259,265,265,266,266,266,267,"5,491",952,"1,357",982,"1,224",976,9,6,1,2,6,23,"21,539"
24-Aug-09,"3,886","3,165","3,002","1,476","1,569",64,79,79,88,65,96,89,67,99,84,90,66,251,96,71,92,93,"2,927",277,266,265,266,259,265,266,266,266,266,265,"5,494",955,"1,355",983,"1,225",976,9,6,1,2,6,7,"21,541"
25-Aug-09,"3,873","3,185","3,014","1,486","1,565",64,79,79,88,64,95,89,67,99,84,88,66,252,96,70,92,93,"2,928",279,267,265,266,259,264,265,266,266,266,265,"5,489",948,"1,360",983,"1,224",974,12,6,4,2,6,10,"21,568"
26-Aug-09,"3,889","3,154","3,012","1,469","1,567",64,84,79,88,63,95,99,73,99,84,59,61,247,102,78,92,100,"2,925",278,267,265,266,256,264,266,266,266,265,266,"5,500",953,"1,363",982,"1,227",975,12,6,4,2,6,10,"21,544"
27-Aug-09,"3,881","3,197","2,988","1,448","1,587",62,80,77,88,63,95,99,71,95,84,77,67,251,102,84,92,100,"2,919",278,267,266,264,255,264,266,266,265,265,263,"5,500",957,"1,363",979,"1,227",974,13,6,5,2,6,11,"21,550"
