Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta (Closed),East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,711","3,233","2,214","2,119","1,350",75,75,75,75,75,75,75,75,75,75,75,75,150,75,75,75,75,"2,750",250,250,250,250,250,250,250,250,250,250,250,"3,750",0,"1,000","1,000",750,"1,000",24,6,12,6,6,"21,157"
1-Feb-03,"5,513","3,065","2,072","2,024","1,246",67,69,74,71,74,74,69,72,72,69,50,62,140,74,64,74,71,"2,474",224,227,226,224,224,226,225,224,224,224,226,"3,408",0,729,984,718,977,13,6,5,2,6,"19,821"
2-Feb-03,"5,510","3,065","2,072","2,024","1,246",67,69,74,71,74,74,69,72,72,69,50,62,140,74,64,74,71,"2,473",224,227,226,224,224,225,225,224,224,224,226,"3,406",0,728,983,718,977,13,6,5,2,6,"19,815"
3-Feb-03,"5,553","3,018","2,101","2,002","1,277",70,72,73,74,75,75,70,72,75,73,53,62,142,75,68,74,74,"2,477",226,226,224,224,225,225,225,226,225,226,225,"3,400",0,726,981,717,976,12,6,4,2,6,"19,846"
4-Feb-03,"5,567","3,033","2,101","1,971","1,278",70,71,72,74,75,74,70,72,75,73,53,62,143,75,72,74,73,"2,485",226,227,226,226,226,226,226,226,225,226,225,"3,407",0,726,981,724,976,13,6,4,3,6,"19,861"
5-Feb-03,"5,598","3,025","2,095","1,972","1,279",69,71,72,74,75,74,70,72,75,73,55,63,143,75,69,74,75,"2,482",226,225,226,226,226,226,226,225,225,226,225,"3,409",0,727,980,724,978,13,6,4,3,6,"19,879"
6-Feb-03,"5,590","3,026","2,114","1,982","1,274",69,71,72,74,74,74,70,72,75,73,54,63,141,74,69,74,75,"2,482",226,225,226,226,226,225,226,225,226,226,225,"3,409",0,732,979,723,975,13,6,4,3,6,"19,896"
7-Feb-03,"5,585","3,052","2,113","1,955","1,214",64,66,71,70,73,69,64,70,70,70,54,62,140,68,61,71,71,"2,482",225,225,227,226,226,224,226,226,226,226,225,"3,413",0,732,986,721,974,12,6,3,3,6,"19,832"
8-Feb-03,"5,585","3,051","2,113","1,955","1,214",64,66,71,70,73,69,64,70,70,70,54,62,140,68,61,71,71,"2,482",225,225,227,226,226,224,226,226,226,226,225,"3,413",0,732,986,721,974,12,6,3,3,6,"19,831"
9-Feb-03,"5,583","3,051","2,113","1,955","1,214",64,66,71,70,73,69,64,70,70,70,54,62,140,68,61,71,71,"2,481",225,225,226,226,226,224,226,226,226,226,225,"3,412",0,732,985,721,974,12,6,3,3,6,"19,827"
10-Feb-03 11-Feb-03,"5,586","3,070","2,097","1,984","1,283",69,70,75,73,73,74,69,74,74,72,54,63,146,75,74,73,75,"2,483",225,226,226,226,225,226,226,226,226,226,225,"3,413",0,731,983,719,980,13,6,4,3,6,"19,935"
12-Feb-03,"5,586","3,053","2,086","2,038","1,270",67,70,74,75,73,75,66,73,74,72,52,60,144,74,74,72,75,"2,486",227,226,226,226,226,227,225,227,226,225,225,"3,404",0,731,982,714,977,13,6,4,3,6,"19,942"
,"5,579","3,079","2,087","2,056","1,268",67,70,72,75,75,75,66,71,74,72,52,60,144,74,74,72,75,"2,482",226,226,225,226,225,226,225,226,226,226,225,"3,395",0,731,977,710,977,13,6,4,3,6,"19,965"
