Location,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Leflore TVC Support,Leflore TVC,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Flowood TVC,Simpson TVC and Simpson TVC support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590",,"2,876",58,,"2,882","1,986","1,950",92,102,96,102,102,102,102,102,20,82,102,92,93,93,260,,102,102,102,102,"4,378",240,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"23,606"
19-Feb-16,"3,386",0,"2,759",29,8,"2,804","1,520","1,071",0,33,72,76,65,37,0,19,0,0,92,84,89,87,128,19,98,78,59,35,"3,408",240,294,238,239,199,199,237,235,257,200,198,200,236,200,236,"3,941",0,"1,139",992,924,886,9,4,3,2,"18,935"
20-Feb-16,"3,387",0,"2,767",29,7,"2,803","1,520","1,068",0,33,72,76,65,37,0,19,0,0,92,84,89,86,128,19,96,78,59,35,"3,407",240,294,238,239,199,199,237,235,257,200,198,200,235,200,236,"3,936",0,"1,136",992,923,885,9,4,3,2,"18,933"
21-Feb-16,"3,385",0,"2,769",29,7,"2,803","1,520","1,068",0,33,72,76,65,37,0,19,0,0,92,84,89,86,128,19,96,78,59,35,"3,405",240,294,238,239,199,199,237,235,257,199,198,199,235,200,236,"3,935",0,"1,136",991,923,885,9,4,3,2,"18,930"
22-Feb-16,"3,387",0,"2,826",29,7,"2,801","1,529","1,081",0,33,71,82,69,40,0,22,0,0,90,86,81,88,134,19,93,78,59,36,"3,400",240,293,236,239,199,199,237,235,257,198,198,199,235,199,236,"3,928",0,"1,135",989,921,883,10,4,4,2,"18,998"
23-Feb-16,"3,393",0,"2,825",30,7,"2,808","1,495","1,076",0,33,71,82,69,40,0,21,0,0,92,86,78,88,134,19,90,78,59,36,"3,420",240,293,238,239,200,200,239,239,259,198,200,200,237,198,240,"3,925",0,"1,135",989,918,883,10,4,4,2,"18,989"
24-Feb-16,"3,391",0,"2,857",30,7,"2,806","1,501","1,068",0,33,71,81,68,40,0,0,21,0,91,86,78,88,132,19,90,76,59,35,"3,420",240,294,239,239,200,200,239,238,258,199,200,198,237,199,240,"3,932",0,"1,133",998,918,883,10,4,4,2,"19,022"
,"3,392",0,"2,829",31,8,"2,799","1,504","1,094",0,33,70,80,68,40,0,0,21,23,92,86,79,87,132,19,89,76,62,37,"3,413",240,294,238,239,197,200,240,239,258,200,199,198,233,199,239,"3,927",0,"1,132",998,916,881,10,4,4,2,"19,007"
25-Feb-16 26-Feb-16 27-Feb-16,"3,387",0,"2,808",31,2,"2,798","1,540","1,077",0,30,73,75,66,38,0,0,21,23,91,82,79,87,125,24,88,79,60,36,"3,404",240,293,234,239,195,200,240,239,257,200,199,198,233,199,238,"3,943",0,"1,132",997,935,879,10,4,4,2,"19,000"
,"3,387",0,"2,806",31,2,"2,798","1,540","1,076",0,30,72,75,66,38,0,0,21,23,91,82,79,87,125,24,88,79,60,36,"3,401",240,293,234,238,194,200,240,239,257,199,199,198,233,199,238,"3,943",0,"1,132",997,935,879,10,4,4,2,"18,994"
