Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648","3,665",42,"3,282","2,020","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,5000,"1,500","1,000","1,500","1,000",16,6,6,4,"24,959"
22-May-14,"3,274","2,801",39,"3,199","1,773","1,140",88,43,53,64,60,48,45,51,56,72,76,66,186,98,46,44,44,"4,403",299,367,279,297,277,280,274,280,354,280,280,280,278,280,298,4322,"1,190",998,"1,256",878,14,6,5,3,"20,965"
23-May-14,"3,296","2,775",39,"3,202","1,787","1,137",89,43,52,64,60,51,45,51,56,72,75,70,185,93,46,43,42,"4,395",299,367,279,301,276,278,273,279,349,280,279,279,278,278,300,4318,"1,194",997,"1,251",876,14,6,5,3,"20,963"
24-May-14,"3,295","2,775",39,"3,202","1,787","1,135",89,43,52,64,60,51,45,50,56,72,75,70,185,93,46,42,42,"4,391",298,367,278,301,276,278,273,279,348,280,279,279,278,277,300,4317,"1,194",996,"1,251",876,14,6,5,3,"20,955"
25-May-14,"3,295","2,776",39,"3,200","1,787","1,131",89,43,52,64,59,51,45,49,56,72,75,68,185,93,46,42,42,"4,390",298,367,278,301,276,278,273,279,348,280,279,279,278,276,300,4315,"1,194",996,"1,250",875,14,6,5,3,"20,947"
26-May-14,"3,290","2,776",39,"3,200","1,788","1,129",89,43,52,64,59,51,45,49,56,72,75,68,185,91,46,42,42,"4,387",298,367,277,301,276,278,273,279,348,280,279,279,277,275,300,4309,"1,194",996,"1,249",870,14,6,5,3,"20,932"
27-May-14,"3,291","2,760",39,"3,203","1,764","1,131",89,43,51,65,59,51,50,49,56,70,74,68,183,91,46,42,44,"4,383",297,369,278,299,278,279,272,279,346,280,280,277,276,278,295,4305,"1,195",995,"1,245",870,14,6,5,3,"20,890"
28-May-14,"3,293","2,765",39,"3,202","1,775","1,127",89,43,50,64,58,51,50,49,56,70,73,67,181,95,46,42,43,"4,387",296,369,278,299,279,280,274,280,346,280,280,276,276,280,294,4299,"1,197",992,"1,241",869,13,5,5,3,"20,900"
29-May-14,"3,281","2,764",38,"3,201","1,814","1,123",92,44,51,61,62,56,45,44,50,68,69,66,189,95,48,41,42,"4,390",298,367,280,299,280,277,274,280,350,280,279,278,272,277,299,4304,"1,198","1,000","1,240",866,12,5,4,3,"20,927"
30-May-14,"3,284","2,768",38,"3,195","1,791","1,123",92,44,51,61,62,56,45,44,50,68,69,66,189,95,48,41,42,"4,390",298,367,280,299,280,277,274,280,350,280,279,278,272,277,299,4304,"1,198",1000,"1,240",866,12,5,4,3,"20,905"
31-May-14,"3,283","2,770",37,"3,191","1,789","1,119",92,43,51,61,62,56,45,43,50,68,68,66,189,95,48,40,42,"4,378",298,367,279,299,279,276,272,279,349,278,279,278,271,277,297,4302,"1,198","1,001","1,237",866,12,5,4,3,"20,881"
Avg Pop,"3,289","2,778",38,"3,208","1,841","1,151",88,44,51,65,58,50,44,51,59,72,81,70,191,97,46,43,41,"4,398",298,368,278,299,278,278,273,279,351,278,279,280,282,277,298,"4,331","1,195",998,"1,262",875,11,4,5,3,"21,044"
