Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Lefore TVC,Lefore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Flowood TVC,Simpson TVC support,Simpson TVC,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590","3,506",58,,"3,082","1,986","1,848",92,102,96,102,102,102,102,82,20,102,92,93,93,260,,20,82,102,102,102,"4,378",240,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,436"
10-May-16,"3,354","2,995",33,6,"2,935","1,513","1,147",0,26,82,82,79,0,0,71,17,90,89,79,89,165,27,75,15,100,61,0,"3,412",240,293,240,240,200,199,240,238,260,198,201,200,229,200,234,"3,916",0,"1,095",996,931,894,14,6,4,4,"19,325"
11-May-16,"3,380","2,923",33,6,"3,001","1,504","1,153",0,26,81,84,78,0,0,71,20,94,88,80,87,170,27,15,73,99,60,0,"3,410",239,293,240,240,199,196,240,238,259,199,201,200,229,199,238,"3,921",0,"1,098",995,928,900,13,6,4,3,"19,344"
12-May-16,"3,370","2,923",33,6,"3,005","1,513","1,158",0,24,81,84,80,0,0,71,20,94,92,80,88,168,27,15,72,96,66,0,"3,403",239,293,240,240,196,199,239,238,258,197,200,200,227,199,238,"3,916",0,"1,100",993,924,899,13,6,4,3,"19,340"
13-May-16,"3,371","2,889",33,2,"3,009","1,531","1,154",0,23,76,81,79,0,0,77,19,94,92,79,87,163,33,13,79,95,64,0,"3,407",239,294,239,239,196,198,239,241,259,197,201,200,227,199,239,"3,927",0,"1,100",991,938,898,12,6,4,2,"19,335"
14-May-16,"3,368","2,888",33,2,"3,010","1,531","1,153",0,23,76,81,78,0,0,77,19,94,92,79,87,163,33,13,79,95,64,0,"3,405",238,294,239,239,196,198,239,240,259,197,201,200,227,199,239,"3,925",0,"1,099",991,938,897,12,6,4,2,"19,327"
15-May-16,"3,365","2,886",33,2,"3,009","1,531","1,153",0,23,75,81,78,0,0,78,19,94,92,79,87,163,33,13,79,95,64,0,"3,403",238,294,239,239,196,198,239,240,258,197,201,200,227,199,238,"3,924",0,"1,099",990,938,897,12,6,4,2,"19,318"
16-May-16,"3,366","2,888",32,1,"3,000","1,514","1,181",0,24,78,89,80,0,0,76,19,93,92,86,86,170,32,15,79,97,65,0,"3,407",238,293,238,238,197,198,238,240,259,199,203,199,227,200,240,"3,919",0,"1,097",999,925,898,13,6,4,3,"19,321"
17-May-16,"3,361","2,909",32,1,"3,009","1,505","1,177",0,23,78,89,79,0,0,76,19,93,92,86,85,170,32,15,79,98,63,0,"3,406",238,293,238,238,199,198,238,240,257,199,203,199,226,200,240,"3,924",0,"1,097",998,932,897,13,6,4,3,"19,337"
18-May-16,"3,348","2,939",32,1,"3,006","1,485","1,171",0,23,78,88,78,0,0,73,20,93,92,86,85,170,32,15,77,98,63,0,"3,415",240,293,240,240,199,200,240,240,259,198,203,199,225,199,240,"3,919",0,"1,094",997,931,897,13,6,4,3,"19,329"
