date_raw,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,SMCI TVC,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648",108,"3,469",58,158,"3,282",0,"2,006","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"25,737"
1-May-15,"3,166",97,"2,418",24,131,"2,455",99,"1,519","1,020",50,44,46,61,40,45,47,45,46,60,80,57,180,86,44,48,41,"4,174",299,344,271,300,265,261,253,260,341,256,267,277,240,258,282,"3,936",0,"1,131",993,923,889,8,5,2,1,"19,047"
2-May-15,"3,259",97,"2,414",24,133,"2,356",99,"1,520","1,019",50,44,45,61,40,45,47,45,46,60,80,57,180,86,44,48,41,"4,172",299,343,271,300,265,261,253,260,341,255,267,277,240,258,282,"3,936",0,"1,131",993,923,889,8,5,2,1,"19,037"
3-May-15,"3,160",97,"2,410",24,132,"2,456",97,"1,519","1,017",50,44,45,61,39,45,47,45,46,60,80,57,180,86,43,48,41,"4,168",298,343,270,299,265,261,253,260,341,255,267,276,240,258,282,"3,933",0,"1,129",992,923,889,8,5,2,1,"19,021"
4-May-15,"3,162",88,"2,410",23,142,"2,461",96,"1,492","1,022",49,44,46,59,43,46,45,46,48,60,80,57,180,86,43,49,41,"4,162",298,344,270,299,265,260,254,258,340,257,267,276,240,252,282,"3,931",0,"1,130",992,922,887,8,5,2,1,"18,997"
5-May-15,"3,163",86,"2,409",23,141,"2,468",97,"1,470","1,024",54,44,44,55,43,47,45,46,48,60,79,56,185,88,43,47,40,"4,173",297,343,268,299,267,261,259,258,340,253,267,276,240,263,282,"3,925",0,"1,130",992,916,887,9,5,2,2,"18,988"
6-May-15,"3,153",83,"2,424",23,139,"2,461",100,"1,474","1,035",54,46,44,54,43,47,44,45,48,60,89,63,185,88,43,42,40,"4,176",295,349,268,298,264,261,259,263,333,261,267,276,239,262,281,"3,924",0,"1,129",992,913,890,9,5,2,2,"19,001"
7-May-15,"3,134",89,"2,438",23,136,"2,477",98,"1,498","1,021",53,46,44,53,44,49,43,45,43,61,77,66,185,87,43,42,40,"4,162",297,347,273,300,263,259,259,257,329,256,263,277,239,266,277,"3,932",0,"1,129","1,000",913,890,8,5,2,1,"19,016"
8-May-15,"3,127",89,"2,425",23,136,"2,463",98,"1,492","1,020",52,46,36,53,44,52,48,46,47,60,78,65,188,83,42,42,38,"4,147",297,345,272,300,256,259,259,256,330,255,269,276,233,265,275,"3,939",0,"1,128","1,000",921,890,8,5,2,1,"18,967"
9-May-15,"3,124",89,"2,420",23,134,"2,461",97,"1,492","1,019",52,46,36,53,43,52,47,46,47,60,78,65,188,83,42,43,38,"4,144",297,345,272,300,256,259,257,256,329,255,269,276,233,265,275,"3,938",0,"1,128",999,921,890,8,5,2,1,"18,949"
