Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Delta Satellite Facility,Delta TVC,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,"3,560","4,131",58,0,"3,082","1,793","1,372",0,0,124,324,96,102,102,0,0,0,0,62,58,93,93,178,28,50,0,0,0,62,0,"4,579",300,369,280,310,342,280,297,280,355,280,280,326,300,280,300,"5,472",472,"1,500","1,000","1,500","1,000",10,0,6,4,122,40,34,8,42,40,"24,179"
18-Sep-19,"3,257","3,469",25,0,"2,663","1,318",998,0,0,88,258,74,0,48,0,0,0,0,85,51,87,62,138,17,32,0,0,0,58,0,"4,330",299,293,270,309,340,278,328,277,350,278,280,280,176,272,300,"3,208",0,"1,275",990,0,943,8,0,5,3,42,9,32,1,0,0,"19,318"
19-Sep-19,"3,256","3,477",25,0,"2,660","1,300",992,0,0,88,251,74,0,48,0,0,0,0,85,52,87,62,138,17,31,0,0,0,59,0,"4,324",298,293,268,309,337,278,328,276,352,277,280,280,174,273,301,"3,223",0,"1,291",989,0,943,8,0,5,3,41,8,32,1,0,0,"19,306"
20-Sep-19,"3,256","3,477",25,0,"2,658","1,321",984,0,0,88,253,65,0,47,0,0,0,0,92,50,85,61,136,17,31,0,0,0,59,0,"4,336",298,293,272,309,337,278,327,278,353,278,279,280,173,280,301,"3,219",0,"1,289",989,0,941,8,0,5,3,41,8,32,1,0,0,"19,325"
21-Sep-19,"3,251","3,476",24,0,"2,658","1,321",981,0,0,88,252,65,0,47,0,0,0,0,91,50,85,61,136,17,30,0,0,0,59,0,"4,328",298,293,272,308,337,278,326,278,353,277,278,278,172,279,301,"3,218",0,"1,289",988,0,941,9,0,6,3,41,8,32,1,0,0,"19,307"
22-Sep-19,"3,250","3,477",24,0,"2,658","1,321",978,0,0,88,248,65,0,48,0,0,0,0,91,50,85,61,136,17,30,0,0,0,59,0,"4,327",298,293,272,308,336,278,326,278,353,277,278,278,172,279,301,"3,218",0,"1,289",988,0,941,9,0,6,3,41,8,32,1,0,0,"19,303"
23-Sep-19,"3,247","3,503",24,0,"2,657","1,350",991,0,0,86,261,67,0,48,0,0,0,0,88,52,86,61,137,17,29,0,0,0,59,0,"4,324",297,293,272,307,337,280,322,279,352,279,277,278,172,279,300,"3,210",0,"1,284",986,0,940,9,0,6,3,41,8,32,1,0,0,"19,356"
24-Sep-19,"3,249","3,545",23,0,"2,662","1,302",972,0,0,85,252,66,0,47,0,0,0,0,88,52,84,60,137,15,27,0,0,0,59,0,"4,322",296,293,272,307,335,280,322,279,352,279,278,280,172,279,298,"3,208",0,"1,283",985,0,940,7,0,5,3,,8,32,1,0,0,"19,290"
25-Sep-19,"3,243","3,560",23,0,"2,655","1,283",981,0,0,85,262,63,0,47,0,0,0,0,88,52,84,62,137,15,27,0,0,0,59,0,"4,330",299,293,272,307,339,278,322,280,353,280,279,280,172,278,298,"3,204",0,"1,282",984,0,938,8,0,5,3,43,9,32,1,0,1,"19,330"
26-Sep-19,"3,246","3,567",23,0,"2,660","1,292",977,0,0,85,259,63,0,48,0,0,0,0,87,53,83,62,137,15,27,0,0,0,58,0,"4,323",299,293,272,306,339,280,320,279,347,278,280,280,174,277,299,"3,204",0,"1,279",985,0,940,8,0,5,3,39,8,29,1,0,1,"19,339"
