Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"3,356","3,449","3,204","1,610","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,763",294,280,300,280,280,274,280,355,280,280,280,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,224"
10-Apr-11,"3,195","3,237","3,172","1,692","1,476",82,81,85,87,82,83,72,69,95,84,88,61,184,90,73,68,92,"3,026",236,225,248,222,224,216,224,285,221,224,224,225,252,"5,100",904,"1,343",925,"1,042",886,8,3,5,0,5,30,"20,941"
11-Apr-11,"3,200","3,251","3,165","1,680","1,492",83,80,85,93,86,85,74,71,96,85,90,69,185,92,73,63,82,"3,029",234,225,247,224,224,218,223,285,224,224,224,225,252,"5,096",905,"1,342",925,"1,040",884,8,3,5,0,5,9,"20,935"
12-Apr-11,"3,192","3,258","3,175","1,706","1,496",85,78,86,93,86,91,74,71,95,85,89,69,184,92,73,63,82,"3,028",233,225,247,223,224,221,223,284,224,223,224,225,252,"5,102",905,"1,344",924,"1,044",885,8,3,5,0,5,4,"20,974"
13-Apr-11,"3,201","3,254","3,182","1,716","1,490",85,78,84,93,86,91,72,71,93,85,89,69,184,92,73,63,82,"3,034",235,225,250,223,223,221,224,284,224,224,224,225,252,"5,115",910,"1,344",923,"1,054",884,8,3,5,0,5,4,"21,009"
14-Apr-11,"3,207","3,246","3,174","1,742","1,477",85,76,83,92,84,90,72,71,92,82,88,69,181,92,73,61,86,"3,028",235,225,250,223,224,219,224,284,224,224,223,225,248,"5,107",904,"1,340",925,"1,054",884,7,3,4,0,5,5,"20,998"
15-Apr-11,"3,204","3,224","3,165","1,792","1,493",85,74,83,89,82,88,71,84,98,84,85,72,183,96,70,57,92,"3,023",234,223,250,223,224,219,224,284,225,223,223,219,252,"5,087",903,"1,343",923,"1,033",885,7,3,4,0,5,21,"21,021"
16-Apr-11,"3,205","3,222","3,163","1,792","1,491",85,74,83,89,82,88,71,84,98,83,84,72,183,96,70,57,92,"3,023",234,224,250,223,224,219,224,284,224,223,223,219,252,"5,087",903,"1,343",923,"1,033",885,7,3,4,0,5,22,"21,017"
17-Apr-11,"3,205","3,222","3,163","1,792","1,487",84,74,83,89,81,88,71,84,98,83,84,72,182,95,70,57,92,"3,022",233,224,250,223,224,219,224,284,224,223,223,219,252,"5,087",903,"1,343",923,"1,033",885,7,3,4,0,5,22,"21,012"
18-Apr-11,"3,201","3,230","3,172","1,800","1,486",85,76,83,92,80,88,71,84,94,84,84,71,183,93,70,58,90,"3,019",233,223,250,224,224,219,223,284,225,219,222,221,252,"5,091",904,"1,344",925,"1,034",884,7,3,4,0,5,8,"21,019"
