Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,435","3,449","3,204","1,485","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,163",294,280,280,280,274,280,355,280,280,280,280,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,578"
10-Aug-10,"3,452","3,228","3,174","1,601","1,671",82,94,72,102,85,93,91,96,93,89,86,75,230,100,94,90,99,"2,523",234,224,224,224,220,223,276,226,224,224,224,"5,342",899,"1,367",899,"1,224",953,11,4,5,2,6,12,"21,020"
11-Aug-10,"3,485","3,227","3,169","1,597","1,665",81,94,79,101,84,91,91,96,91,89,85,75,229,100,94,87,98,"2,523",235,224,224,224,219,223,276,226,224,224,224,"5,342",898,"1,367",900,"1,224",953,11,4,5,2,6,12,"21,037"
12-Aug-10,"3,494","3,260","3,170","1,582","1,657",78,94,79,101,83,91,91,93,90,88,84,79,229,99,94,87,97,"2,520",234,224,224,224,219,224,275,226,222,224,224,"5,343",901,"1,366",900,"1,223",953,11,4,5,2,6,10,"21,053"
13-Aug-10,"3,495","3,263","3,170","1,571","1,645",78,93,84,98,82,90,91,92,89,86,84,82,229,99,93,84,91,"2,523",233,224,223,223,219,223,283,226,223,224,222,"5,345",904,"1,364",898,"1,221",958,11,4,5,2,6,19,"21,048"
14-Aug-10,"3,495","3,260","3,166","1,571","1,640",78,91,84,98,80,90,91,92,89,85,84,82,229,99,93,84,91,"2,520",233,224,222,222,219,223,283,226,223,224,221,"5,344",904,"1,363",898,"1,221",958,11,4,5,2,6,19,"21,032"
15-Aug-10,"3,494","3,261","3,165","1,571","1,639",77,91,84,98,80,90,91,92,89,85,84,82,229,99,93,84,91,"2,517",232,224,221,222,219,223,283,226,223,223,221,"5,339",904,"1,361",898,"1,220",956,10,4,4,2,6,19,"21,021"
16-Aug-10,"3,480","3,262","3,156","1,610","1,625",72,92,84,98,78,91,89,93,87,90,83,80,224,97,93,81,93,"2,519",231,223,223,224,218,224,282,226,223,222,223,"5,332",903,"1,359",900,"1,221",949,10,4,4,2,6,6,"21,006"
17-Aug-10,"3,484","3,263","3,173","1,594","1,621",72,91,84,98,77,91,89,93,88,90,83,79,222,97,93,80,94,"2,530",233,224,224,224,220,224,283,226,225,223,224,"5,327",901,"1,358",900,"1,221",947,10,4,4,2,6,7,"21,015"
18-Aug-10,"3,485","3,266","3,170","1,611","1,614",72,90,81,98,76,91,91,92,88,90,84,79,223,97,91,79,92,"2,531",236,224,224,224,220,224,283,224,225,223,224,"5,333",901,"1,359",900,"1,224",949,10,4,4,2,6,10,"21,036"
