Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"5,768","3,233","2,214","2,176","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"3,750","1,000","1,000",750,"1,000",24,6,12,6,6,,"21,737"
14-Nov-03,"5,683","3,057","2,110","1,915","1,433",81,65,87,74,65,75,69,84,98,85,34,72,219,84,84,65,92,"2,745",246,250,250,250,250,250,250,250,250,249,250,"3,442",718,990,740,994,15,6,6,3,6,92,"20,498"
15-Nov-03,"5,682","3,053","2,110","1,915","1,430",81,65,86,74,65,75,69,84,98,85,34,71,219,84,83,65,92,"2,744",246,250,250,250,250,250,249,250,250,249,250,"3,442",718,990,740,994,15,6,6,3,6,95,"20,492"
16-Nov-03,"5,682","3,054","2,110","1,915","1,430",81,65,86,74,65,75,68,84,99,85,34,71,219,84,83,65,92,"2,744",247,250,250,250,249,250,249,250,250,249,250,"3,441",718,990,740,993,15,6,6,3,6,92,"20,489"
17-Nov-03,"5,662","3,083","2,106","1,893","1,524",92,71,94,76,67,75,78,93,102,91,40,73,226,91,86,74,95,"2,741",248,248,250,250,249,249,249,249,250,249,250,"3,437",717,990,738,992,16,6,7,3,6,8,"20,476"
18-Nov-03,"5,658","3,074","2,118","1,924","1,525",92,71,95,75,67,75,78,93,102,91,40,73,224,90,85,73,101,"2,737",247,248,248,250,248,249,249,249,250,249,250,"3,436",716,990,738,992,16,6,7,3,6,8,"20,502"
19-Nov-03,"5,661","3,092","2,133","1,937","1,525",92,70,95,75,67,75,78,93,102,90,40,73,226,90,85,73,101,"2,734",246,248,249,248,247,249,249,249,250,249,250,"3,435",716,994,733,992,16,6,7,3,6,7,"20,546"
20-Nov-03,"5,678","3,062","2,132","1,961","1,519",92,70,94,74,66,75,78,93,102,88,40,72,226,90,85,73,101,"2,745",249,250,250,250,248,250,250,250,249,249,250,"3,436",716,992,737,991,16,6,7,3,6,8,"20,563"
21-Nov-03,"5,668","3,099","2,132","1,936","1,509",92,69,94,71,66,75,78,92,101,88,40,71,223,91,85,72,101,"2,746",250,250,250,250,250,250,250,249,250,248,249,"3,435",716,992,737,990,16,6,7,3,6,5,"20,552"
22-Nov-03,"5,668","3,099","2,132","1,936","1,509",92,69,94,71,66,75,78,92,101,88,40,71,223,91,85,72,101,"2,743",250,250,250,248,250,250,250,249,249,248,249,"3,434",715,992,737,990,16,6,7,3,6,5,"20,548"
23-Nov-03,"5,667","3,097","2,133","1,936","1,509",92,69,94,71,66,75,78,92,101,88,40,71,223,91,85,72,101,"2,743",250,250,250,248,250,250,250,249,249,248,249,"3,434",715,992,737,990,16,6,7,3,6,3,"20,544"
24-Nov-03,"5,657","3,123","2,114","1,934","1,502",89,69,93,70,66,75,78,93,102,90,40,69,221,91,84,72,100,"2,744",249,250,249,248,249,249,250,249,252,250,249,"3,434",714,989,737,994,16,6,7,3,6,5,"20,535"
25-Nov-03,"5,656","3,117","2,108","1,941","1,506",89,69,93,70,64,72,78,99,102,90,40,69,219,94,85,72,101,"2,740",249,247,249,250,249,248,249,250,250,250,249,"3,439",729,988,728,994,16,6,7,3,6,7,"20,536"
26-Nov-03,"5,656","3,106","2,106","1,954","1,494",89,69,93,70,64,72,75,99,102,90,40,68,213,93,85,72,100,"2,747",250,249,249,250,249,250,250,250,250,250,250,"3,436",728,992,725,991,16,6,7,3,6,6,"20,527"
