Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590","3,506",58,,"3,082","1,986","1,848",92,102,96,102,102,102,102,82,20,102,92,93,93,260,,82,20,102,102,102,"4,378",240,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,436"
28-Jun-16,"3,381","3,090",33,13,"2,990","1,563","1,140",0,17,69,93,72,0,0,70,17,95,89,90,81,172,27,65,15,96,72,0,"3,496",235,291,238,238,200,199,268,270,258,198,200,239,224,201,237,"3,854",0,"1,097","1,000",858,899,15,6,6,3,"19,575"
29-Jun-16,"3,380","3,082",33,13,"2,997","1,538","1,131",0,16,68,93,72,0,0,66,16,94,89,90,84,170,26,65,15,97,70,0,"3,505",235,291,240,240,199,199,269,269,260,200,200,240,224,202,237,"3,873",0,"1,123","1,000",854,896,17,6,6,5,"19,569"
30-Jun-16,"3,380","3,082",33,13,"2,997","1,538","1,131",0,16,68,93,72,0,0,66,16,94,89,90,84,170,26,65,15,97,70,0,"3,505",235,291,240,240,199,199,269,269,260,200,200,240,224,202,237,"3,873",0,"1,123","1,000",854,896,17,6,6,5,"19,569"
Avg Population,"3,379","3,036",32,8,"2,997","1,536","1,149",0,20,71,89,74,0,0,72,18,97,88,88,84,168,31,68,15,98,67,0,"3,459",239,293,239,240,199,200,256,256,258,199,203,220,223,199,236,"3,876",0,"1,093",999,890,894,15,6,6,3,"19,486"
