date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,557",42,"3,282","2,017","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,826"
10-Dec-13,"3,349","3,303",41,"3,184","2,080","1,372",92,65,75,69,73,63,70,67,70,81,91,89,217,79,69,50,52,"4,421",279,368,280,300,280,279,273,279,355,280,299,280,290,280,299,"4,404",0,"1,198","1,000","1,309",897,12,4,4,4,0,0,"22,166"
11-Dec-13,"3,363","3,300",41,"3,195","2,077","1,380",92,64,75,70,74,63,70,67,70,81,92,89,218,85,68,50,52,"4,421",279,369,280,299,280,279,274,278,354,280,299,280,290,280,300,"4,410",0,"1,200","1,000","1,308",902,12,4,4,4,0,0,"22,199"
12-Dec-13,"3,362","3,287",41,"3,195","2,086","1,378",92,64,77,70,74,63,70,66,68,80,92,91,217,83,66,53,52,"4,431",278,369,280,299,277,280,274,279,355,280,314,280,288,279,299,"4,410",0,"1,201",998,"1,309",902,12,4,4,4,0,0,"22,202"
13-Dec-13,"3,360","3,271",40,"3,199","2,086","1,374",92,64,77,69,75,63,68,66,70,80,92,91,216,82,66,53,50,"4,436",278,369,280,298,278,280,274,278,355,278,314,280,296,279,299,"4,408",0,"1,197",998,"1,312",901,12,4,4,4,0,0,"22,186"
14-Dec-13,"3,360","3,270",40,"3,199","2,086","1,374",92,64,77,69,75,63,68,66,70,80,92,91,216,82,66,53,50,"4,436",278,369,280,298,278,280,274,278,355,277,315,280,296,279,299,"4,405",0,"1,196",998,"1,311",900,12,4,4,4,0,0,"22,182"
15-Dec-13,"3,359","3,267",40,"3,199","2,086","1,372",92,64,77,69,75,63,68,66,70,79,92,91,216,82,66,52,50,"4,433",278,369,280,298,278,280,274,278,355,277,313,279,296,279,299,"4,402",0,"1,195",997,"1,310",900,12,4,4,4,0,0,"22,170"
16-Dec-13,"3,359","3,272",40,"3,200","2,085","1,358",89,63,77,68,75,62,68,65,68,79,89,89,216,82,66,52,50,"4,427",278,369,280,297,277,278,274,278,355,276,312,279,296,278,300,"4,402",0,"1,196",997,"1,309",900,12,4,4,4,0,0,"22,155"
17-Dec-13,"3,362","3,252",40,"3,206","2,083","1,359",89,63,77,68,74,62,69,64,65,78,92,90,219,82,65,52,50,"4,427",302,369,280,300,277,280,274,280,355,276,278,279,298,279,300,"4,402",0,"1,198",996,"1,309",899,13,4,5,4,0,0,"22,144"
18-Dec-13,"3,348","3,244",40,"3,218","2,068","1,354",89,63,79,66,74,62,71,63,65,78,90,89,218,82,65,50,50,"4,418",299,369,280,297,278,279,273,280,355,280,279,278,296,278,297,"4,402",0,"1,198",996,"1,309",899,13,4,5,4,0,0,"22,105"
