date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,435","3,665","3,204","1,487","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,163",294,280,280,280,274,280,355,280,280,280,280,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,796"
19-Oct-09,"3,926","3,198","2,724","1,550","1,550",61,72,76,93,74,81,85,68,91,83,87,76,249,96,74,93,91,"3,000",280,265,261,265,260,266,340,265,266,266,266,"5,542",958,"1,361",983,"1,266",974,11,6,3,2,5,12,"21,518"
20-Oct-09,"3,944","3,202","2,725","1,530","1,558",60,70,75,93,78,81,84,67,91,91,87,76,249,96,74,94,92,"3,005",280,266,265,265,260,266,340,265,266,266,266,"5,543",958,"1,362",983,"1,265",975,11,6,3,2,5,12,"21,535"
21-Oct-09,"3,945","3,242","2,723","1,508","1,563",60,69,74,97,78,80,86,66,90,91,90,77,250,96,74,92,93,"3,001",280,266,266,266,260,263,338,266,265,266,265,"5,534",955,"1,362",983,"1,260",974,11,6,3,2,5,11,"21,543"
22-Oct-09,"3,935","3,219","2,731","1,509","1,572",59,76,69,98,78,78,85,70,98,91,90,77,250,96,73,91,93,"3,007",280,265,266,266,260,266,341,266,267,265,265,"5,558",954,"1,361",981,"1,287",975,11,6,3,2,5,11,"21,558"
23-Oct-09,"3,937","3,206","2,714","1,517","1,567",60,72,74,98,82,76,91,69,94,90,80,76,247,95,75,93,95,"3,004",280,265,264,266,260,267,341,265,267,265,264,"5,557",955,"1,361",981,"1,285",975,10,6,2,2,5,35,"21,552"
24-Oct-09,"3,937","3,205","2,713","1,517","1,566",60,72,74,98,82,76,91,69,94,90,79,76,247,95,75,93,95,"3,003",280,265,264,266,259,267,341,265,267,265,264,"5,555",954,"1,360",981,"1,285",975,10,6,2,2,5,35,"21,546"
25-Oct-09,"3,933","3,204","2,712","1,517","1,562",60,71,74,98,81,76,91,69,94,90,79,76,246,95,74,93,95,"3,000",279,265,264,266,259,266,341,265,267,264,264,"5,553",954,"1,360",981,"1,284",974,10,6,2,2,5,35,"21,531"
26-Oct-09,"3,940","3,181","2,709","1,514","1,583",60,73,72,97,80,78,101,70,95,91,76,77,246,100,73,95,99,"3,005",279,266,263,266,260,266,341,264,266,265,269,"5,549",955,"1,360",979,"1,280",975,10,6,2,2,5,12,"21,508"
27-Oct-09,"3,933","3,179","2,723","1,499","1,592",60,73,71,97,80,79,101,69,102,91,75,76,250,100,73,96,99,"3,008",280,266,265,266,260,266,341,263,266,266,269,"5,547",955,"1,360",983,"1,275",974,10,6,2,2,5,11,"21,507"
