date_raw,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,SMCI TVC,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Flowood TVC,Simpson TVC and Simpson TVC support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590",,"2,824",58,,"2,882",,"1,780","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"23,408"
28-Jan-16,"3,290",19,"2,531",29,0,"2,702",0,"1,294","1,010",0,34,72,62,60,40,0,21,80,82,79,81,145,12,53,84,53,52,"3,952",0,361,272,255,273,270,269,275,348,275,280,278,233,267,296,"3,930",0,"1,148",997,934,851,9,2,5,2,"18,766"
29-Jan-16,"3,274",19,"2,562",29,0,"2,705",0,"1,283",994,0,33,70,62,59,40,0,20,80,82,77,80,145,11,50,80,53,52,"3,968",0,361,273,263,272,271,269,280,351,274,279,278,233,267,297,"3,936",0,"1,146","1,000",939,851,9,2,5,2,"18,779"
30-Jan-16,"3,275",19,"2,564",29,0,"2,703",0,"1,283",991,0,33,70,61,59,40,0,20,80,82,77,80,145,11,50,78,53,52,"3,956",0,360,272,263,271,271,267,278,351,274,279,277,231,265,297,"3,936",0,"1,146","1,000",939,851,9,2,5,2,"18,765"
31-Jan-16,"3,275",19,"2,562",29,0,"2,703",0,"1,283",991,0,33,70,61,59,40,0,20,80,82,77,80,145,11,50,78,53,52,"3,954",0,360,272,263,271,271,267,278,351,274,279,275,231,265,297,"3,937",0,"1,147","1,000",939,851,9,2,5,2,"18,762"
Avg Population,"3,259",18,"2,716",29,14,"2,692",10,"1,135","1,009",0,41,69,58,61,44,0,36,74,81,74,74,154,2,51,84,56,52,"3,886",0,351,266,259,271,274,252,273,336,267,279,276,231,267,284,"3,921",0,"1,139",999,925,858,10,3,5,2,"18,699"
