date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648","3,665",42,"3,282","2,020","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,560",360,369,280,362,280,280,274,280,355,280,280,280,300,280,300,5000,"1,500","1,000","1,500","1,000",16,6,6,4,"25,081"
1-Jul-14,"3,342","2,613",44,"3,180","1,669","1,148",88,39,49,58,57,47,48,49,56,78,76,70,197,99,50,43,44,"4,408",297,365,278,299,279,279,272,279,348,280,280,280,295,278,299,4280,"1,200",993,"1,245",842,13,6,6,1,"20,697"
2-Jul-14,"3,342","2,610",44,"3,188","1,666","1,153",89,38,49,58,57,47,48,49,57,78,76,70,199,101,51,42,44,"4,409",300,365,278,300,278,280,272,279,349,280,278,280,293,278,299,4280,"1,198",993,"1,248",841,13,6,6,1,"20,705"
3-Jul-14,"3,333","2,615",44,"3,173","1,683","1,156",87,39,51,58,57,49,48,50,60,78,76,69,201,99,49,41,44,"4,416",300,365,279,300,276,279,274,279,348,280,278,279,293,280,306,4285,"1,199","1,001","1,254",831,13,6,6,1,"20,718"
4-Jul-14,"3,329","2,616",44,"3,173","1,684","1,155",87,39,51,58,57,49,48,50,60,78,76,69,200,99,49,41,44,"4,415",300,365,279,300,276,279,274,279,348,280,278,279,292,280,306,4285,"1,200",1001,"1,253",831,13,6,6,1,"20,714"
5-Jul-14,"3,324","2,614",44,"3,172","1,691","1,154",87,39,51,58,56,49,48,50,60,78,76,69,200,99,49,41,44,"4,415",300,365,279,300,276,279,274,279,348,280,278,279,292,280,306,4285,"1,200",1001,"1,253",831,13,6,6,1,"20,712"
6-Jul-14,"3,326","2,613",44,"3,169","1,684","1,154",87,39,51,58,56,49,47,50,60,78,76,69,201,99,49,41,44,"4,414",300,365,279,299,276,279,274,279,348,280,278,279,292,280,306,4282,"1,200",1001,"1,250",831,13,6,6,1,"20,699"
7-Jul-14,"3,323","2,619",45,"3,175","1,679","1,161",87,43,51,58,56,49,47,49,61,78,76,69,203,99,50,41,44,"4,418",300,365,279,300,278,278,273,278,348,279,280,279,297,280,304,4287,"1,200","1,001","1,255",831,13,6,6,1,"20,720"
8-Jul-14,"3,323","2,610",45,"3,180","1,718","1,164",87,43,51,58,56,49,46,49,65,78,75,70,202,99,49,41,46,"4,422",300,368,280,300,280,275,272,279,355,278,280,279,297,280,299,4282,"1,198","1,000","1,253",831,13,6,6,1,"20,757"
9-Jul-14,"3,327","2,613",45,"3,183","1,735","1,163",87,45,51,60,54,49,48,50,64,76,76,65,200,99,49,43,47,"4,420",301,366,280,298,279,280,271,280,355,278,277,279,297,280,299,4287,"1,200","1,000","1,257",830,13,6,6,1,"20,786"
10-Jul-14,"3,330","2,655",43,"3,180","1,726","1,162",87,45,51,60,54,49,48,50,64,79,76,63,198,99,48,44,47,"4,418",301,367,280,298,279,280,274,280,355,279,277,279,297,277,295,4285,"1,200","1,000","1,255",830,12,6,5,1,"20,811"
11-Jul-14,"3,344","2,612",44,"3,172","1,750","1,152",90,45,52,59,55,47,47,47,65,74,80,63,194,95,48,48,43,"4,419",300,368,279,300,280,280,274,271,355,278,280,280,297,278,299,4281,"1,199","1,000","1,253",829,11,5,5,1,"20,785"
