date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"3,356","3,449","3,204","1,632","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,063",300,294,280,300,280,280,274,280,355,280,280,280,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,546"
19-Aug-11,"3,086","3,188","3,092","1,936","1,535",81,78,82,86,96,90,70,83,96,84,78,76,195,87,89,78,86,"3,275",251,233,223,250,224,221,219,224,284,223,224,224,224,251,"5,161",897,"1,358",998,"1,001",907,9,5,4,0,5,25,"21,312"
20-Aug-11,"3,083","3,187","3,090","1,936","1,533",81,78,82,86,96,90,70,81,96,84,77,76,195,89,88,78,86,"3,273",251,233,222,250,224,221,219,224,284,223,223,224,224,251,"5,160",897,"1,358",998,"1,001",906,9,5,4,0,5,23,"21,299"
21-Aug-11,"3,081","3,185","3,089","1,936","1,531",81,78,82,86,95,90,70,81,96,84,76,76,195,89,88,78,86,"3,273",251,233,222,250,224,221,219,224,284,223,223,224,224,251,"5,158",896,"1,357",998,"1,001",906,9,5,4,0,5,24,"21,291"
22-Aug-11,"3,071","3,182","3,085","1,944","1,538",82,79,82,86,92,90,71,81,95,84,77,76,198,87,88,82,88,"3,274",244,235,223,250,225,222,218,224,284,225,224,224,223,253,"5,161",895,"1,357",997,"1,007",905,9,5,4,0,5,13,"21,282"
23-Aug-11,"3,079","3,181","3,091","1,938","1,532",82,79,81,85,91,89,69,80,95,83,77,77,196,90,88,82,88,"3,278",244,235,224,250,225,224,219,224,283,225,224,224,224,253,"5,167",899,"1,356",997,"1,011",904,9,5,4,0,5,13,"21,293"
24-Aug-11,"3,081","3,185","3,096","1,942","1,545",82,79,81,86,91,88,75,80,97,84,77,78,200,90,88,82,87,"3,280",248,235,224,250,223,224,219,224,284,225,224,224,224,252,"5,167",897,"1,354",999,"1,014",903,9,5,4,0,5,12,"21,322"
25-Aug-11,"3,076","3,208","3,091","1,940","1,554",82,78,81,88,94,88,75,80,96,84,77,78,200,90,87,84,92,"3,272",247,234,224,248,223,223,219,224,284,224,224,224,223,251,"5,161",899,"1,354",999,"1,015",894,8,4,4,0,5,12,"21,327"
26-Aug-11,"3,077","3,182","3,090","1,909","1,564",80,83,83,88,92,90,81,81,94,84,79,77,201,89,88,82,92,"3,275",249,233,224,250,223,223,219,225,284,223,224,224,223,251,"5,170",899,"1,357",996,"1,016",902,8,4,4,0,5,21,"21,301"
27-Aug-11,"3,077","3,178","3,086","1,909","1,562",80,83,83,88,93,90,81,81,93,83,79,77,201,88,88,82,92,"3,270",249,233,224,249,222,223,218,224,284,223,224,224,223,250,"5,165",899,"1,354",995,"1,016",901,8,4,4,0,5,21,"21,281"
