date_raw,MS STATE PENITENTIARY(SEE NOTE BELOW),CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta                    (SEE NOTE BELOW),East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,892","3,233","2,214","2,224","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"4,960",960,"1,000","1,000","1,000","1,000",24,6,12,6,6,,"22,119"
27-Jul-04,"4,850","3,119","2,183","2,073","1,696",91,102,95,89,96,98,91,102,102,90,68,88,212,101,83,88,100,"2,736",250,250,247,250,245,248,250,250,247,250,249,"4,554",958,855,993,755,993,13,6,4,3,4,3,"21,231"
28-Jul-04,"4,846","3,118","2,190","2,060","1,698",90,102,95,89,95,98,91,102,102,90,68,90,215,101,83,87,100,"2,742",249,250,250,249,249,247,249,250,250,250,249,"4,556",959,853,995,755,994,12,6,4,2,4,4,"21,230"
29-Jul-04,"4,836","3,141","2,188","2,073","1,709",89,102,95,89,95,97,90,102,101,90,68,93,215,102,95,87,99,"2,732",247,248,249,246,248,246,249,250,250,250,249,"4,553",959,853,994,753,994,13,6,4,3,4,3,"21,252"
30-Jul-04,"4,842","3,107","2,178","2,064","1,685",89,98,94,88,98,96,89,100,98,88,68,91,212,100,94,82,100,"2,742",250,249,248,246,250,250,250,250,250,250,249,"4,548",959,851,993,751,994,13,6,4,3,4,31,"21,214"
31-Jul-04,"4,837","3,104","2,174","2,064","1,685",89,98,94,88,98,96,89,100,98,88,68,91,212,100,94,82,100,"2,740",250,249,248,246,248,250,250,250,250,250,249,"4,547",959,851,992,751,994,13,6,4,3,4,31,"21,199"
