Location,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Leflore TVC Support,Leflore TVC,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Flowood TVC,Simpson TVC and Simpson TVC support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590",,"2,876",58,,"2,882","1,986","1,950",92,102,96,102,102,102,102,102,20,82,102,92,93,93,260,,102,102,102,102,"4,378",240,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"23,606"
10-Feb-16,"3,397",0,"2,650",28,2,"2,822","1,448","1,059",0,34,73,73,65,39,0,21,0,0,89,86,90,87,136,19,71,84,57,35,"3,584",240,250,240,239,240,239,238,237,240,240,238,240,232,235,236,"3,947",0,"1,135",995,938,879,9,3,4,2,"18,946"
11-Feb-16,"3,371",0,"2,665",28,2,"2,815","1,456","1,055",0,34,72,73,63,39,0,20,0,0,89,86,90,87,137,18,71,83,58,35,"3,576",240,250,240,239,238,238,237,237,238,240,238,240,231,234,236,"3,963",0,"1,141",993,935,894,9,3,4,2,"18,940"
12-Feb-16,"3,371",0,"2,632",28,8,"2,814","1,476","1,049",0,31,74,72,59,37,0,18,0,0,90,80,91,84,131,20,97,80,56,29,"3,554",240,294,240,229,229,228,236,230,258,212,237,239,231,214,237,"3,957",0,"1,140",992,933,892,9,3,4,2,"18,898"
13-Feb-16,"3,372",0,"2,631",28,8,"2,813","1,476","1,042",0,31,74,72,59,37,0,18,0,0,90,80,91,82,131,20,92,80,56,29,"3,554",240,294,240,229,229,228,236,230,258,212,237,239,231,214,237,"3,958",0,"1,141",992,933,892,9,3,4,2,"18,891"
14-Feb-16,"3,373",0,"2,632",28,8,"2,812","1,476","1,037",0,31,73,72,59,37,0,18,0,0,90,80,91,81,131,20,89,80,56,29,"3,551",239,293,240,229,229,228,236,230,257,212,237,239,231,214,237,"3,957",0,"1,141",992,932,892,9,3,4,2,"18,883"
15-Feb-16,"3,373",0,"2,628",28,8,"2,809","1,476","1,077",0,34,77,73,63,39,0,20,0,0,90,89,91,84,135,20,90,81,58,33,"3,550",239,293,240,229,229,227,236,230,257,212,237,239,231,214,237,"3,956",0,"1,140",992,932,892,9,3,4,2,"18,914"
16-Feb-16,"3,371",0,"2,646",28,8,"2,800","1,494","1,072",0,33,77,75,64,39,0,20,0,0,90,89,91,83,135,19,90,78,56,33,"3,544",238,293,239,229,227,226,235,228,257,212,235,237,235,213,240,"3,949",0,"1,137",992,928,892,9,3,4,2,"18,921"
17-Feb-16,"3,371",0,"2,674",29,8,"2,795","1,515","1,068",0,32,75,75,64,39,0,20,0,0,90,88,89,83,135,19,90,78,56,35,"3,531",240,293,239,229,227,211,235,229,257,211,234,238,235,213,240,"3,947",0,"1,139",993,926,889,9,3,4,2,"18,947"
18-Feb-16,"3,382",0,"2,791",29,8,"2,800","1,506","1,071",0,32,75,75,64,39,0,20,0,0,93,87,89,82,134,19,90,78,59,35,"3,422",240,293,239,240,202,200,234,229,257,201,209,200,239,202,237,"3,944",0,"1,140",992,925,887,9,3,4,2,"18,962"
